Date,FTSE MTS Eurozone Government Bond IG
12/2018,10000
01/2019,10107.665628223725
02/2019,10069.469434476967
03/2019,10248.382359493178
04/2019,10245.4135436266
05/2019,10358.751195237488
06/2019,10591.389834226073
07/2019,10764.313719442212
08/2019,11025.817988025332
09/2019,10982.026882991782
10/2019,10859.902735937334
11/2019,10757.921983117547
12/2019,10658.104653115439
01/2020,10919.15481710724
02/2020,10971.989457919028
03/2020,10689.8277144316
04/2020,10731.999465356033
05/2020,10757.802030961378
06/2020,10868.402203007005
07/2020,10980.257588687482
08/2020,10891.308780840485
09/2020,11046.304102706457
10/2020,11155.970361535801
11/2020,11164.636904823097
12/2020,11184.420442589153
01/2021,11110.607026454592
02/2021,10906.294232357537
03/2021,10919.694601810248
04/2021,10800.38933042699
05/2021,10791.979827474468
06/2021,10845.272856883328
07/2021,11042.547029813224
08/2021,10978.651086595146
09/2021,10847.551947851614
10/2021,10778.382393765218
11/2021,10967.765428417697
12/2021,10796.85930982951
01/2022,10676.637261252308
02/2022,10472.153106932146
03/2022,10232.458710754157
04/2022,9849.802764383052
05/2022,9666.837170088651
06/2022,9487.705760787892
07/2022,9870.104666824227
08/2022,9364.356388137685
09/2022,9008.951001257703
10/2022,9015.377009626922
11/2022,9228.257814882882
12/2022,8796.06162799057
01/2023,9015.308465537648
02/2023,8803.562921760258
03/2023,9018.804214090518
04/2023,9010.578923377903
05/2023,9047.41280335034
06/2023,9021.627373767411
07/2023,9003.694526411664
08/2023,9035.473279800297
09/2023,8793.585472765611
10/2023,8828.303053981794
11/2023,9095.029525366363
12/2023,9416.462748000975
01/2024,9376.921376502307
02/2024,9267.220845628339
03/2024,9361.610340561228
04/2024,9229.281692216393
05/2024,9218.875842663823
06/2024,9234.221150649539
07/2024,9442.736554219997
08/2024,9480.62001555942
09/2024,9604.419208795496
