Date,MSCI Canada
02/2014,279588.82666820637
03/2014,284172.3263183796
04/2014,291119.26972617523
05/2014,298633.8842545586
06/2014,315208.6216199129
07/2014,321531.2726344996
08/2014,333495.1583739313
09/2014,326860.2743269423
10/2014,318958.8037104757
11/2014,320026.0490467349
12/2014,322545.9419532058
01/2015,317519.31336779427
02/2015,338314.8337870935
03/2015,341979.67720989813
04/2015,350809.0032166645
05/2015,342392.1925682831
06/2015,325805.35134898475
07/2015,320185.1386858193
08/2015,292891.18439853674
09/2015,279381.83313576697
10/2015,295980.1513071241
11/2015,302042.0016829409
12/2015,272796.62272302626
01/2016,265124.2263188428
02/2016,276025.28987691156
03/2016,290283.031469169
04/2016,309223.7029450612
05/2016,305223.73930329154
06/2016,307794.5799353805
07/2016,317869.39749432396
08/2016,318334.357370905
09/2016,321009.17830664216
10/2016,324406.0894267625
11/2016,341827.70033531584
12/2016,350960.6696865822
01/2017,356788.75344258716
02/2017,356399.2543094599
03/2017,354708.29429771315
04/2017,339602.5760129577
05/2017,330020.4360800251
06/2017,334416.83042220725
07/2017,338274.2014507291
08/2017,335888.5260028757
09/2017,348863.8989361665
10/2017,353124.5071647799
11/2017,348972.6638274299
12/2017,358048.60145113454
01/2018,347889.68317126407
02/2018,328791.11729471764
03/2018,322895.78948142973
04/2018,337392.91099964577
05/2018,355221.70696545055
06/2018,357202.2124731531
07/2018,363377.75338601734
08/2018,360626.1004731794
09/2018,362617.61691743333
10/2018,341899.37517356157
11/2018,341617.01549005875
12/2018,310527.53377392155
01/2019,349830.08597448125
02/2019,361793.5709825632
03/2019,365116.1582417388
04/2019,376762.0394654261
05/2019,363843.8601280876
06/2019,378067.3837059098
07/2019,383577.91744002886
08/2019,383051.24226087495
09/2019,396905.44223161065
10/2019,386654.00638699235
11/2019,402352.1490015052
12/2019,403523.33066471026
01/2020,408440.255812039
02/2020,381204.3136727249
03/2020,299847.56217019144
04/2020,339344.0499898799
05/2020,342142.37007707165
06/2020,352543.5295731693
07/2020,353134.04171532975
08/2020,369134.3333454649
09/2020,357946.12969402864
10/2020,346351.3312697545
11/2020,384837.8489074963
12/2020,389063.8092632394
01/2021,389168.3504691987
02/2021,411325.6589319021
03/2021,446236.0164318951
04/2021,452152.8682830774
05/2021,472094.7247779528
06/2021,484434.8331000106
07/2021,483608.230843626
08/2021,486892.20639647957
09/2021,484634.609670001
10/2021,518580.8113740388
11/2021,505440.1693106137
12/2021,531037.284511205
01/2022,534509.9824619913
02/2022,533369.1595122414
03/2022,566613.7263580969
04/2022,553171.1494279455
05/2022,552119.1087912021
06/2022,510209.91632018314
07/2022,545060.689037496
08/2022,533217.984957367
09/2022,500462.00367345434
10/2022,524234.27077898016
11/2022,531220.1668976037
12/2022,491329.39992471266
01/2023,527348.2572694015
02/2023,514468.5308781243
03/2023,502670.4462472361
04/2023,512626.216055303
05/2023,498093.631938731
06/2023,521632.41060396965
07/2023,530855.9718318009
08/2023,515889.95008340525
09/2023,513399.57317596726
10/2023,483354.18621555984
11/2023,518366.80276082584
12/2023,547491.9898631036
01/2024,553881.9305920518
02/2024,558109.5641599492
03/2024,581830.0932156785
04/2024,566873.7551833038
05/2024,578966.9235546256
06/2024,575025.7895248288
07/2024,596220.8240278881
08/2024,605859.4447159197
09/2024,615758.1193081866
10/2024,618788.6734070068
