Date,MVIS US Listed Semiconductor 10% Capped
12/2011,10000
01/2012,10846.625432604735
02/2012,10916.769917429147
03/2012,11394.961500449237
04/2012,11035.750847585894
05/2012,10488.591461743126
06/2012,10752.319277204131
07/2012,11046.181455551938
08/2012,11018.72148124653
09/2012,10315.77535962877
10/2012,10097.857307781114
11/2012,10565.421854304637
12/2012,10686.295975443385
01/2013,11166.59572693727
02/2013,11809.880318379159
03/2013,12252.6924014057
04/2013,12453.688517441862
05/2013,12990.931093341535
06/2013,12646.091903669725
07/2013,12960.2482259887
08/2013,12510.209263316963
09/2013,13285.349389115143
10/2013,13440.871189795467
11/2013,13549.30328410844
12/2013,13943.271307374374
01/2014,13814.268400414325
02/2014,14400.199312242092
03/2014,15062.373607484767
04/2014,14627.42272202166
05/2014,15467.653545968984
06/2014,16407.84188021672
07/2014,16291.109118768218
08/2014,17556.04883985442
09/2014,18249.717587220854
10/2014,18452.952163845417
11/2014,19832.544292237442
12/2014,20381.296244131456
01/2015,21127.481344537813
02/2015,23067.45120106761
03/2015,23328.202825541404
04/2015,22357.29983058404
05/2015,24587.75641750228
06/2015,21986.70185003128
07/2015,21414.88856569709
08/2015,19859.951689701295
09/2015,19942.668303133087
10/2015,21987.609013343015
11/2015,23454.704726344644
12/2015,22318.140837696334
01/2016,20835.93711538461
02/2016,21212.568322924322
03/2016,22134.72513833992
04/2016,21216.079321231253
05/2016,23492.509628832708
06/2016,23581.91606016934
07/2016,26251.162017457034
08/2016,27252.216645706074
09/2016,28413.283496102496
10/2016,28601.620491503745
11/2016,30691.526995768694
12/2016,31578.598605445404
01/2017,32112.540753138073
02/2017,33397.56511276776
03/2017,34648.707988027316
04/2017,33750.07339432754
05/2017,35757.118492113
06/2017,33678.81561514196
07/2017,34410.546149910464
08/2017,35111.46735729387
09/2017,37008.32375910554
10/2017,41015.11796700465
11/2017,40444.06641910709
12/2017,39539.9570499458
01/2018,41423.70421449787
02/2018,42196.14051088914
03/2018,40884.76162649135
04/2018,39114.043190661476
05/2018,44333.02432686555
06/2018,42480.71924858466
07/2018,43624.142791411046
08/2018,44929.569727920345
09/2018,44336.97680545957
10/2018,39710.54324085528
11/2018,40020.91135663351
12/2018,37199.34248908297
01/2019,40311.382416434535
02/2019,43128.602128591454
03/2019,45658.489052069424
04/2019,50264.86617935461
05/2019,42418.59287059456
06/2019,46832.812829525494
07/2019,50432.74328759752
08/2019,50185.05345233781
09/2019,52857.28250528056
10/2019,54983.78980634751
11/2019,58287.47335640138
12/2019,61364.42261883567
01/2020,60728.18732356135
02/2020,58980.83490024597
03/2020,52942.90169769988
04/2020,60651.38404744391
05/2020,63248.30918642241
06/2020,67940.26481514557
07/2020,69275.4147366644
08/2020,73729.32623115579
09/2020,74997.79478988727
10/2020,74072.51204479398
11/2020,85118.63907345575
12/2020,87666.65449433622
01/2021,92468.11144528675
02/2021,97551.4774111047
03/2021,102675.29639232409
04/2021,99981.77987088231
05/2021,101641.51330218835
06/2021,110088.96207505892
07/2021,110968.11099150617
08/2021,114800.87841811728
09/2021,111128.2313066759
10/2021,117268.34035208242
11/2021,133810.98631523363
12/2021,136662.38974042024
01/2022,124304.8662961635
02/2022,120835.05531743907
03/2022,122242.48754166291
04/2022,109403.909914611
05/2022,113787.35110613276
06/2022,97630.71563492829
07/2022,114812.11920964895
08/2022,105248.28441
09/2022,92419.07726713171
10/2022,94115.10671777284
11/2022,107965.08105242866
12/2022,94810.0190605663
01/2023,108683.18069786763
02/2023,111487.17118372725
03/2023,120683.21304827588
04/2023,112095.26669702213
05/2023,134251.05742768882
06/2023,138821.44262838212
07/2023,142872.12576431097
08/2023,139784.06013986014
09/2023,133676.94449688503
10/2023,128738.48071381486
11/2023,144581.69516970086
12/2023,158821.9510316742
01/2024,170218.59243333025
02/2024,190694.87682431185
03/2024,199254.97486818983
04/2024,189134.30536480685
05/2024,206117.60230372284
06/2024,224191.47245212516
07/2024,209418.4558736609
08/2024,200849.17822675203
09/2024,200324.63512861737
10/2024,197761.23600441092
