Date,Dow Jones US Select Dividend
06/2017,189415.09457488058
07/2017,185578.51771505878
08/2017,182779.46956068103
09/2017,187608.26281232262
10/2017,192690.09336711094
11/2017,196947.3164079203
12/2017,196123.42848404462
01/2018,192801.78766962868
02/2018,188407.75232058222
03/2018,186048.65582538908
04/2018,192156.5812569603
05/2018,201136.4458075994
06/2018,203826.77337431302
07/2018,207151.3182736176
08/2018,210865.1545191047
09/2018,211592.37632953867
10/2018,208039.72604913008
11/2018,211723.42464793957
12/2018,193212.83857589154
01/2019,205745.77316531114
02/2019,213072.52503445488
03/2019,218724.75327540052
04/2019,225599.87231136858
05/2019,210206.26914931578
06/2019,220913.91377782455
07/2019,227284.8953341637
08/2019,224607.24605617995
09/2019,239142.2215001655
10/2019,233632.25707099223
11/2019,241173.33214321962
12/2019,242432.12832866912
01/2020,242132.3733623691
02/2020,216357.11176189093
03/2020,175627.75098133922
04/2020,193868.06958332614
05/2020,193766.86960902665
06/2020,190489.4557984007
07/2020,185142.610083455
08/2020,187407.0238260756
09/2020,186421.03629499834
10/2020,189666.6396037526
11/2020,209501.36826953257
12/2020,211814.82960955947
01/2021,215610.45772604624
02/2021,234584.38162419395
03/2021,265358.3478911003
04/2021,267618.7703244842
05/2021,270850.59860548686
06/2021,270521.58917721675
07/2021,268014.22254402767
08/2021,277042.617683145
09/2021,275496.8117528525
10/2021,281960.8040325272
11/2021,282026.1984360565
12/2021,303486.3951394596
01/2022,312086.9962033227
02/2022,310368.3946936256
03/2022,325945.8091052581
04/2022,331330.7440023057
05/2022,343268.6926383735
06/2022,322438.6496672506
07/2022,341486.06988737616
08/2022,342434.88650479954
09/2022,317103.2851111708
10/2022,344013.9827018286
11/2022,349574.3695980865
12/2022,329706.67174321203
01/2023,338071.014268623
02/2023,332496.3335325401
03/2023,317479.6674390077
04/2023,315364.7486488005
05/2023,299179.764596416
06/2023,309671.53797874274
07/2023,317985.3212826956
08/2023,310184.619832009
09/2023,305914.8275122863
10/2023,296983.95038798003
11/2023,308736.3117168258
12/2023,323129.3851928123
01/2024,323706.3926641099
02/2024,328197.24729442876
03/2024,350417.3734836546
04/2024,342527.17977398925
05/2024,352722.73864695214
06/2024,350303.5932854587
07/2024,372607.0759519467
08/2024,375111.075958602
09/2024,378925.89795218065
