Date,Dow Jones US Select Dividend
02/1992,10000
03/1992,10251.867604876321
04/1992,10463.906850439405
05/1992,10348.432349441955
06/1992,10055.023533551263
07/1992,9844.33945429005
08/1992,9281.858164814648
09/1992,9739.800512409398
10/1992,10163.903594309993
11/1992,11267.384170834583
12/1992,11788.741558277256
01/1993,12132.652213696982
02/1993,12804.547171394997
03/1993,13310.664153733536
04/1993,12818.773599435986
05/1993,12865.041127018463
06/1993,13322.962738937376
07/1993,14156.451079121036
08/1993,14745.356163933417
09/1993,14268.686544312233
10/1993,14540.890533159394
11/1993,14519.28793095561
12/1993,14807.854231045976
01/1994,15607.707509881422
02/1994,15037.075697864368
03/1994,14140.726895797457
04/1994,14549.484802745095
05/1994,14573.123112160849
06/1994,14140.367780716077
07/1994,14145.139820977314
08/1994,14639.552214531343
09/1994,13943.99073892498
10/1994,13804.391665585292
11/1994,13430.17001550673
12/1994,13756.818230711913
01/1995,14105.829123829453
02/1995,14703.91461887564
03/1995,14390.99327281868
04/1995,14402.291513587477
05/1995,15425.22704663296
06/1995,15356.057579503655
07/1995,15565.417447443671
08/1995,16607.073349511582
09/1995,17550.393037265887
10/1995,17061.2444928964
11/1995,18035.160124613194
12/1995,18675.990925713966
01/1996,19318.87430414234
02/1996,19780.083756071817
03/1996,20110.79947676173
04/1996,20187.575350618827
05/1996,20884.580944048077
06/1996,20750.4777243149
07/1996,19748.35893586542
08/1996,20382.095188833715
09/1996,21500.54848901513
10/1996,22568.120103623707
11/1996,23851.526563132174
12/1996,23981.28670384816
01/1997,25444.61361619746
02/1997,27603.746963670143
03/1997,26684.97788155973
04/1997,27775.55757228259
05/1997,29191.655468865036
06/1997,30644.18965138987
07/1997,34175.0663767315
08/1997,34392.51935716506
09/1997,35660.68201268131
10/1997,34133.02176457616
11/1997,34691.69164353011
12/1997,36936.75051413665
01/1998,36955.931059064416
02/1998,39625.522179376065
03/1998,41975.01095565745
04/1998,41953.02153292134
05/1998,40425.6075105735
06/1998,40657.65436609426
07/1998,39625.277124268294
08/1998,33450.54299535102
09/1998,33291.30593324414
10/1998,33487.19881644201
11/1998,36249.945920276405
12/1998,36449.594608536565
01/1999,36120.79898164104
02/1999,36715.19291003613
03/1999,38238.61356358745
04/1999,43324.56150960977
05/1999,43826.911254475206
06/1999,45401.72789861269
07/1999,42433.41569920473
08/1999,40579.63181736206
09/1999,38654.06800134373
10/1999,41150.145716922896
11/1999,41283.132384923265
12/1999,40912.69263589633
01/2000,40457.628812595445
02/2000,36477.815494922135
03/2000,41855.19840187848
04/2000,43258.6734172243
05/2000,44106.11611234131
06/2000,38935.11551509258
07/2000,42808.682786668476
08/2000,48832.14774855975
09/2000,51323.08411844115
10/2000,53642.82457318807
11/2000,52838.411263300615
12/2000,55152.42498781036
01/2001,56404.7400206454
02/2001,57298.98289238969
03/2001,59577.764803721795
04/2001,62181.637258836156
05/2001,66869.14039610921
06/2001,68990.83504682356
07/2001,67740.61704193555
08/2001,63161.23160146442
09/2001,58818.488725589705
10/2001,58405.813337869535
11/2001,63503.31804874594
12/2001,65853.72604494555
01/2002,67245.22227097095
02/2002,69661.52230665505
03/2002,74017.08482295768
04/2002,72384.48940047518
05/2002,70301.86454505935
06/2002,61687.23332894631
07/2002,57702.699684220424
08/2002,58682.7368838255
09/2002,52146.89904856586
10/2002,53779.773067300834
11/2002,56617.704499765285
12/2002,53158.918974566506
01/2003,50119.255744255745
02/2003,49214.09576849803
03/2003,47706.05510378442
04/2003,49813.04571536317
05/2003,51173.4546153794
06/2003,53379.45627602847
07/2003,55175.36513595119
08/2003,58084.52965698082
09/2003,53611.13453331247
10/2003,57665.29356257983
11/2003,57229.1283981912
12/2003,57449.63927944409
01/2004,59539.55359605005
02/2004,61392.30324389314
03/2004,61539.739284162235
04/2004,61153.034409409476
05/2004,61115.2294314894
06/2004,62868.38759938039
07/2004,62886.43219530878
08/2004,64508.74022854938
09/2004,64089.41361889256
10/2004,63475.32345177002
11/2004,63647.49275284456
12/2004,62931.73289939791
01/2005,63988.32227961161
02/2005,64373.517211558465
03/2005,65119.370655235856
04/2005,64765.41548387888
05/2005,70004.23065984235
06/2005,72460.79137678325
07/2005,74986.9118509978
08/2005,73463.05996234351
09/2005,74198.48429986858
10/2005,73347.44111993515
11/2005,75842.84028819599
12/2005,75412.84003192153
01/2006,74755.66770535806
02/2006,77244.74284525543
03/2006,75723.39181264726
04/2006,74928.28342730025
05/2006,72142.41570622752
06/2006,73485.01067501474
07/2006,75432.91598624471
08/2006,75855.9418880896
09/2006,78033.6062042223
10/2006,80433.05876337846
11/2006,78815.0941943432
12/2006,80753.53486762817
01/2007,82928.07359786838
02/2007,81204.1177977338
03/2007,81686.57507799694
04/2007,82322.4696304606
05/2007,85069.96963685143
06/2007,82046.22459297861
07/2007,76099.38777999528
08/2007,77853.66697766169
09/2007,75816.30829728906
10/2007,74380.2407577345
11/2007,70560.02374135057
12/2007,68515.76649221539
01/2008,68131.51434396427
02/2008,60875.4838890058
03/2008,58292.99106397403
04/2008,60717.4926802256
05/2008,60046.838359742775
06/2008,50287.29018408309
07/2008,53043.28655889568
08/2008,58586.3409985214
09/2008,61670.30225443024
10/2008,60648.30384859285
11/2008,55622.38977880493
12/2008,50027.20533166563
01/2009,45633.59271407634
02/2009,39274.02467001933
03/2009,40238.205554981345
04/2009,44775.071060111586
05/2009,43245.96742701069
06/2009,43082.81299175904
07/2009,47261.86555545606
08/2009,48373.72810704601
09/2009,49170.24505651213
10/2009,47911.84549880201
11/2009,49755.006561931594
12/2009,53707.77421698233
01/2010,53851.87532551628
02/2010,57264.518378676854
03/2010,60810.39292818001
04/2010,63556.355545057406
05/2010,64031.17459377418
06/2010,62238.22529243936
07/2010,62930.11603206368
08/2010,62654.031745240085
09/2010,62409.04738515473
10/2010,63105.13286331504
11/2010,66858.38302535184
12/2010,68510.56169382637
01/2011,67046.07190241454
02/2011,68279.05975890464
03/2011,68096.8484173885
04/2011,67031.41764315618
05/2011,69878.05502744071
06/2011,68650.81359728175
07/2011,67480.16785945928
08/2011,66243.9557734277
09/2011,67636.64665271071
10/2011,70539.2512295746
11/2011,74725.21341542188
12/2011,79535.49751692876
01/2012,78107.58023160018
02/2012,78942.86825697709
03/2012,80948.4415736613
04/2012,82920.73401950278
05/2012,85545.98250464257
06/2012,87085.32894049349
07/2012,91087.1918703244
08/2012,88494.30070572412
09/2012,87880.94080840978
10/2012,87821.834134464
11/2012,87660.38881467536
12/2012,86452.3939196221
01/2013,88341.76367511839
02/2013,92636.44745906052
03/2013,99568.93779361226
04/2013,100709.1488948495
05/2013,99899.01980695527
06/2013,99286.56644512246
07/2013,103257.49121917141
08/2013,99267.56924355518
09/2013,100506.58109979134
10/2013,104781.2588440427
11/2013,106172.44721144062
12/2013,106746.62863500575
01/2014,106221.88830637433
02/2014,107590.75107562199
03/2014,110769.07766997446
04/2014,112603.45192399815
05/2014,115425.38410972495
06/2014,118416.97384663126
07/2014,115774.75998460212
08/2014,122273.78824443348
09/2014,124418.9033154131
10/2014,132370.3368132846
11/2014,134060.65925548074
12/2014,139877.22465435424
01/2015,149580.48723962228
02/2015,151363.8172132679
03/2015,156335.8461491066
04/2015,150772.38301832692
05/2015,154282.7680028742
06/2015,146352.9211329652
07/2015,151669.505719561
08/2015,142832.64150995642
09/2015,142868.87440864052
10/2015,153537.1468159136
11/2015,160101.96521463714
12/2015,153430.63181202803
01/2016,151733.16124868914
02/2016,156584.9358449109
03/2016,160846.11315819426
04/2016,161403.5475522727
05/2016,166734.885667692
06/2016,173853.66898654748
07/2016,177220.27447315888
08/2016,175160.5506774311
09/2016,175301.01667341977
10/2016,175372.1142020223
11/2016,187348.1183684164
12/2016,193301.17653575123
01/2017,192331.90240721623
02/2017,200755.3888849251
03/2017,198064.82610612863
04/2017,194653.19731384414
05/2017,191114.25595440425
