Date,iBoxx EUR Breakeven Euro-Inflation France & Germany
04/2016,10000
05/2016,9967.406753381012
06/2016,9890.419071410119
07/2016,9897.062623826356
08/2016,9927.394693772074
09/2016,9966.653027823246
10/2016,9993.399517615651
11/2016,10034.380652941682
12/2016,10122.631148247037
01/2017,10184.7165991903
02/2017,10124.838487380499
03/2017,10060.847187526939
04/2017,10076.16935136534
05/2017,10057.3369799294
06/2017,10055.075803256135
07/2017,10080.950124903155
08/2017,10061.76242570427
09/2017,10077.224567146248
10/2017,10072.31458351287
11/2017,10099.760961323183
12/2017,10119.64854853998
01/2018,10105.543113101945
02/2018,10107.825824791145
03/2018,10076.686191747824
04/2018,10097.585924713636
05/2018,10108.924110603893
06/2018,10123.600223964237
07/2018,10117.139719183455
08/2018,10104.520199844996
09/2018,10102.183650615954
10/2018,10062.042380911418
11/2018,9954.604186407161
12/2018,9873.38487380488
01/2019,9852.926608665748
02/2019,9831.563872857338
03/2019,9770.382892583406
04/2019,9804.96812817649
05/2019,9734.214833319069
06/2019,9721.444568869087
07/2019,9766.18356447593
08/2019,9669.73899560695
09/2019,9654.890602119149
10/2019,9679.774313033096
11/2019,9703.279782927142
12/2019,9750.053837539921
01/2020,9689.37893014049
02/2020,9617.22585924721
03/2020,9310.233439572818
04/2020,9358.837970540177
05/2020,9382.795675768866
06/2020,9429.505125333846
07/2020,9489.846239986275
08/2020,9506.36359720912
09/2020,9394.66146954954
10/2020,9374.170901886515
11/2020,9476.860625376907
12/2020,9504.780773537834
01/2021,9582.726763717856
02/2021,9603.432681540224
03/2021,9742.06434662765
04/2021,9789.645964338057
05/2021,9861.659057627763
06/2021,9853.841846843026
07/2021,9910.080540959672
08/2021,9950.458695839516
09/2021,10087.399862175993
10/2021,10136.844258764848
11/2021,10130.68524420718
12/2021,10238.29646793562
01/2022,10348.068032978097
02/2022,10547.892091405283
03/2022,10949.935428608364
04/2022,11258.518020395895
05/2022,11145.644106659014
06/2022,11013.197112754295
07/2022,11145.808046359582
08/2022,11283.080823944334
09/2022,11063.370314168822
10/2022,11319.352909343783
11/2022,11373.884091910419
12/2022,11378.601329326415
01/2023,11315.79133671293
02/2023,11589.030501583617
03/2023,11468.3838384243
04/2023,11492.150240187588
05/2023,11535.404351481075
06/2023,11584.039886051005
07/2023,11692.334020624954
08/2023,11680.63215854964
09/2023,11694.21767799036
10/2023,11724.891422717616
11/2023,11640.914488349139
12/2023,11558.521894329728
01/2024,11549.767753662052
02/2024,11645.69903441742
03/2024,11666.000607969188
04/2024,11791.270979861672
05/2024,11799.056048699626
06/2024,11813.045196438765
07/2024,11772.739092621488
08/2024,11747.022561085389
09/2024,11740.594404008983
