Date,Bloomberg US Floating Rate Notes 1-5 Year
03/2018,10000
04/2018,10234.398204562998
05/2018,10586.528311287315
06/2018,10643.963489721544
07/2018,10604.3081523451
08/2018,10709.867920347406
09/2018,10802.197526242699
10/2018,11062.76405057183
11/2018,11010.736815956188
12/2018,10907.274934279461
01/2019,10947.641437335074
02/2019,11060.603663497757
03/2019,11279.815168530782
04/2019,11342.503975015352
05/2019,11436.569829347442
06/2019,11238.642528479231
07/2019,11506.717858349426
08/2019,11648.313094745025
09/2019,11837.533249334949
10/2019,11593.122036098004
11/2019,11802.29639750938
12/2019,11564.675920163956
01/2020,11793.666793348862
02/2020,11884.85564080207
03/2020,11542.137555445006
04/2020,11830.402829272805
05/2020,11638.34868639585
06/2020,11651.947856301607
07/2020,11051.294862009694
08/2020,10987.669404189335
09/2020,11210.39891629201
10/2020,11233.636232660929
11/2020,10982.66710555398
12/2020,10731.13013253694
01/2021,10864.545169964698
02/2021,10886.088794669544
03/2021,11250.978743837983
04/2021,10924.727056570546
05/2021,10828.420381532691
06/2021,11123.4072845532
07/2021,11120.071677359574
08/2021,11178.54159745346
09/2021,11430.048361336554
10/2021,11365.396916781572
11/2021,11641.915352709364
12/2021,11678.492313632833
01/2022,11863.838325456183
02/2022,11817.385140653741
03/2022,11891.865268030931
04/2022,12528.580618648457
05/2022,12326.26508866243
06/2022,12670.830152976365
07/2022,12926.703518031447
08/2022,13246.59060534834
09/2022,13616.332999019907
10/2022,13407.360713362015
11/2022,12869.984162924828
12/2022,12585.551140061141
01/2023,12497.649031772684
02/2023,12822.057255160731
03/2023,12518.864601740412
04/2023,12475.991137018096
05/2023,12908.462322943225
06/2023,12764.3144257602
07/2023,12656.129236696272
08/2023,12905.19947409947
09/2023,13306.985969009902
10/2023,13339.165876890664
11/2023,13027.66897194191
12/2023,12962.42116518525
01/2024,13300.81561014548
02/2024,13393.416216934193
03/2024,13487.75016811508
04/2024,13677.168243703392
05/2024,13583.218778798946
06/2024,13832.54160044981
07/2024,13746.342003656595
08/2024,13486.340528886025
09/2024,13421.863262711939
