Date,MSCI USA Quality
06/1994,10000
07/1994,9921.577592884832
08/1994,10544.242470407735
09/1994,10359.973990326354
10/1994,10510.98195738614
11/1994,10567.516905437897
12/1994,10885.268700802968
01/1995,10991.567934071696
02/1995,11279.702646300624
03/1995,11172.373127160956
04/1995,11319.63329649606
05/1995,11960.566091260205
06/1995,12411.084258245279
07/1995,12654.827168718468
08/1995,12954.828257476927
09/1995,13714.034295215464
10/1995,13786.006997657652
11/1995,14291.779450073946
12/1995,14499.522581234389
01/1996,15249.755270032489
02/1996,15585.907422929318
03/1996,15509.35587622609
04/1996,16090.84344380061
05/1996,16938.769701445657
06/1996,17014.238951878688
07/1996,16211.764949149852
08/1996,16322.612520000612
09/1996,17639.56011911397
10/1996,17944.24278365253
11/1996,19317.2509179406
12/1996,19431.501242749186
01/1997,21681.96190538846
02/1997,22626.238020683468
03/1997,21697.962779947713
04/1997,23724.338792037397
05/1997,24991.974892864335
06/1997,26430.411264308692
07/1997,29132.20087404643
08/1997,28024.36110564302
09/1997,28373.658832892415
10/1997,27176.458881856597
11/1997,27963.55154863972
12/1997,28912.256579425815
01/1998,30621.343840212652
02/1998,32792.32296798427
03/1998,34469.98001303881
04/1998,34546.237274419014
05/1998,33389.320937205775
06/1998,35890.71140850913
07/1998,36146.57955910392
08/1998,31287.407545587874
09/1998,32485.1059743971
10/1998,33624.89229488034
11/1998,37500.65481039914
12/1998,39790.926991942746
01/1999,42912.79907828382
02/1999,42701.52209605051
03/1999,45393.17301821783
04/1999,46409.13629775198
05/1999,45975.27796666365
06/1999,49379.85532135392
07/1999,46446.44644291747
08/1999,47489.06707601244
09/1999,45350.48435651325
10/1999,48926.65695678385
11/1999,52210.03012724335
12/1999,55771.592512244926
01/2000,53708.60194254415
02/2000,53516.06826778617
03/2000,59113.13175645004
04/2000,60233.62257298458
05/2000,57428.85737175273
06/2000,59546.783420858425
07/2000,59524.584003317425
08/2000,64211.14488285351
09/2000,61798.742128610356
10/2000,65564.27863123213
11/2000,59777.256715433796
12/2000,54381.7019387783
01/2001,55980.860783814176
02/2001,50860.37858555189
03/2001,49515.32311004599
04/2001,52588.102452204344
05/2001,55307.88677717728
06/2001,53951.73473804542
07/2001,53037.63760459782
08/2001,47620.95845041473
09/2001,45053.117440173744
10/2001,46688.71601421456
11/2001,51180.007078450835
12/2001,51811.02751763535
01/2002,53299.14041514991
02/2002,52408.4905497381
03/2002,53137.745970039265
04/2002,48086.80056351842
05/2002,45609.146409175206
06/2002,39914.53258099177
07/2002,38259.72223644981
08/2002,38316.84045407341
09/2002,34304.89680807874
10/2002,37776.726608640965
11/2002,38917.68120836327
12/2002,34906.02008896369
01/2003,32766.13598023745
02/2003,32508.160406758503
03/2003,32621.26361760086
04/2003,33876.06994594211
05/2003,33245.006318783446
06/2003,34783.11486972365
