Date,MSCI USA Quality
07/2003,35094.556283926904
08/2003,36913.11557309312
09/2003,34335.48028723619
10/2003,35866.957044654846
11/2003,34904.08499580065
12/2003,34652.988059356365
01/2004,35604.04944732867
02/2004,36058.54986065048
03/2004,36024.66224082681
04/2004,37445.32519589844
05/2004,36736.769914461525
06/2004,37367.12407033024
07/2004,36518.607387176795
08/2004,36514.50404350885
09/2004,35601.0000506283
10/2004,34845.68767880072
11/2004,34547.915203828416
12/2004,35229.757782977314
01/2005,36379.43133045884
02/2005,36684.209920485744
03/2005,37095.83387550805
04/2005,36278.59382306282
05/2005,39182.43126035439
06/2005,39483.594265173386
07/2005,40870.99632008005
08/2005,39909.15925743852
09/2005,40370.81908674887
10/2005,39847.50607390626
11/2005,41923.574991187124
12/2005,41495.18769891536
01/2006,41020.77745714176
02/2006,41870.35892935107
03/2006,41332.399897869655
04/2006,39765.94861611013
05/2006,37615.96627935661
06/2006,38257.38601425464
07/2006,38313.74131809312
08/2006,39050.69187570162
09/2006,40405.072346803514
10/2006,41900.006590420395
11/2006,41133.85377217462
12/2006,41419.953932510354
01/2007,42648.959348112956
02/2007,40685.984341525895
03/2007,40785.277650146294
04/2007,41961.886364848564
05/2007,43877.24571025273
06/2007,43123.99038361233
07/2007,41793.99652501421
08/2007,42870.083232736775
09/2007,42790.69754836916
10/2007,42690.769742949924
11/2007,40519.48395683205
12/2007,40780.36117092795
01/2008,37472.63857530094
02/2008,36274.525519420065
03/2008,34635.924399428994
04/2008,36402.05172792944
05/2008,37456.10516563099
06/2008,34455.07183111755
07/2008,34480.43526401273
08/2008,37335.98400978535
09/2008,35684.136240571315
10/2008,33933.202207951996
11/2008,32373.36512705289
12/2008,29921.524622711957
01/2009,31011.42045312559
02/2009,28766.481636504774
03/2009,29695.450192980617
04/2009,31841.33560528577
05/2009,31532.764195806216
06/2009,31936.35427776191
07/2009,33756.98905264595
08/2009,34161.036461200565
09/2009,34412.83596400318
10/2009,34081.61762748773
11/2009,35599.55836573275
12/2009,37876.28859090906
01/2010,37365.20880334765
02/2010,39316.91663133625
03/2010,41538.15512670222
04/2010,42425.34643351787
05/2010,42097.399807054746
06/2010,40563.97919607902
07/2010,40517.38449173054
08/2010,40173.61923080141
09/2010,41078.130462673405
10/2010,42267.7517792012
11/2010,44978.60782891567
12/2010,45703.15555437739
01/2011,45166.90120601128
02/2011,45932.30979217207
03/2011,44725.668492664845
04/2011,44674.82865520298
05/2011,46051.385836661255
06/2011,45561.08420750385
07/2011,46024.27692001566
08/2011,43555.68100244563
09/2011,44402.599834937675
10/2011,46646.15993656536
11/2011,48890.3289238852
12/2011,50841.80512952343
01/2012,52546.17027369462
02/2012,53542.31141273889
03/2012,55806.37836379248
04/2012,56201.18589223325
05/2012,56423.05017025828
06/2012,57194.37587328974
07/2012,59228.00414439442
08/2012,59265.62885804058
09/2012,58957.589576580416
10/2012,56533.401620005825
11/2012,57129.2331444642
12/2012,56472.47320989998
01/2013,57773.02449771338
02/2013,60462.140034698794
03/2013,63981.7240585565
04/2013,64001.5048794438
05/2013,66096.70369266381
06/2013,63962.74254425831
07/2013,65750.97042291715
08/2013,64616.83598272226
09/2013,65674.85730301413
10/2013,68097.52599023317
11/2013,70972.31791380366
12/2013,71727.338595557
01/2014,70153.75656097961
02/2014,71926.04575701353
03/2014,71683.05030046352
04/2014,72021.14656715153
05/2014,74834.17533133556
06/2014,74984.94949001404
07/2014,75921.78492818266
08/2014,80432.1750644769
09/2014,83412.03907063064
10/2014,86204.4308133027
11/2014,88482.95700967548
12/2014,90639.39541818823
01/2015,95668.05953766414
02/2015,101952.58701013107
03/2015,104816.39050221682
04/2015,100846.3792219049
05/2015,104507.7488618698
06/2015,100410.25885910125
07/2015,105440.01711882108
08/2015,97479.18314110172
09/2015,96800.7261105611
10/2015,107531.5708576118
11/2015,112180.86021919192
12/2015,107617.59802427076
01/2016,102285.47031120844
02/2016,102411.494984003
03/2016,104028.57031709459
04/2016,102427.00505389756
05/2016,106075.08825362964
06/2016,105850.78562340314
07/2016,110755.83425490954
08/2016,110534.5818198413
09/2016,110791.5657967084
10/2016,110620.6138389291
11/2016,116598.64393177246
12/2016,119316.3192648256
01/2017,118987.17726894964
02/2017,126425.17446312582
03/2017,126166.69411030282
04/2017,125574.36829149486
05/2017,124680.51871810971
06/2017,121387.29047980104
07/2017,119948.99556845555
08/2017,120064.03930203598
09/2017,122744.96525051435
10/2017,129736.06774731916
11/2017,131619.20621615142
12/2017,131418.540748332
01/2018,134026.58080666498
02/2018,133192.55697336004
03/2018,129363.74847958832
04/2018,129964.24516668795
05/2018,138903.8197004331
06/2018,140092.62121670222
07/2018,144128.02045616606
08/2018,151106.92282012996
09/2018,153120.852951873
10/2018,145514.43722177908
11/2018,146610.04753892266
12/2018,133353.40058118102
01/2019,143572.9104886307
02/2019,151208.19015603015
03/2019,158621.12372281516
04/2019,165944.47131739068
05/2019,155548.72714319965
06/2019,162935.20454384902
07/2019,170565.67457167458
08/2019,169813.82634036074
09/2019,174363.86158422334
10/2019,175330.46502056142
11/2019,185736.77534594145
12/2019,188167.37389268872
01/2020,192346.73187390517
02/2020,179041.45660514606
03/2020,163756.19296353142
04/2020,184287.61086150803
05/2020,190530.37261857613
06/2020,191619.82957408208
07/2020,189352.53658368802
08/2020,203005.77255055975
09/2020,200966.17011171344
10/2020,193208.34109310733
11/2020,208967.20520477806
12/2020,210726.1017687257
01/2021,207728.38675667613
02/2021,212702.7181033343
03/2021,228757.3400305056
04/2021,232268.77496852612
05/2021,231987.57619271823
06/2021,249663.7219568962
07/2021,258296.51767370754
08/2021,267495.7000677091
09/2021,255819.22893483128
10/2021,271999.45580543386
11/2021,278341.81279291527
12/2021,290279.98311819264
01/2022,272659.53540663037
02/2022,257564.00979290408
03/2022,269759.1277294361
04/2022,258783.78747939915
05/2022,253248.90603764573
06/2022,241395.26971771577
07/2022,267324.42596798
08/2022,256542.07319062547
09/2022,237988.1783643185
10/2022,250637.9396471664
11/2022,257580.67272267726
12/2022,237424.76736174812
01/2023,246985.56366459685
02/2023,246832.89110972258
03/2023,256961.81131308153
04/2023,259632.71499221624
05/2023,275150.5581279785
06/2023,286938.58219561004
07/2023,293019.67897007614
08/2023,296962.3001969133
09/2023,289883.9218725026
10/2023,284754.7650801746
11/2023,299906.27500467945
12/2023,310995.69923462695
01/2024,327024.6358981468
02/2024,349988.12576144404
03/2024,358597.2694947064
04/2024,345844.50975887594
05/2024,361433.90030494356
06/2024,381304.53078225214
07/2024,378006.89879594796
08/2024,382289.9703303949
09/2024,382085.25501409284
10/2024,386155.0790687825
