Date,Dow Jones Global Titans 50
08/2001,10000
09/2001,9416.662127093921
10/2001,9949.503155206698
11/2001,10468.266353712595
12/2001,10823.70787126015
01/2002,10427.308126208614
02/2002,10332.815090374548
03/2002,10599.690390686479
04/2002,9335.839819047404
05/2002,9133.740419293898
06/2002,8075.75664225274
07/2002,7464.560786443295
08/2002,7491.887860997944
09/2002,6588.117929471279
10/2002,7413.602992099977
11/2002,7794.366242810057
12/2002,6916.479769267015
01/2003,6410.785998889352
02/2003,6335.76789231959
03/2003,6356.115198072173
04/2003,6747.395624229602
05/2003,6610.232911330758
06/2003,7012.427342597406
07/2003,7122.602719033592
08/2003,7300.016394363306
09/2003,6949.987655029293
10/2003,7213.230396079469
11/2003,7101.702014313851
12/2003,7235.094196657058
01/2004,7426.096638770587
02/2004,7509.373127426243
03/2004,7439.328907626553
04/2004,7587.469853650734
05/2004,7470.9597999009675
06/2004,7585.924596784838
07/2004,7462.246090919665
08/2004,7484.975023411328
09/2004,7339.6430258765595
10/2004,7236.902420753928
11/2004,7169.453488568483
12/2004,7235.876502543613
01/2005,7388.520870526202
02/2005,7548.0010889784435
03/2005,7505.710508587922
04/2005,7435.295734223863
05/2005,7953.485854471469
06/2005,8127.934877030272
07/2005,8267.740994491463
08/2005,8082.142464097674
09/2005,8415.868424518987
10/2005,8282.104281947755
11/2005,8621.850591664375
12/2005,8611.604493045998
01/2006,8609.178425709908
02/2006,8738.212401962799
03/2006,8774.997862850609
04/2006,8633.268473128997
05/2006,8235.327796330495
06/2006,8361.659222019664
07/2006,8599.90969584185
08/2006,8851.490402463778
09/2006,9030.972457794029
10/2006,9206.782054640395
11/2006,9027.78516952617
12/2006,9301.29336410194
01/2007,9411.022928904364
02/2007,9048.287855176333
03/2007,9042.81290337816
04/2007,9303.942391318898
05/2007,9620.953821505327
06/2007,9612.085705778205
07/2007,9335.838197127805
08/2007,9394.62326732762
09/2007,9384.303966071346
10/2007,9381.099701711684
11/2007,8958.376958465213
12/2007,8942.174306055753
01/2008,8126.099945324008
02/2008,7835.340040742188
03/2008,7478.949592101277
04/2008,7933.219969082752
05/2008,7813.9078870338635
06/2008,7134.236748316767
07/2008,7150.161619962915
08/2008,7471.360738425825
09/2008,7055.868296495465
10/2008,6678.967376990319
11/2008,6263.649129224887
12/2008,5640.891149234487
01/2009,5661.363559052136
02/2009,5201.359480032472
03/2009,5327.2186027344305
04/2009,5725.677645036754
05/2009,5708.915646621607
06/2009,5792.786731002235
07/2009,6210.235207968911
08/2009,6337.258436431012
09/2009,6419.255554907027
10/2009,6417.864921042899
11/2009,6584.002146297018
12/2009,6986.392181067298
01/2010,6849.218114731262
02/2010,7009.55265230025
03/2010,7403.855363438338
04/2010,7507.652378859744
05/2010,7274.128611260756
06/2010,7068.700816234282
07/2010,7091.1516435787125
08/2010,7018.038427513914
09/2010,7056.525390188982
10/2010,7189.313245289626
11/2010,7444.603282034323
12/2010,7816.5020933683745
01/2011,7828.720229963113
02/2011,7998.156980321335
03/2011,7695.9954134708805
04/2011,7659.763027166309
05/2011,7751.224911525907
06/2011,7537.820732167808
07/2011,7590.95568325277
08/2011,7088.281819040354
09/2011,7144.034440230023
10/2011,7528.2263208442855
11/2011,7645.648866560414
12/2011,8085.209946571156
01/2012,8261.259911902085
02/2012,8513.496414681847
03/2012,8754.381210316627
04/2012,8685.467468477396
05/2012,8613.647571100792
06/2012,8880.652192468744
07/2012,9364.573530406224
08/2012,9352.289003235903
09/2012,9448.020753131661
10/2012,9173.163662089444
11/2012,9169.791366859334
12/2012,9117.701797019874
01/2013,9207.996007396212
02/2013,9596.990283814952
03/2013,9949.828836662164
04/2013,10005.807120932031
05/2013,10211.387268272832
