Date,Dow Jones Global Titans 50
06/2013,9916.249262053614
07/2013,10137.178607710914
08/2013,9973.44971680527
09/2013,9989.438708339561
10/2013,10426.817765849868
11/2013,10682.212902984575
12/2013,10640.346184249243
01/2014,10469.09883097874
02/2014,10637.363690362747
03/2014,10824.766335990418
04/2014,10991.71538606779
05/2014,11359.382717296192
06/2014,11468.2497452559
07/2014,11594.386432465222
08/2014,12069.49058295099
09/2014,12392.714938353107
10/2014,12512.14909688381
11/2014,12762.718266315867
12/2014,12836.33708878364
01/2015,13353.439982260094
02/2015,14233.588601131756
03/2015,14472.999936874889
04/2015,14414.95694895557
05/2015,14716.698114245983
06/2015,14045.862544736057
07/2015,14475.088212422506
08/2015,13300.906655218367
09/2015,13023.458169168938
10/2015,14427.265372407983
11/2015,15069.683504880884
12/2015,14429.688195904879
01/2016,13866.74758387503
02/2016,13579.631051352288
03/2016,13816.423203199083
04/2016,13781.379900216478
05/2016,14446.454843822874
06/2016,14573.88322780079
07/2016,15011.804330841062
08/2016,15153.984506083203
09/2016,15100.50105854042
10/2016,15176.144469179559
11/2016,15914.746758988347
12/2016,16536.047606411063
01/2017,16382.277193714917
02/2017,17297.780632260157
03/2017,17374.78310339523
04/2017,17239.949899552354
05/2017,17076.76316230465
06/2017,16769.96863618382
07/2017,16631.838718564144
08/2017,16606.696477837235
09/2017,16947.39885509344
10/2017,17698.50333368273
11/2017,17626.787996056268
12/2017,17742.33160198102
01/2018,18053.11767223483
02/2018,17751.930230295497
03/2018,17083.72217053585
04/2018,17594.028572124913
05/2018,18512.68913123347
06/2018,18601.743005628516
07/2018,19384.196594993893
08/2018,20091.797621716578
09/2018,20366.295944143505
10/2018,19547.00747940654
11/2018,19621.758077370454
12/2018,17947.278119398496
01/2019,19111.581861861192
02/2019,19892.554746760718
03/2019,20826.742590957736
04/2019,21720.140887289064
05/2019,20500.557367263777
06/2019,21453.232067305424
07/2019,22232.330986300334
08/2019,21928.79932990067
09/2019,22690.71206444133
10/2019,22758.35000432404
11/2019,23826.586908301833
12/2019,24270.48035181728
01/2020,24837.907409713738
02/2020,22916.97914749873
03/2020,21001.948509329377
04/2020,23610.823592823097
05/2020,24053.703228461236
06/2020,24681.916264702726
07/2020,24819.456668612173
08/2020,26649.658641069687
09/2020,25724.211213463368
10/2020,24770.0908424192
11/2020,26601.67241968757
12/2020,27429.645939492926
01/2021,27496.185515423236
02/2021,27796.463384851482
03/2021,29466.567187489556
04/2021,30479.16641031326
05/2021,29898.12528368725
06/2021,32098.535054104967
07/2021,32848.95562326337
08/2021,34169.65415246126
09/2021,33038.97831781116
10/2021,35411.043516470476
11/2021,36348.191472063525
12/2021,37074.92325671161
01/2022,35697.442403634675
02/2022,34169.370100275504
03/2022,35941.245032627936
04/2022,33938.0002419039
05/2022,33161.40491800191
06/2022,31130.380429027144
07/2022,34887.83139250469
08/2022,33540.452934672125
09/2022,31112.99615412587
10/2022,32298.835528767304
11/2022,32838.78705240182
12/2022,29758.163137560652
01/2023,31542.436347711275
02/2023,31637.43434118048
03/2023,33250.09688807044
04/2023,33457.69546028813
05/2023,35922.53727133393
06/2023,37168.92668908275
07/2023,38072.460793499726
08/2023,38198.596723813236
09/2023,37282.311736277254
10/2023,36607.97465860918
11/2023,38710.194930298865
12/2023,39646.158019560906
01/2024,41595.86605565135
02/2024,44522.476594240456
03/2024,46024.413825822216
04/2024,44952.26225670044
05/2024,46680.69710017859
06/2024,50371.29924172231
07/2024,49557.08835848177
08/2024,49343.64503679735
09/2024,49687.37715986437
