Date,Bloomberg Euro Government Float Adjusted Bond
11/2013,10000
12/2013,9941.963820650002
01/2014,10148.880980556105
02/2014,10211.33599755738
03/2014,10300.05788830676
04/2014,10392.479739772745
05/2014,10494.498838251035
06/2014,10602.096895223278
07/2014,10693.15054505009
08/2014,10885.099388297014
09/2014,10896.051591950089
10/2014,10923.332891595528
11/2014,11063.367302862285
12/2014,11177.059721416985
01/2015,11414.536605303503
02/2015,11489.93447840733
03/2015,11619.515068966462
04/2015,11467.816103634694
05/2015,11307.51998443202
06/2015,11033.490943868244
07/2015,11270.384792004596
08/2015,11158.276782042898
09/2015,11294.250994301041
10/2015,11406.398675260723
11/2015,11457.346542486755
12/2015,11346.141751644598
01/2016,11556.26375258224
02/2016,11661.55487685179
03/2016,11712.700907129172
04/2016,11592.584409781739
05/2016,11705.6829790419
06/2016,11953.804296390363
07/2016,12048.915265871412
08/2016,12015.862667368649
09/2016,12039.419627825446
10/2016,11802.28852151218
11/2016,11628.794880245952
12/2016,11699.429918213817
01/2017,11476.484278937416
02/2017,11603.17105743404
03/2017,11538.267856813545
04/2017,11595.809448961274
05/2017,11657.236286485753
06/2017,11593.413607354427
07/2017,11617.738680311011
08/2017,11713.866962346592
09/2017,11660.69460783005
10/2017,11781.708216643146
11/2017,11813.757908258443
12/2017,11723.041382507981
01/2018,11675.100686703534
02/2018,11695.429128885247
03/2018,11868.519216050056
04/2018,11827.13803872695
05/2018,11706.301328598556
06/2018,11787.253238757747
07/2018,11747.854414351992
08/2018,11693.271220831824
09/2018,11671.6821595763
10/2018,11670.70688161173
11/2018,11732.445291140255
12/2018,11830.358554505712
01/2019,11949.302160780486
02/2019,11910.117917997528
03/2019,12118.409756275105
04/2019,12114.274997377644
05/2019,12242.916746284965
06/2019,12505.23600271536
07/2019,12705.785756390891
08/2019,13003.859852226302
09/2019,12946.252554850098
10/2019,12803.32545322599
11/2019,12699.126560451623
12/2019,12580.514487267457
01/2020,12876.245203316397
02/2020,12941.411224837997
03/2020,12610.35470466583
04/2020,12682.37147173239
05/2020,12703.983309098452
06/2020,12826.261631569101
07/2020,12953.551337089295
08/2020,12855.85380694618
09/2020,13024.06507310592
10/2020,13144.934603863036
11/2020,13156.369488541412
12/2020,13174.542197895142
01/2021,13098.12985314735
02/2021,12859.26792243294
03/2021,12874.664502210218
04/2021,12748.519946541146
05/2021,12742.697867483075
06/2021,12798.276946521062
07/2021,13025.646098170237
08/2021,12952.95984334122
09/2021,12798.95751241873
10/2021,12722.137381192595
11/2021,12929.879529354694
12/2021,12728.433175575141
01/2022,12592.628384651101
02/2022,12342.404771939175
03/2022,12050.132334189562
04/2022,11605.055545765907
05/2022,11403.80542170935
06/2022,11181.944202397119
07/2022,11643.657074512983
08/2022,11042.964226374768
09/2022,10624.092519995584
10/2022,10639.737026150387
11/2022,10888.16258082321
12/2022,10409.520975919775
01/2023,10654.226227380941
02/2023,10410.422212282821
03/2023,10656.358074305523
04/2023,10650.35742427889
05/2023,10694.340970764471
06/2023,10661.9203904974
07/2023,10649.83828244773
08/2023,10684.790910793363
09/2023,10413.937648329093
10/2023,10456.088139169375
11/2023,10762.806974857653
12/2023,11147.933182419027
01/2024,11095.472217409997
02/2024,10965.64369974289
03/2024,11080.084786911817
04/2024,10925.486408986684
05/2024,10916.906748830817
06/2024,10941.75364220454
07/2024,11184.091660651186
08/2024,11231.259029663426
09/2024,11375.077184919324
