Date,EURO STOXX Select Dividend 30
01/2015,35284
02/2015,37343.3
03/2015,37595.2
04/2015,37233.7
05/2015,36620
06/2015,35314.5
07/2015,37234.7
08/2015,34588
09/2015,33722.4
10/2015,36502.2
11/2015,37455.9
12/2015,35760.1
01/2016,35021
02/2016,33913.7
03/2016,35006.8
04/2016,35336.2
05/2016,36258.6
06/2016,34097.7
07/2016,35629.8
08/2016,35959.3
09/2016,36197.5
10/2016,37340.2
11/2016,37312.4
12/2016,39992.9
01/2017,39459.8
02/2017,39986.1
03/2017,41991.8
04/2017,42528.6
05/2017,43271.1
06/2017,41776.8
07/2017,42378.2
08/2017,42365.5
09/2017,44113.6
10/2017,44963
11/2017,44333.9
12/2017,43525
01/2018,44573
02/2018,43275.5
03/2018,41941
04/2018,44681.1
05/2018,42629.2
06/2018,42131.7
07/2018,43957.6
08/2018,42091.899
09/2018,42408.8
10/2018,40790.5
11/2018,40861
12/2018,38562.9
01/2019,40374.7
02/2019,41865.9
03/2019,42381.1
04/2019,44410.1
05/2019,41303
06/2019,42682.1
07/2019,42323.6
08/2019,41656.1
09/2019,44171.4
10/2019,45105.7
11/2019,46197.1
12/2019,46602.9
01/2020,44790.5
02/2020,40209.6
03/2020,29746.5
04/2020,30178
05/2020,31011.4
06/2020,32480
07/2020,32028.2
08/2020,33095.4
09/2020,32492.7
10/2020,31237.9
11/2020,37221.2
12/2020,37914
01/2021,37749.9
02/2021,39734.8
03/2021,43680.600000000006
04/2021,43399.5
05/2021,44774.7
06/2021,44407.299
07/2021,45038.6
08/2021,45988.6
09/2021,45091.5
10/2021,45738.9
11/2021,44681.4
12/2021,46810
01/2022,47053
02/2022,43600.8
03/2022,42651.2
04/2022,42164.3
05/2022,42465.4
06/2022,38002.7
07/2022,39629.1
08/2022,38508.2
09/2022,36631.4
10/2022,39512.1
11/2022,40972.8
12/2022,40179.1
01/2023,42878.6
