Date,S&P 500 Low Volatility High Dividend
05/2014,10000
06/2014,10156.319567995468
07/2014,9968.09690792873
08/2014,10504.997734416078
09/2014,10855.188844554192
10/2014,11413.181802824207
11/2014,11699.77625247275
12/2014,12073.643039824983
01/2015,12982.430750050924
02/2015,13205.679106961728
03/2015,13725.688227176217
04/2015,13174.392436427821
05/2015,13480.542789704907
06/2015,12804.260128985052
07/2015,13575.141153394925
08/2015,12764.700898091422
09/2015,12792.24586441535
10/2015,13774.282449213655
11/2015,14319.31158795942
12/2015,14038.608119949819
01/2016,13903.347897182924
02/2016,14503.934416579832
03/2016,15073.300106690776
04/2016,15086.387120276655
05/2016,15356.729171944238
06/2016,16022.477244642747
07/2016,16741.265682096808
08/2016,16437.8650987608
09/2016,16322.24893804591
10/2016,16170.7115436653
11/2016,17044.540222429012
12/2016,17566.449069569873
01/2017,17519.885586580753
02/2017,18361.65974741011
03/2017,18060.44322407534
04/2017,17460.047404143832
05/2017,17133.352611479073
06/2017,16895.28639805793
07/2017,16542.90871895953
08/2017,16331.108810566906
09/2017,16734.708644488746
10/2017,17107.210656445368
11/2017,17382.106452980097
12/2017,17133.313939286778
01/2018,16535.94695683714
02/2018,15716.905436341232
03/2018,15631.634014936019
04/2018,16074.076479444251
05/2018,16884.598647306404
06/2018,17308.4815164976
07/2018,17530.813314337876
08/2018,17703.94458157072
09/2018,17741.94553950369
10/2018,17686.34696088031
11/2018,18211.57012539693
12/2018,16669.06127108521
01/2019,18052.50547365119
02/2019,18473.119493399092
03/2019,19029.58227873416
04/2019,19205.833073920283
05/2019,18102.31518260847
06/2019,18773.34160292592
07/2019,19170.50987199747
08/2019,18744.657224005623
09/2019,20023.487180140262
10/2019,19509.131020036908
11/2019,20178.504101144445
12/2019,20214.27654993273
01/2020,19726.876508807247
02/2020,17957.01886798923
03/2020,14247.80847344151
04/2020,15874.65307167086
05/2020,15684.163397750452
06/2020,15483.252178296976
07/2020,14996.293781667715
08/2020,15138.511980641313
09/2020,14993.057837651912
10/2020,14827.318881610847
11/2020,16422.50063529871
12/2020,16451.319607932262
01/2021,16967.638868920327
02/2021,17509.487542941402
03/2021,19769.465607707527
04/2021,19847.701668732363
05/2021,20069.59051807708
06/2021,20194.53757547811
07/2021,20063.60654926232
08/2021,20443.155822859277
09/2021,20029.47857584198
10/2021,20300.732395193554
11/2021,20232.27847222044
12/2021,22035.126357372494
01/2022,22551.941428193335
02/2022,22269.983004687077
03/2022,23607.136613750714
04/2022,24560.80473605929
05/2022,24808.482377573462
06/2022,23748.476128264876
07/2022,24845.040053508466
08/2022,24680.048028461533
09/2022,22566.300170568946
10/2022,24382.672514062364
11/2022,24903.20143613446
12/2022,23310.402568993875
01/2023,23839.959088539603
02/2023,23162.88611701821
03/2023,22177.56865986154
04/2023,22028.621218614353
05/2023,21135.886198466043
06/2023,21918.979405431124
07/2023,22344.893129676148
08/2023,21946.160503707953
09/2023,21506.376278184885
10/2023,20890.358382914175
11/2023,21780.329330983874
12/2023,22541.3657678351
01/2024,22759.599612317987
02/2024,23106.54776247808
03/2024,24285.765903465734
04/2024,23976.609174868554
05/2024,24673.184875510942
06/2024,24693.918154059167
07/2024,26108.05534235002
08/2024,26702.74395511069
09/2024,27038.58231693973
