Date,MSCI China
06/2021,22441.89602827331
07/2021,19331.054915482295
08/2021,19425.315463917526
09/2021,18857.603489075052
10/2021,19342.604723057106
11/2021,18639.22425415823
12/2021,18110.68108776267
01/2022,17844.35873072786
02/2022,17082.617733726227
03/2022,15855.57448878479
04/2022,16017.749032258065
05/2022,15946.864743769254
06/2022,17538.05741792625
07/2022,16176.408197685818
08/2022,16534.18824
09/2022,14494.709273697168
10/2022,11856.35440790801
11/2022,14694.730917501925
12/2022,15039.299268704295
01/2023,16551.847022985323
02/2023,15133.592579338921
03/2023,15444.806620689655
04/2023,14507.158655860121
05/2023,13656.566357764672
06/2023,13966.378023191606
07/2023,15262.578680939854
08/2023,14094.267096061832
09/2023,14062.55193505758
10/2023,13431.641585836707
11/2023,13377.515030646786
12/2023,12914.688542986423
01/2024,11771.26673433607
02/2024,12772.324367263995
03/2024,12911.122116362963
04/2024,13882.773801082292
05/2024,14042.539218577222
06/2024,13973.136739841195
07/2024,13644.848910232731
08/2024,13473.170995782053
09/2024,16557.034909616068
10/2024,16013.996967452926
