Date,FTSE Developed
03/2005,10000
04/2005,9857.459360593275
05/2005,10515.542751224673
06/2005,10834.455000982507
07/2005,11186.18703013037
08/2005,11131.921887673674
09/2005,11637.018032149472
10/2005,11445.19254801906
11/2005,12008.752865759288
12/2005,12261.996886359215
01/2006,12447.351429736236
02/2006,12670.9788100503
03/2006,12772.352834261548
04/2006,12640.7131974152
05/2006,11997.306216531199
06/2006,12066.710289543471
07/2006,12185.458971014841
08/2006,12466.251271416133
09/2006,12762.373167993816
10/2006,13129.060729273253
11/2006,12957.404865253227
12/2006,13298.318983434716
01/2007,13651.92085192767
02/2007,13354.53039944402
03/2007,13498.909181997202
04/2007,13759.709716084284
05/2007,14367.170564629281
06/2007,14223.247338850311
07/2007,13729.626884512827
08/2007,13790.856735793166
09/2007,13854.42747702136
10/2007,14061.05085092459
11/2007,13328.50899817361
12/2007,13198.422587149093
01/2008,12034.44706894143
02/2008,11671.343263077777
03/2008,11074.9602766081
04/2008,11877.30093666327
05/2008,12082.383259462711
06/2008,10942.364833504638
07/2008,10810.328941905951
08/2008,11293.892092989912
09/2008,10458.570331416196
10/2008,9385.587330537099
11/2008,8785.134984489772
12/2008,8293.265102793064
01/2009,8192.942961908324
02/2009,7436.216888694611
03/2009,7666.391597507839
04/2009,8559.78053188273
05/2009,8758.863590022711
06/2009,8808.193089124152
07/2009,9466.318701280472
08/2009,9746.70696342653
09/2009,9951.464156265878
10/2009,9676.436808164448
11/2009,9894.74233481821
12/2009,10554.167295979069
01/2010,10446.254436474615
02/2010,10778.755176928242
03/2010,11563.79125273791
04/2010,11780.49387551651
05/2010,11529.60906066289
06/2010,11179.230775600987
07/2010,11368.60064877966
08/2010,11219.498092468366
09/2010,11440.679135593877
10/2010,11646.305491096358
11/2010,12152.021926508874
12/2010,12673.292688885173
01/2011,12688.550901245124
02/2011,13000.241065631497
03/2011,12574.602263961746
04/2011,12560.057056358748
05/2011,12699.058723077997
06/2011,12400.396803860402
07/2011,12286.304312320215
08/2011,11375.659760307768
09/2011,11131.96249349161
10/2011,11838.711097666675
11/2011,11949.318316417037
12/2011,12372.615016649073
01/2012,12920.227046721571
02/2012,13270.594631644886
03/2012,13495.843984312738
04/2012,13441.269839346473
05/2012,13149.347546798232
06/2012,13466.89571763694
07/2012,14067.660987564646
08/2012,14088.340578696132
09/2012,14205.49985516996
10/2012,14019.486245050044
11/2012,14161.347271751934
12/2012,14258.775512996954
01/2013,14532.445613797268
02/2013,15131.188681236266
03/2013,15741.363918683033
04/2013,15813.684913707684
05/2013,16111.886956951614
06/2013,15661.81233172321
07/2013,16134.333799326789
08/2013,15928.220721676837
09/2013,16304.42940495995
10/2013,16870.204338932646
11/2013,17151.21044522407
12/2013,17294.672576570265
01/2014,17016.548107503986
02/2014,17435.50663795726
03/2014,17519.299438918806
04/2014,17596.211971783465
05/2014,18255.807884268335
06/2014,18527.841876730647
07/2014,18674.425606828325
08/2014,19379.414011490204
09/2014,19610.031212617294
10/2014,19922.546203551963
11/2014,20415.309623482623
12/2014,20697.11494893466
01/2015,21820.386843760916
02/2015,23248.44305071985
03/2015,23911.750193952626
04/2015,23486.497784369476
05/2015,24470.843222997937
06/2015,23157.582507962103
07/2015,23740.356824821785
08/2015,21885.36688628075
09/2015,20812.184832275325
10/2015,23113.496994388017
11/2015,24052.25020588711
12/2015,22994.207404184806
01/2016,21066.668079227442
02/2016,21454.935784433423
03/2016,21895.897209534025
04/2016,22133.0697543911
05/2016,22904.87498339031
06/2016,22710.906441656167
07/2016,23529.073259470064
08/2016,23673.686751630717
09/2016,23603.101421416985
10/2016,23733.80739334814
11/2016,24868.345737869236
12/2016,25785.99906185745
01/2017,25640.899090892686
02/2017,26889.060727851524
03/2017,26971.838939744015
04/2017,26907.45017919312
05/2017,26667.180853703438
06/2017,26406.7608389391
07/2017,26249.924102352976
08/2017,25998.60253495263
09/2017,26716.2567634696
10/2017,27705.75739749907
11/2017,27663.069804413546
12/2017,27874.149653622622
01/2018,28393.95384190187
02/2018,27696.358738186602
03/2018,26907.041130620066
04/2018,27728.88510123832
05/2018,28857.768382442548
06/2018,28816.083817583767
07/2018,29600.153166885244
08/2018,30123.71324667864
09/2018,30297.481333388263
10/2018,28805.84957118416
11/2018,29181.42095969547
12/2018,26753.45091388343
01/2019,28721.98908476063
02/2019,29784.408122925575
03/2019,30600.969598203767
04/2019,31746.419377688053
05/2019,30084.238610062825
06/2019,31386.900933654826
07/2019,32227.631014766666
08/2019,31910.215116434672
09/2019,32990.594047414066
10/2019,33094.01098036896
11/2019,34391.697928849244
12/2019,34871.98452140764
01/2020,35072.653813531455
02/2020,32408.0759478818
03/2020,28194.113925511418
04/2020,31308.07644271675
05/2020,32335.47092411329
06/2020,32896.13238939237
07/2020,32720.728409230283
08/2020,34535.07860231235
09/2020,34050.337980077915
10/2020,33224.05714507325
11/2020,36549.328749063774
12/2020,37333.92978211872
01/2021,37256.3306243112
02/2021,38234.229531441844
03/2021,40838.52388955427
04/2021,41698.94477467476
05/2021,41685.053149006315
06/2021,43577.02687895134
07/2021,44271.18018354558
08/2021,45547.77851671373
09/2021,44696.24392013576
10/2021,46989.761743894196
11/2021,47172.82323723412
12/2021,48758.1875961066
01/2022,46855.11196768614
02/2022,44973.37689684442
03/2022,47771.64425237181
04/2022,46938.22909357526
05/2022,45189.28102352323
06/2022,42268.95320477348
07/2022,46289.953144835934
08/2022,45423.761175627515
09/2022,42757.7000102354
10/2022,44855.66110514049
11/2022,46156.22156759155
12/2022,42731.10213783703
