Date,FTSE Eurozone Target Maturity Government Bond Italy (Mid Price)
09/2013,10000
10/2013,10386.892348652438
11/2013,10490.715758791705
12/2013,10447.384162511036
01/2014,10751.167694288984
02/2014,11001.698201717038
03/2014,11197.477838130459
04/2014,11408.833153366926
05/2014,11509.155166318773
06/2014,11755.615961747586
07/2014,11908.381872876571
08/2014,12164.330635924987
09/2014,12279.163941484765
10/2014,12271.872173476639
11/2014,12632.622633138955
12/2014,12781.279681065591
01/2015,13069.371935429512
02/2015,13352.947172917537
03/2015,13471.56461394538
04/2015,13267.45131192337
05/2015,12873.974838679498
06/2015,12446.41848438029
07/2015,13009.581656613238
08/2015,12849.689853493459
09/2015,13119.935557173187
10/2015,13397.139778321565
11/2015,13570.081811434236
12/2015,13418.068302140455
01/2016,13631.615331304909
02/2016,13644.607774301505
03/2016,13870.737921905706
04/2016,13591.371503979877
05/2016,13745.53757888511
06/2016,13907.837173516487
07/2016,14108.839608905497
08/2016,14174.764940493369
09/2016,14124.971812033291
10/2016,13666.720931544194
11/2016,13331.233709065895
12/2016,13528.489620862805
01/2017,13048.664928429624
02/2017,13224.746721673491
03/2017,13197.317160773306
04/2017,13252.523004551378
05/2017,13388.616196370467
06/2017,13420.846893544805
07/2017,13511.360592049161
08/2017,13592.21423100893
09/2017,13561.240401003643
10/2017,13926.198991584028
11/2017,14035.965391015181
12/2017,13749.130003820406
01/2018,13750.714330635055
02/2018,13818.214357871477
03/2018,14163.303852898072
04/2018,14188.990172743961
05/2018,13011.175614593987
06/2018,13204.1167640021
07/2018,13153.755396745324
08/2018,12627.84557477996
09/2018,12927.711929635623
10/2018,12655.896345890196
11/2018,12886.861338849694
12/2018,13444.467328273742
01/2019,13655.0961141262
02/2019,13465.843701313783
03/2019,13779.400758704393
04/2019,13867.742629265305
05/2019,13795.263289182887
06/2019,14458.561694800492
07/2019,15080.523135746813
08/2019,15717.080608836479
09/2019,15983.189726699358
10/2019,15847.15432187657
11/2019,15465.057071316542
12/2019,15389.553545095523
01/2020,15989.849678020508
02/2020,15754.309881189012
03/2020,15254.659433449286
04/2020,14951.865204115518
05/2020,15317.541316566458
06/2020,15705.595443326132
07/2020,16042.551418626485
08/2020,15958.84213893397
09/2020,16348.495039257446
10/2020,16591.681981929738
11/2020,16772.728641270558
12/2020,16881.560817595207
01/2021,16747.46609273077
02/2021,16596.829840181585
03/2021,16740.71464533217
04/2021,16454.466759266303
05/2021,16461.401198819694
06/2021,16620.016872438326
07/2021,16934.012147883983
08/2021,16812.01416757394
09/2021,16603.908747225683
10/2021,16198.489628084215
11/2021,16548.948498181755
12/2021,16268.378184500132
01/2022,16121.483639959986
02/2022,15555.734499643622
03/2022,15202.848575702463
04/2022,14302.334550361285
05/2022,13900.527118487254
06/2022,13725.832213154075
07/2022,14072.727551814389
08/2022,13259.707854422018
09/2022,12628.192296757617
10/2022,12909.54755047196
11/2022,13388.82326644045
12/2022,12601.287634406932
01/2023,13155.854990943379
02/2023,12932.691242481555
03/2023,13345.261502412455
04/2023,13297.399422744702
05/2023,13441.033817578138
06/2023,13567.2935888638
07/2023,13578.80764787232
08/2023,13614.404437579924
09/2023,12979.021966747901
10/2023,13068.8422212969
11/2023,13655.505438683078
12/2023,14252.854434797766
01/2024,14285.870072004913
02/2024,14198.90064260564
03/2024,14441.745678883328
04/2024,14233.558393623722
05/2024,14237.719057355785
06/2024,14143.993364974967
07/2024,14651.411348131121
08/2024,14686.372480879654
09/2024,15057.25905416161
