Date,MSCI Pacific ex-Japan
12/1978,9999.999999999998
01/1979,10851.482733151823
02/1979,10862.033829001297
03/1979,11031.190068034715
04/1979,10972.781268465984
05/1979,11482.755829928128
06/1979,11046.793377718219
07/1979,11216.963980479331
08/1979,12033.417580188785
09/1979,13123.234542963095
10/1979,12882.89471942641
11/1979,13141.389366524845
12/1979,14510.021285809073
01/1980,16431.022460710723
02/1980,16891.9706503731
03/1980,14735.189570290711
04/1980,16321.280139236944
05/1980,17280.427319001345
06/1980,18842.768960826623
07/1980,19357.708136860416
08/1980,20904.036681450798
09/1980,21247.92954522147
10/1980,24549.56054014831
11/1980,24812.827116344248
12/1980,25688.377568642947
01/1981,25209.872516099294
02/1981,26088.70177033362
03/1981,26637.78873906692
04/1981,27804.64719163859
05/1981,30773.993785853516
06/1981,32378.127978872028
07/1981,30043.89238909476
08/1981,29153.53169627033
09/1981,23729.0468898985
10/1981,22810.270809054386
11/1981,25801.311830634804
12/1981,25692.08512756154
01/1982,24533.943935859636
02/1982,22563.24242872919
03/1982,21547.196319651728
04/1982,24627.467016443574
05/1982,24372.415521278675
06/1982,23078.11578610777
07/1982,22129.395005786686
08/1982,21201.320960838035
09/1982,20843.80075268445
10/1982,20205.559276233183
11/1982,20248.664076313547
12/1982,20806.332050068184
01/1983,22742.778149717094
02/1983,23659.64835568949
03/1983,23120.354086664174
04/1983,25664.311411262297
05/1983,25545.946705676404
06/1983,26463.247316509263
07/1983,28391.0671196014
08/1983,29132.224799046257
09/1983,28054.148464813083
10/1983,28016.71187721175
11/1983,30129.833132109667
12/1983,32208.026450434634
01/1984,34691.2974793423
02/1984,32442.819783114846
03/1984,31454.949245937532
04/1984,31975.868354994913
05/1984,29110.20116813395
06/1984,28181.613646139263
07/1984,28846.686272661667
08/1984,31512.325142427344
09/1984,32965.576449769855
10/1984,33653.53458132234
11/1984,33380.57664784881
12/1984,33937.374969165954
01/1985,37347.81854565964
02/1985,36829.98303969292
03/1985,37354.7544862001
04/1985,35332.308146220545
05/1985,36812.08169685799
06/1985,35684.31781897293
07/1985,37436.392267871975
08/1985,34877.45793266351
09/1985,36518.54047117661
10/1985,35712.139048434445
11/1985,33748.53520309725
12/1985,32603.013249293745
01/1986,33709.340453587916
02/1986,31592.83941431134
03/1986,31694.332149612357
04/1986,34657.94635565715
05/1986,34385.197593318764
06/1986,33098.81077581415
07/1986,30281.725243038578
08/1986,31437.207711138726
09/1986,33097.040595936916
10/1986,37519.300794258146
11/1986,38036.900959670595
12/1986,40218.95147938264
01/1987,38888.12766729553
02/1987,43176.94265120294
03/1987,44507.01941671448
04/1987,44968.970970903014
05/1987,47552.212985649465
06/1987,50397.93223182362
07/1987,56592.917259520524
08/1987,60535.83011669155
09/1987,61257.574678945995
10/1987,34316.52095156321
11/1987,33604.51288469458
12/1987,34409.24111583783
01/1988,34417.38374110152
02/1988,35245.36772355157
03/1988,38961.137166056105
04/1988,40594.15558097528
05/1988,43882.05063171775
06/1988,46295.06741805267
07/1988,50574.71033538763
08/1988,48894.97702135178
09/1988,47694.1351034468
10/1988,49555.64480222079
11/1988,47370.02726538645
12/1988,47646.14734751311
01/1989,54687.585201072194
02/1989,51058.36960814414
03/1989,52248.10181217922
04/1989,54263.017510707316
05/1989,54008.00401603457
06/1989,52704.22735763025
07/1989,54915.19856408595
08/1989,58152.62562829027
09/1989,60656.76519476782
10/1989,56376.369594427815
11/1989,55594.438907922886
12/1989,55635.299987544364
01/1990,53639.263950717206
02/1990,52224.133223136705
03/1990,52417.462511390324
04/1990,49045.09298660246
05/1990,52782.12054109821
06/1990,54785.078131250484
07/1990,55942.06163834637
08/1990,49363.16502058945
09/1990,44886.28278556475
10/1990,42997.77910539607
11/1990,41741.09068618882
12/1990,42201.817748668065
01/1991,44813.18363955179
02/1991,48242.211732268195
03/1991,53765.3698212883
04/1991,58505.485213942025
05/1991,59467.642918861915
06/1991,61411.38984382572
07/1991,65036.91741195719
08/1991,62777.07329017356
09/1991,61646.48272757288
10/1991,63836.49305199847
11/1991,60825.20264833324
12/1991,60261.36140398917
01/1992,62042.6650865601
02/1992,65389.90039303114
03/1992,66639.96133011987
04/1992,69141.24234843683
05/1992,72395.78919835786
06/1992,69590.68601830157
07/1992,64580.46902793174
08/1992,59339.64358556347
09/1992,59704.012124599925
10/1992,64109.54862549091
11/1992,66965.41430081552
12/1992,67441.68936887833
