Date,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
06/2007,10000
07/2007,10169.479506452984
08/2007,10302.084810665154
09/2007,10366.614664586583
10/2007,10465.182243653384
11/2007,10736.774925542475
12/2007,10753.793788115161
01/2008,11038.150616933768
02/2008,11140.263792369877
03/2008,11167.210324776626
04/2008,11029.641185647424
05/2008,11054.460360232588
06/2008,11213.303077577648
07/2008,11221.81250886399
08/2008,11401.928804424904
09/2008,11040.277974755352
10/2008,10188.625726847255
11/2008,10212.026662884697
12/2008,10760.175861579917
01/2009,10753.084668841297
02/2009,10526.875620479364
03/2009,10938.164799319246
04/2009,10906.254431995461
05/2009,11023.259112182668
06/2009,11138.13643454829
07/2009,11203.375407743582
08/2009,11391.292015316974
09/2009,11522.47908098142
10/2009,11630.265210608424
11/2009,11838.037157849949
12/2009,11676.357963409444
01/2010,11737.342220961566
02/2010,11669.266770670825
03/2010,11826.69124946816
04/2010,11955.750957311018
05/2010,11957.169195858743
06/2010,12018.862572684724
07/2010,12000.425471564316
08/2010,12341.511842291873
09/2010,12365.621897603176
10/2010,12449.297971918875
11/2010,12229.470997021697
12/2010,12259.963125797756
01/2011,12194.015033328606
02/2011,12325.20209899305
03/2011,12405.33257693944
04/2011,12628.705148205927
05/2011,12771.238122252162
06/2011,12833.640618352007
07/2011,13117.997447170614
08/2011,13174.0178698057
09/2011,13281.094880158842
10/2011,13315.13260530421
11/2011,13441.355836051624
12/2011,13720.748829953198
01/2012,13935.611969933341
02/2012,13956.885548149197
03/2012,13863.990923273293
04/2012,13934.90285065948
05/2012,14222.096156573534
06/2012,14079.5631825273
07/2012,14324.918451283505
08/2012,14361.08353425046
09/2012,14318.536377818746
10/2012,14399.375975039
11/2012,14630.548858317969
12/2012,14641.185647425897
01/2013,14700.751666430293
02/2013,14681.605446036023
03/2013,14865.976457240105
04/2013,15065.23897319529
05/2013,14576.655793504466
06/2013,13988.086796199119
07/2013,14088.781733087504
08/2013,13954.04907105375
09/2013,14078.144943979576
10/2013,14227.059991490567
11/2013,14106.50971493405
12/2013,13912.920153169762
01/2014,14186.64019288044
02/2014,14233.442064955325
03/2014,14296.553680329032
04/2014,14470.99702169905
05/2014,14716.352290455254
06/2014,14732.662033754077
07/2014,14815.628988795914
08/2014,15128.350588568996
09/2014,14888.668274003687
10/2014,15004.963834917033
11/2014,15290.738902283363
12/2014,15248.900865125514
01/2015,15794.922705999148
02/2015,15517.65706991916
03/2015,15706.991916040277
04/2015,15667.281236704013
05/2015,15506.31116153737
06/2015,15285.065948092468
07/2015,15486.455821869236
08/2015,15300.666572117429
09/2015,15288.611544461777
10/2015,15309.885122677633
11/2015,15377.251453694511
12/2015,15099.27669834066
01/2016,15437.526591972768
02/2016,15470.855197844276
03/2016,15666.57211743015
04/2016,15580.768685292865
05/2016,15663.026521060841
06/2016,16349.453978159125
07/2016,16437.384768117998
08/2016,16852.219543327188
09/2016,16876.32959863849
10/2016,16710.395688554814
11/2016,16211.884839029924
12/2016,16383.491703304495
01/2017,16401.928804424904
02/2017,16504.75109913487
03/2017,16438.80300666572
04/2017,17558.502340093604
05/2017,17469.86243086087
06/2017,17201.106226067222
07/2017,17160.686427457098
08/2017,17501.772798184655
09/2017,17196.14239115019
10/2017,17309.601474968087
11/2017,17381.931640902
12/2017,17498.936321089204
01/2018,17269.181676357963
02/2018,17202.524464614948
03/2018,17440.788540632533
04/2018,17276.27286909658
05/2018,19618.49383066232
06/2018,19601.47496808963
07/2018,19492.270599914904
08/2018,19509.289462487588
09/2018,19378.811516097
10/2018,19631.257977591828
11/2018,19487.306764997873
12/2018,19551.836618919304
01/2019,19873.77676925259
02/2019,19953.198127925116
03/2019,20664.444759608567
04/2019,20648.13501630974
05/2019,20991.348744858882
06/2019,20840.306339526305
07/2019,21352.290455254573
08/2019,22106.793362643595
09/2019,22155.0134732662
10/2019,21701.177137994608
11/2019,21768.543469011485
12/2019,21521.060842433697
01/2020,22296.128208764712
02/2020,22468.444192313145
03/2020,21487.732236562188
04/2020,22318.820025528294
05/2020,22274.854630548856
06/2020,22356.40334704297
07/2020,22257.835767976172
08/2020,22006.80754502907
09/2020,22179.123528577504
10/2020,22313.1470713374
11/2020,22271.309034179547
12/2020,22219.543327187628
01/2021,22198.97886824564
02/2021,21718.90511984115
03/2021,22357.11246631683
04/2021,22153.595234718483
05/2021,22460.643880300664
06/2021,22827.258544887252
07/2021,23730.676499787263
08/2021,23729.258261239538
09/2021,23539.21429584456
10/2021,24134.16536661466
11/2021,25039.710679336262
12/2021,24652.531555807684
01/2022,24341.93731385619
02/2022,24383.066231740177
03/2022,24092.327329456813
04/2022,23988.086796199117
05/2022,22892.49751808254
06/2022,22263.508722167066
07/2022,23862.57268472557
08/2022,22830.804141256558
09/2022,21537.370585732522
10/2022,21572.11743015175
11/2022,21629.55609133456
12/2022,20526.875620479368
01/2023,20799.88654091618
02/2023,20672.954190894903
03/2023,21050.91476386328
04/2023,20666.57211743015
05/2023,20783.576797617356
06/2023,20600.624024961
07/2023,20502.76556516806
08/2023,20477.237271309034
09/2023,20197.844277407457
10/2023,20024.819174585165
11/2023,20318.39455396397
12/2023,20918.30945965111
01/2024,20907.67267054318
02/2024,20787.831513260528
03/2024,21062.26067224507
04/2024,20745.284356828815
05/2024,20993.47610268047
06/2024,21230.32194015033
07/2024,21551.552971209756
08/2024,21381.364345482907
09/2024,21414.692951354416
