Date,EURO STOXX 50 Daily Leverage
12/2014,54113.6
01/2015,61215.3
02/2015,70516.1
03/2015,74377.8
04/2015,71425.2
05/2015,71007.8
06/2015,65181.8
07/2015,71796
08/2015,58645.3
09/2015,52431
10/2015,63633
11/2015,66968.8
12/2015,57919.5
01/2016,50124
02/2016,46535.600000000006
03/2016,48352.2
04/2016,49431.6
05/2016,51761.4
06/2016,44874
07/2016,48901.3
08/2016,49934.3
09/2016,49226.2
10/2016,51030.200000000004
11/2016,50977.6
12/2016,59284.2
01/2017,57217.9
02/2017,60522.2
03/2017,67498.5
04/2017,70052.5
05/2017,71391.5
06/2017,67148.2
07/2017,67482.3
08/2017,66440.8
09/2017,73442.2
10/2017,76797.3
11/2017,72577.6
12/2017,70008.5
01/2018,74360
02/2018,67489
03/2018,64466.8
04/2018,72101.5
05/2018,68466.1
06/2018,68086.7
07/2018,73496.3
08/2018,68074.4
09/2018,68399.5
10/2018,60490.1
11/2018,59583
12/2018,53296.8
01/2019,59222.700000000004
02/2019,64495
03/2019,66806.6
04/2019,74095
05/2019,65977.299
06/2019,74076.1
07/2019,73892.1
08/2019,72057.2
09/2019,78278.2
10/2019,79816.2
11/2019,84330.2
12/2019,86275.6
01/2020,81608.6
02/2020,68000
03/2020,45303.8
04/2020,49697.9
05/2020,54112.1
06/2020,60735.3
07/2020,58603.100000000006
08/2020,62258.2
09/2020,59178.8
10/2020,50665.200000000004
11/2020,70242.8
12/2020,72664
01/2021,69855.6
02/2021,76284.2
03/2021,88680
04/2021,91896
05/2021,95992.099
06/2021,97250.7
07/2021,98436.6
08/2021,103672.7
09/2021,96531.1
10/2021,106594.4
11/2021,97310.7
12/2021,108595.8
01/2022,102287.7
02/2022,90072.099
03/2022,88006.4
04/2022,84179.599
05/2022,85260.6
06/2022,70622.3
07/2022,81253.7
08/2022,73022.1
09/2022,64843.2
10/2022,76860.1
11/2022,92149.4
12/2022,84100.8
01/2023,101156.1
02/2023,104672.6
03/2023,107989.9
04/2023,111248.3
05/2023,105886.5
06/2023,114830.3
07/2023,118230.6
08/2023,108763.799
09/2023,102342.2
10/2023,96462.7
11/2023,112075.9
12/2023,118924
01/2024,125344.3
02/2024,137745.9
03/2024,149361.9
04/2024,141424.4
05/2024,146849.4
06/2024,141058.6
07/2024,139392.1
08/2024,143607.3
09/2024,145372.5
