Date,FTSE Developed Asia Pacific ex Japan
03/2005,10000
04/2005,10080.062785725258
05/2005,10573.293804096686
06/2005,11280.023259435919
07/2005,11694.36912120071
08/2005,11571.96746486578
09/2005,12452.694500923304
10/2005,11763.099939869617
11/2005,12416.845419954032
12/2005,12669.981522402117
01/2006,13092.14940661065
02/2006,13295.503749226165
03/2006,13237.23678885549
04/2006,13733.633439125178
05/2006,12724.102974822008
06/2006,12909.308814940805
07/2006,13146.618692811784
08/2006,13525.969127476668
09/2006,13688.938782664716
10/2006,14503.599818064784
11/2006,14631.459723261476
12/2006,15400.296283215732
01/2007,15823.218637896827
02/2007,15782.47500136454
03/2007,16369.640174504913
04/2007,16722.36440036699
05/2007,17422.5652144329
06/2007,17902.57267978892
07/2007,17920.9109717987
08/2007,17818.47767563694
09/2007,19617.440135219982
10/2007,21009.289726134597
11/2007,19341.425793167262
12/2007,19018.53894406886
01/2008,16685.80388735203
02/2008,16715.09938083058
03/2008,15184.270315399668
04/2008,16764.54337128409
05/2008,16939.793673478154
06/2008,15369.97717707238
07/2008,14848.96884420702
08/2008,14839.31785786794
09/2008,12834.631327970244
10/2008,10755.623142550647
11/2008,10228.8483520447
12/2008,9967.873871133095
01/2009,9869.873860835327
02/2009,9467.523442307996
03/2009,10182.276954013952
04/2009,11490.42268854935
05/2009,12386.449543225148
06/2009,12865.907635369726
07/2009,14198.301765240189
08/2009,14258.261731478697
09/2009,15310.289877736284
10/2009,15023.15104859506
11/2009,15085.64719880887
12/2009,16402.017798166245
01/2010,15868.895871406945
02/2010,16518.903973977704
03/2010,17941.78821137914
04/2010,18528.46093097232
05/2010,17437.250176805668
06/2010,17505.834233127334
07/2010,17982.129155901384
08/2010,18112.95311878935
09/2010,19025.38855223376
10/2010,19096.723455395542
11/2010,20101.058953306165
12/2010,21029.349055096238
01/2011,20602.8551051704
02/2011,20247.017403979316
03/2011,20650.33852477394
04/2011,20835.246623595616
05/2011,20883.95234989055
06/2011,20322.272556568056
07/2011,20602.728134127094
08/2011,18911.654826593418
09/2011,17292.96366322911
10/2011,19143.364542464347
11/2011,18478.369944560287
12/2011,18927.881133927916
01/2012,20628.25534545173
02/2012,21199.11433262093
03/2012,20816.399706832643
04/2012,21199.222477167743
05/2012,20077.21665247574
06/2012,20504.539929080347
07/2012,22237.420593382863
08/2012,21783.98795396111
09/2012,22370.989057175324
10/2012,22388.539152515623
11/2012,22736.023487000377
12/2012,23168.156675449074
01/2013,23116.251118094653
02/2013,24613.96391117376
03/2013,24610.540118267796
04/2013,24523.385068186457
05/2013,23356.70128287267
06/2013,21786.026544048877
07/2013,22032.05778930067
08/2013,22374.100754913703
09/2013,23293.265316484205
10/2013,24166.60724710344
11/2013,23712.191651730656
12/2013,23134.798815050257
01/2014,22363.284444145687
02/2014,23026.901873331786
03/2014,23515.095416462325
04/2014,23866.35731949677
05/2014,24767.29087345843
06/2014,24760.24811303076
07/2014,26128.958589750026
08/2014,26586.139576277707
09/2014,25163.093532422135
10/2014,26081.98203420063
11/2014,25383.22976208086
12/2014,25501.3708777959
01/2015,27502.71467186058
02/2015,28659.736470109514
03/2015,29706.865466293693
04/2015,29825.639794767307
05/2015,29840.21714848699
06/2015,27810.6587062639
07/2015,27188.314553478915
08/2015,24089.764353675702
09/2015,23654.04532011095
10/2015,25898.18880928845
11/2015,26573.71464601255
12/2015,26135.339796656095
01/2016,23593.465074104184
02/2016,23907.652697705307
03/2016,25646.83644435211
04/2016,25891.34220716279
05/2016,25869.15110023468
06/2016,26374.689504655707
07/2016,27953.076023508143
08/2016,28108.06860510642
09/2016,28455.75467145292
10/2016,28437.55733075486
11/2016,29176.82796134184
12/2016,29447.291817550828
01/2017,30375.984781260377
02/2017,31878.748631406164
03/2017,32659.7730774142
04/2017,32304.10324642408
05/2017,31773.960634429364
06/2017,31902.634485028706
07/2017,32073.781270751977
08/2017,31697.30521703033
09/2017,31850.3656543244
10/2017,33543.784552148514
11/2017,33173.74895338588
12/2017,34153.82284939374
01/2018,34162.58221488576
02/2018,33473.08471551364
03/2018,32457.00831527533
04/2018,33953.50541554552
05/2018,34690.67736407509
06/2018,33680.60991239601
07/2018,33796.79413532032
08/2018,33665.77238293342
09/2018,33829.65833293337
10/2018,30822.1305070054
11/2018,31780.45340990534
12/2018,30848.70789052395
01/2019,33230.15626580515
02/2019,34178.417388358204
03/2019,34622.851270809035
04/2019,35131.829285281216
05/2019,33718.18483481307
06/2019,35296.03721765492
07/2019,35343.88516555355
08/2019,33756.14038353437
09/2019,35112.42859322797
10/2019,35453.0627309921
11/2019,35802.07632235859
12/2019,36878.8828853711
01/2020,36323.16783831781
02/2020,33835.761299708494
03/2020,27783.19601073867
04/2020,30881.59851982003
05/2020,30692.195534845767
06/2020,32878.149466513234
07/2020,32521.50827315928
08/2020,33702.25999883452
09/2020,33215.34168041065
10/2020,33378.16606732848
11/2020,37700.404699571285
12/2020,40198.65691281161
01/2021,40839.43354109481
02/2021,41705.92333246147
03/2021,43471.4599903896
04/2021,44089.82076493645
05/2021,44135.280107964696
06/2021,45272.01360556092
07/2021,43973.26122363924
08/2021,44153.643067646386
09/2021,42339.42277794417
10/2021,43640.34766343726
11/2021,42322.91647905349
12/2021,43874.74003880504
01/2022,41433.70748398563
02/2022,42108.039216667836
03/2022,44865.68621699809
04/2022,44062.80476896127
05/2022,44025.231979520475
06/2022,40205.042661897285
07/2022,43043.25209499561
08/2022,42850.22901738777
09/2022,38700.68360052743
10/2022,38992.3045143203
11/2022,42776.044382075816
12/2022,40956.093471052896
