Date,MSCI EMU
03/2002,57007.687861650214
04/2002,54322.99605729231
05/2002,51965.32509214231
06/2002,47479.16144658816
07/2002,41551.30398809773
08/2002,41693.27901232467
09/2002,34555.05058796084
10/2002,39001.12591124027
11/2002,41298.12527466542
12/2002,37234.7842720499
01/2003,34920.16291463486
02/2003,33575.30050106712
03/2003,32199.451979436526
04/2003,36633.56243039067
05/2003,36883.15203879683
06/2003,38676.65930850759
07/2003,40025.58814409645
08/2003,41462.97917454384
09/2003,38987.41701956763
10/2003,41993.21214084297
11/2003,42807.640770188824
12/2003,44258.613154339946
01/2004,45917.80917594304
02/2004,46667.00389937595
03/2004,45545.87276542379
04/2004,45964.06281757626
05/2004,45628.22425223108
06/2004,46881.153512721605
07/2004,45508.345684093736
08/2004,45118.825589762586
09/2004,46011.53909859922
10/2004,47150.294018493805
11/2004,48547.49172852157
12/2004,49825.57755905196
01/2005,50932.57258828528
02/2005,52434.92358825688
03/2005,52322.41650470733
04/2005,50267.97792138122
05/2005,53401.00742850149
06/2005,55357.31984792446
07/2005,57991.22282971798
08/2005,57677.74220969144
09/2005,59988.34239686697
10/2005,57726.4177510936
11/2005,60336.66581655101
12/2005,62592.643229414185
01/2006,65291.59208648573
02/2006,67266.98271109998
03/2006,68890.3287519192
04/2006,69326.93519340108
05/2006,65573.85217142674
06/2006,66418.7909778832
07/2006,66702.98765156514
08/2006,68803.5703864939
09/2006,70975.83979435563
10/2006,73513.89910537525
11/2006,73671.33398631771
12/2006,76416.47731693959
01/2007,78197.87435114836
02/2007,76724.91969242506
03/2007,78991.00803809623
04/2007,82985.70128986471
05/2007,86091.86211978515
06/2007,85425.68724836361
07/2007,82203.41942859434
08/2007,81367.9081472167
09/2007,83231.90469338154
10/2007,85672.20004961327
11/2007,82204.8820604439
12/2007,81729.93440117652
01/2008,71356.91351270015
02/2008,70908.2175846403
03/2008,69107.24471573817
04/2008,73271.88555201584
05/2008,73955.10675393119
06/2008,65128.5520561329
07/2008,64135.27226985207
08/2008,64889.03221933776
09/2008,56531.1120124454
10/2008,48206.40515000564
11/2008,45150.31650631695
12/2008,45327.96766425687
01/2009,42295.460510242934
02/2009,37859.20131431437
03/2009,39099.77303155123
04/2009,45333.89504917138
05/2009,47696.1978467725
06/2009,46304.02699267068
07/2009,51249.88537832986
08/2009,54252.37824904241
09/2009,56201.78215298429
10/2009,53657.74242044601
11/2009,54637.37161525635
12/2009,57545.04695122543
01/2010,54807.41449157067
02/2010,54368.596475452236
03/2010,58534.84049326877
04/2010,56793.06904673707
05/2010,53373.46846281278
06/2010,52829.831181767644
07/2010,56247.30328532414
08/2010,54240.84473978124
09/2010,56986.07366281049
10/2010,59254.67431981033
11/2010,56265.99994625544
12/2010,59402.78551452639
01/2011,61933.98592641215
02/2011,62956.58762648227
03/2011,61336.41581853674
04/2011,63544.017781596755
05/2011,62132.57166128134
06/2011,61803.43744781186
07/2011,58565.31930363656
08/2011,50398.085658128715
09/2011,47343.61451976864
10/2011,51541.01227440336
11/2011,50663.66458232021
12/2011,50521.14688298304
01/2012,52715.02425691564
02/2012,55035.01602103954
03/2012,55089.909544153306
04/2012,52507.70909284805
05/2012,48579.06424260683
06/2012,52204.51138174476
07/2012,53439.561302086324
08/2012,55431.27059275647
09/2012,55868.493359866356
10/2012,56932.42412992537
11/2012,58774.22182352925
12/2012,60032.60215582075
01/2013,61997.52801737489
02/2013,61124.614318540895
03/2013,61619.43873911538
04/2013,63794.29297314307
05/2013,65067.14843134868
06/2013,61346.32586929154
07/2013,65663.37083296175
08/2013,64701.80081231128
09/2013,68995.36285409295
10/2013,72320.84557382621
11/2013,73538.6012253233
12/2013,74052.21824516663
01/2014,72305.48773212651
02/2014,75925.9158415927
03/2014,76132.05830030827
04/2014,77061.79336720619
05/2014,79140.92627423978
06/2014,78456.95243643638
07/2014,75629.56333340569
08/2014,76754.8146508291
09/2014,77780.16033173903
10/2014,75541.23374526572
11/2014,79010.86424668596
12/2014,77056.07570084334
01/2015,82876.18570354726
02/2015,88882.4347664808
03/2015,91585.2856863625
04/2015,90338.64357979776
05/2015,90749.88231268758
06/2015,86861.59776916957
07/2015,91998.27084268683
08/2015,83548.48922782458
09/2015,79462.85909340827
10/2015,87718.21785547392
11/2015,89912.7190635874
12/2015,84710.41518809994
01/2016,78800.96379858344
02/2016,76951.74355378222
03/2016,79314.27486108127
04/2016,80547.51622264714
05/2016,81758.1750079871
06/2016,77040.77508929408
07/2016,81428.32846955232
08/2016,82057.73266529533
09/2016,82594.81018924601
10/2016,83237.10625538195
11/2016,82647.49329621176
12/2016,88665.38793016667
01/2017,88156.03774228883
02/2017,90289.24734327805
03/2017,94951.29076433576
04/2017,96717.3885982711
05/2017,98805.83063072735
06/2017,96045.12887962167
07/2017,96930.80002188776
08/2017,96487.96896611457
09/2017,100364.31708766375
10/2017,102763.32652403293
11/2017,101200.66715220225
12/2017,99801.95747277034
01/2018,102838.23438572061
02/2018,98819.33096806936
03/2018,96700.77494181729
04/2018,101624.43028065735
05/2018,99927.7719256737
06/2018,99419.78045558762
07/2018,102398.4119346922
08/2018,99844.17217513762
09/2018,100037.2984169461
10/2018,93372.18407435462
11/2018,92174.50991114374
12/2018,86871.98511060367
01/2019,92372.86462437421
02/2019,95879.08858351053
03/2019,97334.68305467456
04/2019,102301.16532031266
05/2019,96307.22753673122
06/2019,101364.0088265381
07/2019,101282.79661432646
08/2019,99978.84329992578
09/2019,104042.64356488205
10/2019,105191.60625303294
11/2019,108391.42395649728
12/2019,109086.8540918152
01/2020,107581.2271421774
02/2020,98858.25598258377
03/2020,81910.61551506592
04/2020,87710.37703534683
05/2020,91111.1193612352
06/2020,95958.69371920006
07/2020,94139.86542306279
08/2020,97796.61902597427
09/2020,96009.67910631174
10/2020,90121.62988197203
11/2020,105818.65750526333
12/2020,107752.57531303471
01/2021,106745.02386467112
02/2021,110616.58139278025
03/2021,118026.30331892816
04/2021,119847.44312345554
05/2021,123530.5357059942
06/2021,124310.03964574958
07/2021,125859.22606412743
08/2021,128987.81596093325
09/2021,125066.47989758632
10/2021,129268.5648763819
11/2021,124615.73831096204
12/2021,132544.28060876686
01/2022,128026.9289120313
02/2022,121097.88814277614
03/2022,120171.4338298917
04/2022,117686.80527391566
05/2022,118237.21641218182
06/2022,108057.89583798553
07/2022,115192.23754526328
08/2022,110022.75870709096
09/2022,103016.6906109119
10/2022,110282.10032993846
11/2022,118943.25020424718
12/2022,115615.47468302838
01/2023,126984.05622935
02/2023,128580.68284301701
03/2023,129533.23230141382
04/2023,132277.69630379765
05/2023,128068.58772123078
06/2023,133751.89888642787
07/2023,135796.7869873595
08/2023,131411.83922567035
09/2023,127289.25006694553
10/2023,122641.9024687079
11/2023,132723.22152159165
12/2023,137199.97732454585
01/2024,140551.34479819608
02/2024,144810.96137101014
03/2024,151157.04535556497
04/2024,148056.5939345988
05/2024,152507.79051982332
06/2024,148849.16049434443
07/2024,149198.93411820487
08/2024,151452.79684376888
09/2024,152752.97653016896
10/2024,147793.60112357198
