Date,MSCI EMU
12/1987,10000
01/1988,9290.55473449556
02/1988,10720.490268126294
03/1988,10710.165246541219
04/1988,10801.616040378754
05/1988,10764.067748282232
06/1988,11273.424560208125
07/1988,11814.53658758815
08/1988,11745.431483102331
09/1988,12369.732050169514
10/1988,13286.766492609779
11/1988,12883.6250797659
12/1988,13141.670244033545
01/1989,13467.957838422972
02/1989,13481.800457000525
03/1989,13667.454824262708
04/1989,14284.73038696041
05/1989,14325.422121891175
06/1989,15271.287699578546
07/1989,15976.286983767382
08/1989,16177.090604537514
09/1989,17086.608788757276
10/1989,15645.243502322659
11/1989,16377.35843986772
12/1989,17654.782815748462
01/1990,16932.72890121556
02/1990,16269.71528917986
03/1990,17460.74579438247
04/1990,17129.24289083155
05/1990,17306.030384408394
06/1990,17795.583505644525
07/1990,17991.282238207747
08/1990,14983.373781195456
09/1990,12999.775431319895
10/1990,13858.556236219361
11/1990,13441.675795362775
12/1990,13284.540478928056
01/1991,13586.294532336171
02/1991,14641.965512159793
03/1991,14607.007493592017
04/1991,15320.573369632755
05/1991,16166.338301988979
06/1991,15286.897688431867
07/1991,15828.230995636995
08/1991,15753.51498057173
09/1991,15805.15353333204
10/1991,15480.59151900554
11/1991,14903.828619555597
12/1991,15485.329073299748
01/1992,15698.640951044226
02/1992,16402.12835638655
03/1992,16402.920221265707
04/1992,16540.082162884046
05/1992,17053.958643342754
06/1992,16456.451213481065
07/1992,14971.086479104843
08/1992,14596.343803617263
09/1992,14562.559520764018
10/1992,14325.427140472473
11/1992,15091.825419876704
12/1992,15121.931717849158
01/1993,15773.76951457632
02/1993,16917.188674517667
03/1993,17590.11416835393
04/1993,17150.18544122406
05/1993,17114.873633753534
06/1993,17299.053559054653
07/1993,18200.49303685254
08/1993,20296.188859407237
09/1993,19372.339149486826
10/1993,20305.254799128856
11/1993,20031.21941937166
12/1993,21475.90029191445
01/1994,22561.788629300987
02/1994,22018.685077474056
03/1994,21582.28462573423
04/1994,22850.119058516
05/1994,21320.490015878233
06/1994,20496.377336151138
07/1994,21169.32360105319
08/1994,21591.440580465747
09/1994,20386.814072530222
10/1994,20739.764486019652
11/1994,20224.22926127184
12/1994,20733.43688977257
01/1995,20216.345084866512
02/1995,20558.28634561993
03/1995,20356.520570915956
04/1995,20809.573876262268
05/1995,21408.097851495222
06/1995,21406.64226609386
07/1995,22362.224819172476
08/1995,21843.3965028714
09/1995,22328.679644979977
10/1995,21664.438479069246
11/1995,21808.04935671132
12/1995,23013.231358168578
01/1996,24023.38486479518
02/1996,24464.799190037127
03/1996,24599.51344505038
04/1996,25105.385927861502
05/1996,25713.95099202792
06/1996,25843.806938663132
07/1996,24911.883480073604
08/1996,24889.60824053569
09/1996,25856.365036982068
10/1996,26204.594060813273
11/1996,27285.482493089767
12/1996,28353.5338818176
01/1997,29568.584540082913
02/1997,31010.0210159253
03/1997,32635.189081175362
04/1997,32236.509418919843
05/1997,33097.511567065616
06/1997,35666.82679340618
07/1997,38648.08703744181
08/1997,36696.35572772302
09/1997,39304.3239922555
10/1997,36193.47170260411
11/1997,36148.02190119117
12/1997,38476.22615404852
01/1998,41026.26115310189
02/1998,44255.37050763006
03/1998,48543.22114188418
04/1998,49843.914158737825
05/1998,51506.92654362729
06/1998,52585.17985365404
07/1998,54472.010157522316
08/1998,46435.26911536459
09/1998,42587.38879541604
10/1998,44238.097579942594
11/1998,48243.9778518017
12/1998,50652.108619009996
01/1999,51976.47403425099
02/1999,51121.76384885597
03/1999,52570.38166446091
04/1999,54743.16078781297
05/1999,52986.41961628661
06/1999,55102.692328071236
07/1999,53047.81606754342
08/1999,54813.112440662924
09/1999,54070.0688128223
10/1999,57454.40634712328
11/1999,61639.87571620181
12/1999,70398.56549623674
01/2000,67831.17903342986
02/2000,74591.82326386315
03/2000,75639.47962786468
04/2000,75640.74313049161
05/2000,73723.95101705915
06/2000,73821.4593131742
07/2000,74046.63413810577
08/2000,74977.89350088901
09/2000,72386.19352184744
10/2000,74433.49115645644
11/2000,69558.32740201615
12/2000,69374.58340912405
01/2001,69848.94749870735
02/2001,63272.49286673563
03/2001,61234.38345425759
04/2001,65858.40561271877
05/2001,64456.26243954558
06/2001,61948.66988459886
07/2001,60276.44896619909
08/2001,55460.51229373976
09/2001,48608.74762542739
10/2001,51259.71170147209
11/2001,54677.42012695569
12/2001,56759.37203880638
01/2002,54677.35425432012
02/2002,54300.95938031418
