Date,MSCI USA
02/2010,212612.91098730566
03/2010,226765.48710685477
04/2010,233166.62103050426
05/2010,231772.0891497848
06/2010,219984.6317113349
07/2010,221605.91467239632
08/2010,217423.75808731825
09/2010,220265.7636546912
10/2010,225410.39101282138
11/2010,240410.08912218508
12/2010,249382.6382962052
01/2011,249133.17958229364
02/2011,254681.738159856
03/2011,248178.8753901405
04/2011,244455.56068924407
05/2011,249627.24716091348
06/2011,244121.7762122574
07/2011,242525.28468533492
08/2011,225929.50741117058
09/2011,224279.88474932176
10/2011,239968.72877508972
11/2011,249495.08703037296
12/2011,261041.70493060554
01/2012,268327.8896222197
02/2012,274384.41127414734
03/2012,284884.01041838154
04/2012,286108.62984056165
05/2012,285865.73478167655
06/2012,292601.86328213394
07/2012,303845.5090206757
08/2012,302676.27109079284
09/2012,302592.7318691903
10/2012,295566.8719640057
11/2012,297390.461866049
12/2012,295245.23287344247
01/2013,302588.3214703462
02/2013,316083.2594640242
03/2013,336121.4267378157
04/2013,335656.99268137774
05/2013,344216.49715659133
06/2013,337536.8185161502
07/2013,349935.1952566754
08/2013,341078.829702334
09/2013,345171.20802113955
10/2013,356770.3878947363
11/2013,367506.5572861601
12/2013,372262.02792344766
01/2014,366828.2879772414
02/2014,375551.4716903845
03/2014,378650.68625678844
04/2014,379095.40206673736
05/2014,394804.9391606449
06/2014,401564.83112790436
07/2014,404022.5091545347
08/2014,426055.538894797
09/2014,439362.99727878073
10/2014,451930.3832055476
11/2014,465115.6649130391
12/2014,476520.5411581502
01/2015,497161.2518166914
02/2015,528909.545027092
03/2015,544320.6205269111
04/2015,526802.313273102
05/2015,545381.7672565206
06/2015,524326.372499208
07/2015,545362.3823275948
08/2015,500620.4829234722
09/2015,487633.69572263956
10/2015,536578.1760229345
11/2015,560338.52267773
12/2015,535051.394568729
01/2016,504902.9779826969
02/2016,504919.2258077434
03/2016,515638.5511746658
04/2016,517194.1473937658
05/2016,538022.4230967643
06/2016,541671.0912332814
07/2016,561475.8469839582
08/2016,560948.0546675435
09/2016,559854.8187877984
10/2016,559828.7881643984
11/2016,596535.1794115468
12/2016,612816.2070814376
01/2017,612873.0459984929
02/2017,646026.489767256
03/2017,640961.7052788028
04/2017,633508.4480677719
05/2017,625031.7626628645
06/2017,618164.6775137419
07/2017,613542.5021375366
08/2017,610005.8744826854
09/2017,623219.7331006462
10/2017,646481.8633949227
11/2017,653820.0744277668
12/2017,652740.5944192171
01/2018,664297.0291349511
02/2018,652250.4637833401
03/2018,630526.7957401918
04/2018,645534.0889129945
05/2018,682279.4895161964
06/2018,689072.3479355687
07/2018,708828.7766375911
08/2018,737167.1002584124
09/2018,745041.1850581631
10/2018,708886.5548881263
11/2018,719573.8468046956
12/2018,649236.3329282759
01/2019,700027.074506275
02/2019,727517.7872484108
03/2019,752583.7594787609
04/2019,783687.3079300883
05/2019,738044.9118426535
06/2019,773666.6450326527
07/2019,801470.4313620757
08/2019,795205.1634251683
09/2019,819922.9161857662
10/2019,817584.42941812
11/2019,861064.9111621117
12/2019,866028.1108129648
01/2020,881694.0990625005
02/2020,814817.254990679
03/2020,712450.0535224776
04/2020,811813.4692549049
05/2020,833562.9697118015
06/2020,847507.0696309846
07/2020,848265.7949170087
08/2020,904492.8588969441
09/2020,887681.9292483948
10/2020,865053.7621776824
11/2020,941961.5119935826
12/2020,957160.3150016479
01/2021,958547.4483027748
02/2021,984392.591394022
03/2021,1055530.6890778018
04/2021,1079813.87892303
05/2021,1073968.65847039
06/2021,1132942.5019393975
07/2021,1158718.9813515514
08/2021,1198195.4351022416
09/2021,1166391.0211042427
10/2021,1240364.1119284637
11/2021,1257827.072420991
12/2021,1311362.145848104
01/2022,1255650.7733850286
02/2022,1213668.817266369
03/2022,1266943.27368784
04/2022,1213112.3210275937
05/2022,1190292.402672275
06/2022,1125543.445992936
07/2022,1252943.1156480198
08/2022,1227083.1915117817
09/2022,1141590.5566363418
10/2022,1211222.030263371
11/2022,1219547.685178817
12/2022,1116163.0097083545
01/2023,1170923.1285889524
02/2023,1165410.4306533593
03/2023,1177846.5197683803
04/2023,1180952.2632117236
05/2023,1221139.9671555944
06/2023,1280163.1973119413
07/2023,1305008.0456326862
08/2023,1300624.7710184895
09/2023,1271305.4780073261
10/2023,1238778.2732474303
11/2023,1316127.3885357783
12/2023,1362775.1758069533
01/2024,1410839.7442034679
02/2024,1487373.452473125
03/2024,1536310.5024209304
04/2024,1485326.938308856
05/2024,1536390.8614976753
06/2024,1612639.9114966383
07/2024,1613934.7391459658
08/2024,1613593.3193362916
09/2024,1631721.5565467828
10/2024,1665999.5313138799
