Date,FTSE Japanese Government Bond
01/1985,10000
02/1985,10243.92292791518
03/1985,9873.243281893941
04/1985,9953.187518938505
05/1985,9944.297047743532
06/1985,10026.14138549343
07/1985,9867.912999388967
08/1985,9928.696220899708
09/1985,10725.848469968909
10/1985,10430.302806048721
11/1985,10680.096045090391
12/1985,10829.003937208672
01/1986,11206.803960609914
02/1986,11548.732082800389
03/1986,12475.99122753506
04/1986,12437.019162015587
05/1986,12517.403422381387
06/1986,12852.451179912536
07/1986,13335.586786099664
08/1986,13195.58936623641
09/1986,13085.483530627123
10/1986,12752.615888642098
11/1986,12457.620253873456
12/1986,12548.955094620016
01/1987,12592.397397062045
02/1987,12801.638486839804
03/1987,13451.67293866575
04/1987,14085.666540326638
05/1987,14092.266890145178
06/1987,13546.337955911664
07/1987,13204.65984697189
08/1987,13579.489712954788
09/1987,12924.535000355017
10/1987,13440.872366235411
11/1987,13468.843848723984
12/1987,14278.48675979827
01/1988,14640.015920843805
02/1988,14711.649717435024
03/1988,14967.423273433493
04/1988,15146.1727471556
05/1988,15456.969219368628
06/1988,15201.725691461648
07/1988,15735.203965810191
08/1988,15251.258316690786
09/1988,15729.493663164149
10/1988,16334.265716082953
11/1988,16506.014818785396
12/1988,16453.07201281668
01/1989,16644.782173455194
02/1989,16525.475850220064
03/1989,16364.68732842841
04/1989,16265.872091220836
05/1989,15933.984501178564
06/1989,15601.72689152525
07/1989,15861.370652644591
08/1989,15813.258102679443
09/1989,15778.026235390475
10/1989,15041.00717338019
11/1989,14657.166829841983
12/1989,13839.613499515475
01/1990,13206.309934426523
02/1990,12804.248625177135
03/1990,11863.85878451558
04/1990,11810.965981197003
05/1990,12763.956489693954
06/1990,12336.323825162734
07/1990,12137.253274423545
08/1990,11932.642430048792
09/1990,12304.532140203431
10/1990,13128.88583094904
11/1990,13055.051917751642
12/1990,12985.098210205142
01/1991,13407.100576330546
02/1991,13829.832981148002
03/1991,14475.897222552794
04/1991,15053.387829554968
05/1991,15285.750144757672
06/1991,15903.022860211595
07/1991,15670.360529108044
08/1991,15983.1971094468
09/1991,16051.440726358498
10/1991,16538.93656363787
11/1991,16384.95840279535
12/1991,16372.717754040965
01/1992,17267.695187844958
02/1992,17126.26769218769
03/1992,16858.43349697534
04/1992,16673.643703116268
05/1992,17102.40642754066
06/1992,16781.239405688506
07/1992,16520.04556241481
08/1992,16507.0848754984
09/1992,17788.282778987286
10/1992,19021.988165372764
11/1992,19650.221461737474
12/1992,20125.466649732436
01/1993,20316.626781219406
02/1993,22634.02960356899
03/1993,22333.583679935036
04/1993,22528.263997991893
05/1993,23383.909347195404
06/1993,25534.793344047237
07/1993,27696.127894778423
08/1993,27044.41335390776
09/1993,26606.800160408504
10/1993,26949.728335601787
11/1993,27933.60048082548
12/1993,27726.249491223036
01/1994,27430.28380504167
02/1994,28024.53530037092
03/1994,28061.987285326122
04/1994,28204.454836106313
05/1994,27565.220956710706
06/1994,27965.64217903549
07/1994,27424.46349656532
08/1994,26970.029411558815
09/1994,27194.551311219497
10/1994,26964.269106262633
11/1994,27695.26784919601
12/1994,27446.07464195602
01/1995,27304.087116617186
02/1995,27864.536820451485
03/1995,30894.507408892674
04/1995,32356.644902179818
05/1995,33840.80356258882
06/1995,33317.42582356866
07/1995,31734.201912701374
08/1995,29657.971872509246
09/1995,29731.705780406366
10/1995,28646.368257517654
11/1995,29717.165009745513
12/1995,28797.9362906234
01/1996,28733.382869292072
02/1996,28339.69200367619
03/1996,28403.895406456548
04/1996,29345.935334572732
05/1996,28634.667637384784
06/1996,28057.457045223397
07/1996,28047.426513605224
08/1996,28198.164502718646
09/1996,28295.39965618178
10/1996,27788.452787997765
11/1996,28189.474042124235
12/1996,27573.131375962927
01/1997,28309.880423662456
02/1997,29278.72177225393
03/1997,28330.951540431648
04/1997,28448.747783632534
05/1997,30322.227078035143
06/1997,31656.007768411728
07/1997,32612.19844651767
08/1997,31810.67596582619
09/1997,31421.005313281607
10/1997,31039.265081049296
11/1997,29657.761861378654
12/1997,29825.61075737014
01/1998,31033.37476886275
02/1998,31137.610293345548
03/1998,30015.190805112677
04/1998,29803.789600848846
05/1998,28754.20397281056
06/1998,28730.092694912833
07/1998,27488.22687602443
08/1998,28241.446796680226
09/1998,28456.148175853323
10/1998,32885.772945966135
11/1998,31560.462704523343
12/1998,32390.856715405913
01/1999,32649.890444193545
02/1999,33464.84363671275
03/1999,34646.07624204083
04/1999,35672.90066373518
05/1999,35537.21347231403
06/1999,35220.87670646544
07/1999,36086.68259417749
08/1999,38132.47102096411
09/1999,39508.57395441959
10/1999,40731.728781625425
11/1999,43301.274967573285
12/1999,43837.77340199031
01/2000,42990.93851974155
02/2000,42341.734111907936
03/2000,45800.8174433245
04/2000,45794.55711152691
05/2000,45476.34024603304
06/2000,44648.66637931811
07/2000,44835.81629826381
08/2000,47535.559384647386
