Date,FTSE Japanese Government Bond
09/2000,47424.51349921546
10/2000,49098.72223227831
11/2000,47625.814168150915
12/2000,42839.93051631737
01/2001,42978.57786462683
02/2001,43494.115188104974
03/2001,42560.89572747356
04/2001,43054.52188966015
05/2001,47136.42823069623
06/2001,45071.778804276626
07/2001,43329.356455892164
08/2001,43809.221888760105
09/2001,43637.21277227694
10/2001,43095.874081326314
11/2001,42999.37896708526
12/2001,40679.41600904848
01/2002,40928.8692300692
02/2002,40802.48253157418
03/2002,41158.49140004421
04/2002,41246.91608655259
05/2002,41219.454631095454
06/2002,40586.68109409799
07/2002,40948.060247193105
08/2002,41707.250484275675
09/2002,40281.8449377817
10/2002,40252.49338214926
11/2002,40079.144194642315
12/2002,39333.76468952855
01/2003,38236.30652424579
02/2003,38695.750874796366
03/2003,38264.21800355419
04/2003,37370.39063070343
05/2003,35483.05060168188
06/2003,35762.69542285741
07/2003,36264.75203185769
08/2003,37596.462612518466
09/2003,37125.037626994235
10/2003,37785.662640119925
11/2003,37052.28377103987
12/2003,35969.08636157717
01/2004,37122.34748441668
02/2004,36098.323211130184
03/2004,38051.45672720655
04/2004,36658.09287892259
05/2004,35997.04784353571
06/2004,36294.7336208819
07/2004,35814.40816363267
08/2004,36517.71543891826
09/2004,35789.4268396225
10/2004,36267.23216330466
11/2004,35956.89571547292
12/2004,35350.74358941024
01/2005,36711.98573524397
02/2005,35575.4354980814
03/2005,35704.18232166305
04/2005,36826.08178233447
05/2005,37495.54726400499
06/2005,37377.19099112253
07/2005,36599.65978196845
08/2005,36415.26000878047
09/2005,36212.27925080029
10/2005,35390.90571800306
11/2005,35191.80516567378
12/2005,35620.75790016871
01/2006,34789.68385324423
02/2006,35693.97178050437
03/2006,34282.85699142054
04/2006,33843.99373166778
05/2006,33933.598480719476
06/2006,33333.29666472323
07/2006,33391.95977386802
08/2006,33027.19044109338
09/2006,33160.57751060806
10/2006,33122.16547477016
11/2006,32411.127789772865
12/2006,31657.117827244845
01/2007,31687.71944913081
02/2007,31926.65211256197
03/2007,31818.036355926866
04/2007,30712.66777139189
05/2007,30394.090886817005
06/2007,29720.975211686222
07/2007,30584.991004523243
08/2007,31887.840055522945
09/2007,30795.072138823358
10/2007,30343.71821706551
11/2007,31297.40876266442
12/2007,31257.236633541575
01/2008,32581.87683947249
02/2008,32617.658735913
03/2008,32814.26915626528
04/2008,31293.468553833354
05/2008,30793.97208052027
06/2008,30570.770250823294
07/2008,30377.179990539502
08/2008,32361.995185744847
09/2008,34584.24296487714
10/2008,41567.93310045433
11/2008,43038.76105433588
12/2008,42021.15712132743
01/2009,45730.44371351682
02/2009,42458.320290975425
03/2009,40110.145837729404
04/2009,40233.81239205678
05/2009,38716.93199739586
06/2009,38996.226800020406
07/2009,39027.09843621712
08/2009,39816.620280874886
09/2009,40619.502833650185
10/2009,39622.830009990525
11/2009,41263.42696162897
12/2009,39995.50976201739
01/2010,42384.996404809455
02/2010,44082.03634792644
03/2010,42195.35635388676
04/2010,43040.80116246161
05/2010,48301.06995670771
06/2010,50370.359629060345
07/2010,48530.94213993342
08/2010,51693.57975972727
09/2010,48398.45511812127
10/2010,49108.522751705845
11/2010,49834.43122485492
12/2010,50274.734560931734
01/2011,48401.34527129938
02/2011,47983.243111884934
03/2011,46225.46994990735
04/2011,45315.981747032594
05/2011,46940.62785327622
06/2011,46991.53055111921
07/2011,49774.298037796005
08/2011,50305.646199248564
09/2011,53810.58196084393
10/2011,51081.937342679164
11/2011,53150.636983760145
12/2011,55974.906670053504
01/2012,56086.98261007834
02/2012,51752.982908094134
03/2012,51159.69146364758
04/2012,53348.657478846384
05/2012,58492.5601056856
06/2012,55966.766238610646
07/2012,59165.86579088692
08/2012,57565.360964131105
09/2012,56914.216453472036
10/2012,54964.63312555566
11/2012,53232.46132044998
12/2012,49916.45557214533
01/2013,46062.301301969004
02/2013,47750.65078449158
03/2013,48330.25150332968
04/2013,45186.14486567788
05/2013,43762.87943260993
06/2013,44351.210614162555
07/2013,43970.30042592258
08/2013,44609.43430001791
09/2013,43701.606185127814
10/2013,43806.48174353241
11/2013,41965.40416642082
12/2013,40155.7482546575
01/2014,42657.19083111405
02/2014,41718.27106836662
03/2014,41318.10985982257
04/2014,41471.06796660223
05/2014,42446.88968515331
06/2014,42622.5689961568
07/2014,43035.91090327787
08/2014,43443.852524183785
09/2014,42933.005449288816
10/2014,42576.036529936086
11/2014,40719.24812015037
12/2014,42033.66778439257
01/2015,46011.59861472658
02/2015,45177.08438547243
03/2015,47093.04593143437
04/2015,45387.10551659238
05/2015,44482.977597812685
06/2015,44372.601747892644
07/2015,44339.75000675036
08/2015,44778.973285584136
09/2015,45646.72927665166
10/2015,45987.56734106908
11/2015,47072.334833746194
12/2015,47251.76434351021
01/2016,47845.245798027296
02/2016,52134.66313714627
03/2016,50472.88506290834
04/2016,53345.85733043851
05/2016,53175.52830300005
06/2016,58455.47814034145
07/2016,57560.10068533633
08/2016,56554.11736822052
09/2016,57258.28468908853
10/2016,56388.27857876468
11/2016,53335.89680253054
12/2016,52025.217336518836
01/2017,52242.948876290444
02/2017,53645.03318675891
03/2017,53432.28191094128
04/2017,52778.107239683704
05/2017,51407.96462212498
06/2017,49730.79573217381
07/2017,48930.46331455567
08/2017,49005.387285526136
09/2017,47996.453812052045
10/2017,48243.2168904952
11/2017,48013.214700379125
12/2017,47408.28263897987
01/2018,47077.5351093608
02/2018,49409.19868753044
03/2018,49262.680922088875
04/2018,48698.74103327477
05/2018,50902.86785199616
06/2018,49945.96713625822
07/2018,49204.197822484595
08/2018,49607.259184736795
09/2018,48363.06324235185
10/2018,49985.26921926862
11/2018,49977.3588000164
12/2018,51682.45917033603
01/2019,52199.98659928977
02/2019,51558.132581026795
03/2019,53080.94328999437
04/2019,52630.059393147836
05/2019,54783.97355059819
06/2019,54405.023466243714
07/2019,55317.70183819743
08/2019,58247.637124767614
09/2019,56941.527900978755
10/2019,55363.32425618557
11/2019,55063.29835481281
12/2019,54347.15039897114
01/2020,55435.728093588965
02/2020,56798.7903358878
03/2020,55689.31153351128
04/2020,56530.66612530465
05/2020,54950.33236761548
06/2020,54040.21413134896
07/2020,52613.55851860149
08/2020,51539.3715866941
09/2020,52999.21895860481
10/2020,53744.92848120951
11/2020,52546.23495045237
12/2020,51908.46114844087
01/2021,51370.832654130674
02/2021,50002.25011925632
03/2021,50433.351493411436
04/2021,50535.27322404236
05/2021,50571.0835618316
06/2021,50600.00729619983
07/2021,50942.960146566045
08/2021,50889.24463988217
09/2021,50671.62797177831
10/2021,50595.87533414723
11/2021,50736.36204393579
12/2021,50593.120692778815
01/2022,50102.79452920304
02/2022,49728.1633031002
03/2022,49571.14874510121
04/2022,49342.513511523735
05/2022,49215.80000857718
06/2022,48532.64894921317
07/2022,48944.467833789466
08/2022,48819.13165152711
09/2022,48065.73723726882
10/2022,47988.607278953525
11/2022,47615.353373534876
12/2022,46837.167186960956
01/2023,46631.94640501491
02/2023,47414.264553641435
03/2023,48414.199370371825
04/2023,48580.855173160235
05/2023,48514.743780318546
06/2023,48662.117093528126
07/2023,47609.84409079808
08/2023,46998.313707012545
09/2023,46578.23089833104
10/2023,45523.20325423258
11/2023,46806.866131908515
12/2023,47063.04777917001
01/2024,46532.77931575239
02/2024,46806.866131908515
03/2024,46870.22288338179
04/2024,45914.36232854586
05/2024,44867.59860855261
06/2024,44972.274980551934
07/2024,44970.897659867725
08/2024,45641.65283307393
09/2024,45794.53542902031
