Date,Vanguard LifeStrategy 80% Equity UCITS ETF Accumulating
12/2020,10000
01/2021,9990.201842053693
02/2021,10113.65863217715
03/2021,10603.566529492455
04/2021,10730.942582794434
05/2021,10727.023319615912
06/2021,11107.191847932589
07/2021,11211.052322163432
08/2021,11448.16774446404
09/2021,11277.679796198314
10/2021,11655.888692925728
11/2021,11728.395061728395
12/2021,12041.93611601019
01/2022,11508.916323731137
02/2022,11307.074270037232
03/2022,11614.736429551243
04/2022,11305.11463844797
05/2022,11003.331373701743
06/2022,10444.836370762296
07/2022,11254.16421712718
08/2022,11064.079952968841
09/2022,10458.553791887123
10/2022,10732.902214383696
11/2022,10879.874583578287
12/2022,10421.320791691162
01/2023,10842.641583382323
02/2023,10805.408583186361
03/2023,10854.399372917891
04/2023,10856.359004507152
05/2023,11056.241426611798
06/2023,11326.670585929844
07/2023,11591.22085048011
08/2023,11487.360376249264
09/2023,11326.670585929844
10/2023,10966.09837350578
11/2023,11552.028218694884
12/2023,11983.147168332353
01/2024,12247.697432882618
02/2024,12584.754066235546
03/2024,12962.962962962964
04/2024,12714.089751126787
05/2024,12870.860278267686
06/2024,13364.687438761513
07/2024,13415.637860082303
08/2024,13454.830491867528
09/2024,13644.914756025866
10/2024,13689.986282578875
11/2024,14448.363707622966
12/2024,14319.028022731723
