Date,Bloomberg Euro Treasury 50bn Bond
10/2012,10000
11/2012,10145.956249627608
12/2012,10207.774277237446
01/2013,10162.317950578901
02/2013,10184.670353059537
03/2013,10245.022913359746
04/2013,10523.348973931334
05/2013,10388.944686392677
06/2013,10230.754737136534
07/2013,10314.764126863342
08/2013,10256.590979485121
09/2013,10337.991515320073
10/2013,10483.631052232418
11/2013,10516.526230522884
12/2013,10443.859450412234
01/2014,10677.131785234442
02/2014,10752.525515503628
03/2014,10857.325216183324
04/2014,10958.20626801306
05/2014,11052.983890058844
06/2014,11189.095205452628
07/2014,11294.227722883941
08/2014,11499.210633817365
09/2014,11518.895134272807
10/2014,11545.364802051918
11/2014,11709.681260401425
12/2014,11838.896178837036
01/2015,12108.862007554057
02/2015,12196.72664902954
03/2015,12345.851755345893
04/2015,12174.857113999497
05/2015,11991.977555972602
06/2015,11684.982750172434
07/2015,11948.10965212748
08/2015,11818.867893319924
09/2015,11978.578842316536
10/2015,12115.872712696211
11/2015,12153.78205397795
12/2015,12035.620000693727
01/2016,12268.336761277931
02/2016,12376.718183039202
03/2016,12448.09210001486
04/2016,12300.829715508773
05/2016,12428.112127167095
06/2016,12709.345544010765
07/2016,12813.432506266929
08/2016,12774.299244026171
09/2016,12800.119681800956
10/2016,12523.288085950018
11/2016,12333.12941906189
12/2016,12413.382131064445
01/2017,12153.916255837521
02/2017,12296.70166630945
03/2017,12223.652910126773
04/2017,12285.54143967043
05/2017,12354.585612364548
06/2017,12289.15952180354
07/2017,12313.165550437332
08/2017,12416.978740900016
09/2017,12356.802627084055
10/2017,12487.22536225555
11/2017,12532.34939550597
12/2017,12430.355982258543
01/2018,12378.956670056246
02/2018,12404.948886211212
03/2018,12604.603676680148
04/2018,12557.643761991265
05/2018,12397.680513498715
06/2018,12484.933194494688
07/2018,12439.390451442549
08/2018,12366.481265193781
09/2018,12351.778109463003
10/2018,12344.778140469652
11/2018,12418.41201675983
12/2018,12530.502777918702
01/2019,12665.41322327309
02/2019,12617.551472088147
03/2019,12841.738362480297
04/2019,12838.018286933955
05/2019,12980.03606276933
06/2019,13271.543973979096
07/2019,13488.226296385874
08/2019,13815.904292777814
09/2019,13761.031836450715
10/2019,13608.004140058965
11/2019,13480.217129408766
12/2019,13350.5600040614
01/2020,13680.610486332136
02/2020,13745.657785577932
03/2020,13391.402401526679
04/2020,13461.8035730994
05/2020,13487.043256926227
06/2020,13620.764091632487
07/2020,13762.097322958214
08/2020,13653.643166393049
09/2020,13844.699924573397
10/2020,13981.363139533263
11/2020,13994.2394274321
12/2020,14015.5919300065
01/2021,13929.938970880647
02/2021,13667.176315938745
03/2021,13686.342279058572
04/2021,13538.962321340177
05/2021,13533.293515346959
06/2021,13597.072081822813
07/2021,13848.461132359322
08/2021,13766.78533553352
09/2021,13602.156011007213
10/2021,13516.125131481844
11/2021,13754.008026786922
12/2021,13532.166682602581
01/2022,13387.202286348022
02/2022,13130.657267633076
03/2022,12821.788367078201
04/2022,12332.382687761557
05/2022,12105.854982380384
06/2022,11880.36394850282
07/2022,12372.637323403207
08/2022,11728.041713039715
09/2022,11280.996225582432
10/2022,11304.682743240537
11/2022,11574.1330219495
12/2022,11040.216604038293
01/2023,11308.582521295124
02/2023,11044.425017042726
03/2023,11313.720888295731
04/2023,11301.442616153261
05/2023,11348.85682167719
06/2023,11318.029236323608
07/2023,11299.589427138848
08/2023,11335.512637311342
09/2023,11031.349096074062
10/2023,11075.459138818002
11/2023,11409.77504788037
12/2023,11826.084896152679
01/2024,11767.939614855892
02/2024,11627.612154068014
03/2024,11748.198950152751
04/2024,11637.439070580396
