Date,ICE US Treasury Short Bond
10/2013,9915.415217029062
11/2013,9937.170176414746
12/2013,9809.082504669976
01/2014,10009.954528524193
02/2014,9795.55989967335
03/2014,9815.051442564934
04/2014,9772.73891564407
05/2014,9947.553871108707
06/2014,9911.064077656882
07/2014,10118.717985950836
08/2014,10266.571533121256
09/2014,10761.370305635202
10/2014,10811.005801145537
11/2014,10848.642830895522
12/2014,11152.418291555676
01/2015,11980.912442602077
02/2015,12049.94378866197
03/2015,12589.779157258157
04/2015,12081.809571385818
05/2015,12352.53011979406
06/2015,12112.634626059726
07/2015,12358.060059193558
08/2015,12085.291005553956
09/2015,12105.097479407115
10/2015,12307.634298587993
11/2015,12813.56508791692
12/2015,12452.50585423867
01/2016,12424.794140078135
02/2016,12464.585510017272
03/2016,11930.162225254693
04/2016,11917.01303171578
05/2016,12183.520427422738
06/2016,12253.517918766995
07/2016,12244.816991391008
08/2016,12226.18283556755
09/2016,12201.399545157079
10/2016,12445.417606001545
11/2016,12809.69120324448
12/2016,12930.700271678772
01/2017,12682.446821288842
02/2017,12877.630186678247
03/2017,12763.93517746457
04/2017,12492.300492394988
05/2017,12174.505023815911
06/2017,11980.02115133482
07/2017,11669.70434188193
08/2017,11585.224225571017
09/2017,11612.527238059336
10/2017,11789.070970306186
11/2017,11586.49504090704
12/2017,11458.28443307341
01/2018,11043.07519588302
02/2018,11271.31499727645
03/2018,11189.770592250523
04/2018,11428.32135268645
05/2018,11819.495809224523
06/2018,11880.321333525735
07/2018,11820.341540964748
08/2018,11929.173985256271
09/2018,12022.76435232378
10/2018,12319.576638223674
11/2018,12299.874728077151
12/2018,12229.104109084117
01/2019,12216.975198814187
02/2019,12316.994069550285
03/2019,12545.049373090184
04/2019,12589.100698893504
05/2019,12695.731384575876
06/2019,12473.599499686523
07/2019,12749.444070899672
08/2019,12915.245626239106
09/2019,13109.893519523188
10/2019,12829.114745647894
11/2019,13045.00612234689
12/2019,12771.738668979404
01/2020,13002.212669728004
02/2020,13121.3577720766
03/2020,13210.667848670939
04/2020,13307.26744301232
05/2020,12995.599414125645
06/2020,12925.704773085654
07/2020,12220.18456573702
08/2020,12126.58205075232
09/2020,12369.516548027355
10/2020,12380.936603332577
11/2020,12091.739510114276
12/2020,11805.377255012816
01/2021,11938.036481555353
02/2021,11955.158881204927
03/2021,12360.301559692622
04/2021,11995.414909673198
05/2021,11879.197887613518
06/2021,12195.613437390371
07/2021,12188.890204925783
08/2021,12248.85971322673
09/2021,12519.080160907715
10/2021,12447.31118033916
11/2021,12756.459655561825
12/2021,12796.935672503314
01/2022,12985.378819396341
02/2022,12933.461736021804
03/2022,13042.143240964593
04/2022,13735.421407006363
05/2022,13526.394902237216
06/2022,13937.743489924624
07/2022,14208.415563249324
08/2022,14507.637516476887
09/2022,14896.032273308783
10/2022,14667.125010414178
11/2022,14058.352084740427
12/2022,13730.390574824836
01/2023,13564.528081344863
02/2023,13877.464907302912
03/2023,13621.968399661542
04/2023,13532.327549309366
05/2023,13952.575149853708
06/2023,13776.856063016565
07/2023,13637.699775143772
08/2023,13893.948854401917
09/2023,14316.130559919964
10/2023,14346.387887990722
11/2023,14005.488662573376
12/2023,13924.718262011422
01/2024,14258.582473514289
02/2024,14323.914348578604
03/2024,14406.74217669622
04/2024,14589.8101229737
05/2024,14479.117947006747
06/2024,14737.97467940817
07/2024,14643.556444235048
08/2024,14374.843161846622
09/2024,14303.070711538006
