Date,ICE US Treasury Short Bond
12/2005,10000
01/2006,9761.842988170647
02/2006,9991.809068774734
03/2006,9840.02312838631
04/2006,9532.762959697731
05/2006,9322.352996588435
06/2006,9471.236332452569
07/2006,9472.663990702988
08/2006,9452.237154723576
09/2006,9637.579878863502
10/2006,9646.899731128764
11/2006,9317.581140505525
12/2006,9378.653317690507
01/2007,9572.00084584733
02/2007,9423.42258182162
03/2007,9389.07181187518
04/2007,9228.95336954773
05/2007,9374.322962259243
06/2007,9376.474650446451
07/2007,9275.976763499308
08/2007,9337.019006155242
09/2007,9060.845325568293
10/2007,8921.748662927806
11/2007,8783.689153989166
12/2007,8829.4099745503
01/2008,8799.222999478205
02/2008,8648.717761193602
03/2008,8317.878709740478
04/2008,8470.290491354071
05/2008,8489.796658220841
06/2008,8364.25012710281
07/2008,8466.365180557485
08/2008,8984.883177173533
09/2008,9287.517646498314
10/2008,10441.04863320049
11/2008,10490.170894634288
12/2008,9607.868765961188
01/2009,10431.222263003549
02/2009,10572.006105489168
03/2009,10053.574339583187
04/2009,10086.286896963224
05/2009,9500.008056504585
06/2009,9477.412893916648
07/2009,9479.084935521192
08/2009,9394.711716536582
09/2009,9160.405991379268
10/2009,9065.95198309753
11/2009,8934.897278707656
12/2009,9315.73827460324
01/2010,9614.696529909754
02/2010,9895.942148534443
03/2010,9962.933097661147
04/2010,10087.712806677833
05/2010,10917.787446283935
06/2010,10954.115149471669
07/2010,10320.658087587311
08/2010,10606.9963264759
09/2010,9856.570325443223
10/2010,9710.490177924166
11/2010,10352.541122359764
12/2010,10072.907391092087
01/2011,9832.88614809055
02/2011,9733.935403120235
03/2011,9480.492644646969
04/2011,9067.590888127925
05/2011,9368.797982587113
06/2011,9326.285147826187
07/2011,9451.188986787532
08/2011,9332.95932936371
09/2011,9986.730606983669
10/2011,9633.217897435747
11/2011,10053.085999259085
12/2011,10425.794698236545
01/2012,10238.870389793985
02/2012,10034.874307725784
03/2012,10101.123835450373
04/2012,10211.231773257372
05/2012,10880.983589722353
06/2012,10719.73382509836
07/2012,10989.404932518197
08/2012,10705.634996311901
09/2012,10443.347854907623
10/2012,10393.430472078102
11/2012,10401.120915598167
12/2012,10239.40019208718
01/2013,9972.07066695771
02/2013,10292.200662835723
03/2013,10554.758901169835
04/2013,10341.217495749162
05/2013,10394.28899115896
06/2013,10336.084533946869
07/2013,10186.450722918315
08/2013,10218.05659095122
09/2013,10015.688480829715
