Date,MSCI Europe Growth
04/2004,147728.57077819912
05/2004,146915.93416373341
06/2004,148416.63240853834
07/2004,144822.2747608336
08/2004,143283.36513251386
09/2004,145207.6444986897
10/2004,146299.46710973635
11/2004,149971.33759394608
12/2004,152033.74750914233
01/2005,155185.7473225092
02/2005,159617.85639774863
03/2005,159511.8575895064
04/2005,156962.61011312358
05/2005,165775.0351099869
06/2005,170072.09697152316
07/2005,176371.3025595426
08/2005,177631.13895792392
09/2005,183404.80298879193
10/2005,178201.67669115064
11/2005,182503.71807973098
12/2005,188744.75304998114
01/2006,195098.88989619154
02/2006,197748.769233287
03/2006,202662.73884794
04/2006,205844.37553590248
05/2006,195024.410264521
06/2006,198183.1930295137
07/2006,199360.4191909468
08/2006,203814.26767686495
09/2006,206683.9103126168
10/2006,213816.73281608964
11/2006,213478.1474759046
12/2006,220934.33941861778
01/2007,226677.39357623493
02/2007,222103.65379337672
03/2007,230526.08827620876
04/2007,239168.20030805326
05/2007,246162.64448796096
06/2007,244909.83095145703
07/2007,237620.57681324752
08/2007,236564.57806836703
09/2007,241988.66978107003
10/2007,248396.34205622468
11/2007,239579.44317505453
12/2007,236284.48189317514
01/2008,211452.36531845393
02/2008,213189.6847938059
03/2008,204672.28738719146
04/2008,215305.17124720546
05/2008,220132.7646270853
06/2008,201443.81194711014
07/2008,197945.93985635892
08/2008,200099.92255788491
09/2008,175503.216723508
10/2008,157576.63200669838
11/2008,145910.44323972816
12/2008,140775.81639290348
01/2009,139809.22750089102
02/2009,129795.70783571702
03/2009,130454.95060203619
04/2009,142249.77154109866
05/2009,150288.9584126006
06/2009,148123.04605687296
07/2009,162349.49363324558
08/2009,165945.67858870068
09/2009,169352.93177303424
10/2009,168673.3605092696
11/2009,171482.0594620202
12/2009,182062.3161555109
01/2010,178155.88941889256
02/2010,181182.57059845462
03/2010,194569.86077783466
04/2010,192650.9171819787
05/2010,185142.05253007927
06/2010,187143.35887697127
07/2010,192758.68092433494
08/2010,193195.7165963227
09/2010,199694.43326753008
10/2010,203846.63459949495
11/2010,205984.73654384702
12/2010,216600.3280574618
01/2011,213403.09003412494
02/2011,218378.36474251605
03/2011,212886.22616812895
04/2011,220100.36079589848
05/2011,221955.16553456467
06/2011,216657.16478367423
07/2011,214865.37734864908
08/2011,193708.38963732801
09/2011,182074.7849218886
10/2011,196982.04921491432
11/2011,197857.27857464398
12/2011,201894.75158969642
01/2012,208063.6932794124
02/2012,217979.44610350346
03/2012,220167.04777559353
04/2012,221255.90087662952
05/2012,207597.12116865598
06/2012,216854.33365489772
07/2012,227464.87665255088
08/2012,227843.6591649736
09/2012,227708.26898762438
10/2012,228481.70871536055
11/2012,236228.67342248556
12/2012,237032.32735527062
01/2013,243316.75786431378
02/2013,249333.58085876104
03/2013,257690.53090037985
04/2013,260190.20368154545
05/2013,260847.67295596376
06/2013,248794.78125460583
07/2013,260850.28828306563
08/2013,258185.60231267833
09/2013,269225.9859448299
10/2013,273966.93371478416
11/2013,277688.76641606493
12/2013,280117.4524160348
01/2014,273052.6387622217
02/2014,286757.0769186723
03/2014,284746.70074413094
04/2014,288461.8821422674
05/2014,297501.04267426813
06/2014,295671.55279539723
07/2014,288411.1417821178
08/2014,295430.03065299505
09/2014,298459.7586907153
10/2014,294260.3922422962
11/2014,306533.60093825473
12/2014,301891.4556729613
01/2015,327886.18659863656
02/2015,350880.7859320386
03/2015,358366.0302810482
04/2015,357775.68961694936
05/2015,365973.37125442055
06/2015,348487.3061522712
07/2015,369055.91947491874
08/2015,335804.17028449493
09/2015,326437.0185219085
10/2015,356523.015835626
11/2015,366698.95277645736
12/2015,350139.71253083623
01/2016,329172.04956759413
02/2016,323358.54773774755
03/2016,328557.4252718122
04/2016,331110.1920265931
05/2016,338880.26625538984
06/2016,330331.61501407507
07/2016,344792.98465091886
08/2016,341384.57897336467
09/2016,343318.28235075256
10/2016,329061.1208555369
11/2016,327842.616870996
12/2016,343448.61234836304
01/2017,345801.5278591382
02/2017,359882.7328510816
03/2017,369138.7914516148
04/2017,375576.714357787
05/2017,386412.583143254
06/2017,373866.2433923346
07/2017,372014.9927781448
08/2017,371297.40585513477
09/2017,381958.80034925696
10/2017,391889.24776962696
11/2017,384284.87143361376
12/2017,386059.9767806347
01/2018,388705.0563142677
02/2018,373125.6721515967
03/2018,368022.14371115045
04/2018,382034.8758340299
05/2018,390710.31395969604
06/2018,389754.42967494245
07/2018,399337.10169678426
08/2018,398976.17896245513
09/2018,397396.9982362941
10/2018,371047.8592558769
11/2018,367252.5132000031
12/2018,348310.07394030393
01/2019,370056.4849359715
02/2019,386894.44056369714
03/2019,401099.0373949399
04/2019,417144.76086095464
05/2019,403473.6049582653
06/2019,424241.2739085061
07/2019,428319.0283515842
08/2019,429123.416356595
09/2019,437791.0890480428
10/2019,440105.8751432384
11/2019,456613.12065710966
12/2019,461587.68774412526
01/2020,466177.22373362596
02/2020,430097.2610068779
03/2020,388365.16357998445
04/2020,419042.107970535
05/2020,432511.133558497
06/2020,442619.263460711
07/2020,444526.2842194845
08/2020,457140.25029273145
09/2020,459972.5897194496
10/2020,435019.4984434175
11/2020,473764.85153296025
12/2020,487687.1084920035
01/2021,486544.099488453
02/2021,489130.7451840804
03/2021,516168.16686437
04/2021,532435.0437571937
05/2021,550403.3332228768
06/2021,566471.5987739653
07/2021,583966.2063101594
08/2021,596609.6668895306
09/2021,574223.9028965355
10/2021,602234.8363397174
11/2021,592322.7826482855
12/2021,628830.900204303
01/2022,573133.6882751152
02/2022,554782.8006286493
03/2022,561212.407126505
04/2022,549047.0648479373
05/2022,528291.4354926749
06/2022,498310.16858917405
07/2022,550591.8196679801
08/2022,518076.14903854026
09/2022,484226.6595499778
10/2022,502382.11418295547
11/2022,535346.2188775126
12/2022,515999.1489168179
01/2023,553090.0284812098
02/2023,556092.356143815
03/2023,574711.5192371901
04/2023,589873.7815697773
05/2023,579257.5293678561
06/2023,592367.5822679903
07/2023,594431.416296933
08/2023,575245.3920116809
09/2023,552739.5709811427
10/2023,532823.4941669992
11/2023,575039.7336953447
12/2023,598719.186179416
01/2024,618268.4782743376
02/2024,640682.1908749832
03/2024,659751.8962414148
04/2024,642467.7001229104
05/2024,663915.5304901534
06/2024,665734.1026565821
07/2024,657365.7299034132
08/2024,670213.7219765091
09/2024,660234.4444763098
10/2024,630688.1016600766
