Date,iBoxx EUR Sovereigns Eurozone Yield Plus
10/2010,10000
11/2010,9505.712866368603
12/2010,9546.28249710217
01/2011,9594.303692664349
02/2011,9575.260804769001
03/2011,9557.873820168901
04/2011,9569.465143235635
05/2011,9619.142242093061
06/2011,9563.669481702269
07/2011,9211.790031462162
08/2011,9606.722967378704
09/2011,9528.89551250207
10/2011,9292.929292929293
11/2011,8855.770822983937
12/2011,9381.520119225037
01/2012,9788.872329855936
02/2012,10112.601424076835
03/2012,10087.76287464812
04/2012,9972.677595628415
05/2012,9747.474747474747
06/2012,9886.570624275542
07/2012,9850.140751780096
08/2012,10069.547938400397
09/2012,10421.427388640503
10/2012,10607.716509355854
11/2012,10845.338632223878
12/2012,10927.305845338633
01/2013,11049.014737539328
02/2013,10976.154992548434
03/2013,11017.552574929625
04/2013,11488.657062427554
05/2013,11381.023348236464
06/2013,11179.831097863884
07/2013,11289.948666997849
08/2013,11317.271071369432
09/2013,11389.302864712701
10/2013,11635.204504056963
11/2013,11713.031958933598
12/2013,11708.064249047855
01/2014,11980.460341116079
02/2014,12136.943202516974
03/2014,12300.87762874648
04/2014,12445.769167080642
05/2014,12549.263123033616
06/2014,12723.960920682232
07/2014,12848.153667825798
08/2014,13076.668322569962
09/2014,13137.108792846495
10/2014,13115.58205000828
11/2014,13330.849478390463
12/2014,13479.880774962741
01/2015,13765.524093392945
02/2015,13992.38284484186
03/2015,14133.134624937904
04/2015,13912.899486669978
05/2015,13649.610862725618
06/2015,13290.279847656897
07/2015,13695.976154992546
08/2015,13563.503891372744
09/2015,13746.4812054976
10/2015,13941.049842689186
11/2015,14037.92018546117
12/2015,13896.340453717503
01/2016,14112.43583374731
02/2016,14176.18811061434
03/2016,14307.004470938897
04/2016,14137.274383176022
05/2016,14261.46713031959
06/2016,14500.745156482859
07/2016,14663.851631064748
08/2016,14673.78705083623
09/2016,14690.346083788707
10/2016,14353.36976320583
11/2016,14084.285477728103
12/2016,14278.854114919688
01/2017,13927.802616327206
02/2017,14063.586686537508
03/2017,13952.64116575592
04/2017,14100.844510680576
05/2017,14210.962079814537
06/2017,14177.844013909587
07/2017,14232.488822652756
08/2017,14319.423745653254
09/2017,14265.606888557708
10/2017,14455.207815863554
11/2017,14516.476237787714
12/2017,14407.186620301374
01/2018,14365.789037920185
02/2018,14395.595297234642
03/2018,14648.948501407518
04/2018,14622.45404868356
05/2018,13970.856102003643
06/2018,14171.220400728598
07/2018,14158.801126014241
08/2018,13875.641662526908
09/2018,13999.834409670475
10/2018,13883.093227355523
11/2018,14023.01705580394
12/2018,14298.72495446266
01/2019,14485.014075178009
02/2019,14403.87481371088
03/2019,14619.142242093061
04/2019,14701.937406855439
05/2019,14797.151846332174
06/2019,15260.80476900149
07/2019,15591.157476403378
08/2019,16008.445106805762
09/2019,16093.724126511011
10/2019,15984.434509024673
11/2019,15722.801788375558
12/2019,15672.296737870509
01/2020,16077.99304520616
02/2020,15974.499089253188
03/2020,15535.684716012584
04/2020,15422.255340288128
05/2020,15669.812882927637
06/2020,15890.04802119556
07/2020,16122.702434177843
08/2020,16094.552078158633
09/2020,16311.475409836066
10/2020,16496.93657890379
11/2020,16606.22619639013
12/2020,16662.526908428546
01/2021,16567.31246895181
02/2021,16342.937572445768
03/2021,16418.28117237953
04/2021,16206.325550587846
05/2021,16217.916873654578
06/2021,16300.712038416956
07/2021,16559.032952475576
08/2021,16482.86140089419
09/2021,16342.937572445768
10/2021,16147.540983606557
11/2021,16399.238284484185
12/2021,16164.100016559032
01/2022,16019.208478224871
02/2022,15640.00662361318
03/2022,15384.169564497433
04/2022,14758.238118893856
05/2022,14470.11094552078
06/2022,14281.33796986256
07/2022,14704.42126179831
08/2022,14020.53320086107
09/2022,13527.90197052492
10/2022,13634.707733068388
11/2022,13966.716343765524
12/2022,13359.827786057296
01/2023,13696.804106640173
02/2023,13448.418612353038
03/2023,13763.868190097699
04/2023,13734.061930783242
05/2023,13812.717337307504
06/2023,13817.685047193241
07/2023,13842.523596621957
08/2023,13875.641662526908
09/2023,13482.364629905613
10/2023,13563.503891372744
11/2023,13979.963570127504
12/2023,14465.14323563504
01/2024,14433.681073025336
02/2024,14331.015068719986
03/2024,14511.50852790197
04/2024,14359.165424739194
05/2024,14367.444941215434
06/2024,14335.154826958104
07/2024,14732.571617817519
08/2024,14783.07666832257
09/2024,15043.88143732406
