Date,S&P 500 Minimum Volatility (EUR Hedged)
12/2012,20653.503
01/2013,21785.444000000003
02/2013,22108.32
03/2013,23112.009
04/2013,23638.271
05/2013,23678.760000000002
06/2013,23483.569000000003
07/2013,24572.178
08/2013,23786.482
09/2013,24435.243999999995
10/2013,25437.898
11/2013,25903.689
12/2013,26258.618
01/2014,25359.08
02/2014,26434.563
03/2014,26853.071
04/2014,27183.674
05/2014,27502.651
06/2014,27878.32
07/2014,27500.767
08/2014,28529.287
09/2014,28295.906
10/2014,29262.219
11/2014,30069.326
12/2014,30043.535
01/2015,29805.437
02/2015,30956.873
03/2015,30526.801999999996
04/2015,30550.852
05/2015,30881.799
06/2015,30235.647
07/2015,31362.172999999995
08/2015,29869.795
09/2015,29666.526
10/2015,31626.311
11/2015,31323.525
12/2015,31297.707999999995
01/2016,31041.475
02/2016,31737.871
03/2016,33487.039
04/2016,33382.002
05/2016,33725.73
06/2016,35411.089
07/2016,36046.306
08/2016,35306.873
09/2016,35261.765
10/2016,34528.782
11/2016,34745.186
12/2016,35424.058
01/2017,35564.692
02/2017,36924.187
03/2017,36745.94
04/2017,36919.856
05/2017,37502.41
06/2017,37386.25
07/2017,37993.457
08/2017,37729.8
09/2017,38165.6
10/2017,39056.7
11/2017,40862.7
12/2017,41236.5
01/2018,42485.4
02/2018,41062.9
03/2018,40392.8
04/2018,40459.2
05/2018,41025.600000000006
06/2018,41439.9
07/2018,42714
08/2018,44032.8
09/2018,44291.5
10/2018,41917.700000000004
11/2018,42782
12/2018,38969.2
01/2019,41801.5
02/2019,43287.2
03/2019,44259.6
04/2019,45973.5
05/2019,43916.1
06/2019,46554.7
07/2019,47304.9
08/2019,47474
09/2019,48239.399999999994
10/2019,48385.8
11/2019,49525.600000000006
12/2019,51236.899999999994
01/2020,51374.1
02/2020,47156.6
03/2020,41241.1
04/2020,45798.9
05/2020,47779
06/2020,47952.2
07/2020,50222.4
08/2020,52412
09/2020,51416.6
10/2020,50002.9
11/2020,53880.4
12/2020,55308.8
01/2021,54031.1
02/2021,53830.8
03/2021,57174.5
04/2021,59750.600000000006
05/2021,59947.2
06/2021,60925.4
07/2021,62667.1
08/2021,64043.3
09/2021,60769.9
10/2021,64435.600000000006
11/2021,64083.8
12/2021,68440
01/2022,65008.8
02/2022,63104
03/2022,66157.8
04/2022,62880.600000000006
05/2022,62912
06/2022,59403.2
07/2022,62781.8
08/2022,60539
09/2022,55818.8
10/2022,60321.899999999994
11/2022,63062.2
12/2022,60807.700000000004
01/2023,62631.6
02/2023,59740.5
03/2023,61850.9
04/2023,63504.2
05/2023,61464.2
06/2023,64335.200000000004
07/2023,64809
08/2023,63694.2
09/2023,61028.9
10/2023,60343.6
11/2023,65027.1
12/2023,66670.7
01/2024,68572.3
02/2024,70665.5
03/2024,72839.3
04/2024,70158.5
05/2024,73311.6
06/2024,74529.6
07/2024,76097
08/2024,78835.3
09/2024,80143
