Date,Nasdaq-100 Leveraged Notional Net
07/2007,10000
08/2007,10504.716745000009
09/2007,11152.852353918744
10/2007,12443.09129406388
11/2007,10488.632867303275
12/2007,10401.705467359392
01/2008,7950.239337958131
02/2008,6966.368040328281
03/2008,6891.470240548728
04/2008,8053.236844247802
05/2008,9020.632775178006
06/2008,7194.918684946161
07/2008,7303.820010942709
08/2008,7892.966980308688
09/2008,5724.998067909119
10/2008,4263.328629415952
11/2008,3276.0176751905615
12/2008,3056.2550768895903
01/2009,3107.8017357813387
02/2009,2800.7266236199403
03/2009,3196.800623472948
04/2009,4029.9816267545852
05/2009,4002.0726319335627
06/2009,4205.798963350275
07/2009,4922.569817673748
08/2009,4998.5417273580915
09/2009,5430.991636058601
10/2009,5037.20394819072
11/2009,5562.754287905293
12/2009,6406.017395756986
01/2010,5775.108448336998
02/2010,6473.746007599879
03/2010,7534.820406101423
04/2010,7942.452895648281
05/2010,7316.643547685056
06/2010,6437.550356634541
07/2010,6925.93523342822
08/2010,6393.977374254012
09/2010,7545.504066930418
10/2010,8371.68526458958
11/2010,8862.70414307236
12/2010,9436.695607016727
01/2011,9721.9170541482
02/2011,10196.51022030951
03/2011,9797.709343267841
04/2011,9880.469386116203
05/2011,10099.256226332582
06/2011,9635.678584418318
07/2011,10053.210810433675
08/2011,8794.210940480069
09/2011,8549.146814963482
10/2011,9938.6732917998
11/2011,9754.992361522107
12/2011,9932.633535963068
01/2012,11432.624937599512
02/2012,12666.79432682865
03/2012,14041.212237260976
04/2012,13830.003261864718
05/2012,12648.140609369897
06/2012,13314.183132076203
07/2012,13889.234881556677
08/2012,14907.732550682917
09/2012,14801.712385694967
10/2012,13336.447066750336
11/2012,13475.46815158639
12/2012,13082.398547773068
01/2013,13397.063704632243
02/2013,13911.552592967202
03/2013,15105.470539776597
04/2013,15489.438221129782
05/2013,16630.753866167568
06/2013,15726.741953575414
07/2013,17471.109162746852
08/2013,17366.787573509377
09/2013,18647.34295951272
10/2013,20302.83909734872
11/2013,21744.957453872594
12/2013,22749.203872775735
01/2014,22274.545289819067
02/2014,24028.100502866557
03/2014,22759.57797394225
04/2014,22411.267920492053
05/2014,24865.168189301992
06/2014,26294.432932935797
07/2014,27412.14220529198
08/2014,30650.43985228064
09/2014,31578.106022312488
10/2014,33314.34132149949
11/2014,36443.5668094803
12/2014,35655.90408926885
01/2015,36631.13421367723
02/2015,42261.806929479164
03/2015,41998.96299746705
04/2015,41748.82982624469
05/2015,44546.2978443508
06/2015,41507.14428290944
07/2015,46055.63392914734
08/2015,38849.61343952031
09/2015,37023.91912442256
10/2015,46448.31887113374
11/2015,48752.655569747556
12/2015,45786.17530533333
01/2016,39343.522327436
02/2016,37964.29190881961
03/2016,41260.50874399049
04/2016,38560.64218667142
05/2016,42840.82007559867
06/2016,40881.72011861994
07/2016,46781.21817166424
08/2016,47579.69517417049
09/2016,49436.229551998054
10/2016,48817.98567941844
11/2016,50458.77763651684
12/2016,51952.087210439415
01/2017,56287.11760743058
02/2017,62068.294232294524
03/2017,63923.350018135236
04/2017,65892.42405783992
05/2017,68988.41647327167
06/2017,64373.83457259008
07/2017,67813.36540966257
08/2017,69720.8003521587
09/2017,69517.4166177499
10/2017,76875.23655104334
11/2017,78399.70870340409
12/2017,78094.6814959858
01/2018,88549.73403311195
02/2018,87313.1023733607
03/2018,79256.28558580155
04/2018,80968.00269955897
05/2018,92955.7545303889
06/2018,94975.23536560217
07/2018,99192.34453329339
08/2018,111843.17499646776
09/2018,111559.67332280413
10/2018,94060.52574683163
11/2018,92699.73544533653
12/2018,75416.52413160416
01/2019,88816.17434443136
02/2019,94303.92504021415
03/2019,103247.04190714791
04/2019,114702.78231722482
05/2019,96472.23188608103
06/2019,109081.14708995368
07/2019,116178.57392184967
08/2019,112024.41826818764
09/2019,114955.40137725293
10/2019,121710.64971245553
11/2019,133567.0323067393
12/2019,140775.78075529973
01/2020,151246.12102625662
02/2020,133979.50879217315
03/2020,106367.4500884527
04/2020,140102.36080229725
05/2020,153832.28215324561
06/2020,171866.90240091496
07/2020,186421.50801618604
08/2020,227756.18577506556
09/2020,204280.03543143306
10/2020,190293.8112883913
11/2020,228105.22441483437
12/2020,245521.8973166228
01/2021,248775.7673765406
02/2021,247861.38192101594
03/2021,261594.19682498946
04/2021,284049.56382336136
05/2021,273654.18823351624
06/2021,317490.7515730117
07/2021,334966.4784851435
08/2021,365197.47160905687
09/2021,331216.2207608523
10/2021,382827.88035569596
11/2021,406040.1983390743
12/2021,414941.84432511753
01/2022,350159.19448395685
02/2022,314965.57159836806
03/2022,342067.82707840344
04/2022,267632.51040184894
05/2022,251087.58251977712
06/2022,211820.49610953155
07/2022,271407.42320636334
08/2022,246900.75437674255
09/2022,200551.41629509602
10/2022,210663.52589644698
11/2022,221094.5581859331
12/2022,176501.26582419995
01/2023,210956.60489803166
02/2023,211594.21718002172
03/2023,245780.2283737326
04/2023,244422.609911495
05/2023,289139.7818328948
06/2023,320334.6249047899
07/2023,338243.2058333871
08/2023,330022.6192315643
09/2023,303426.3861461472
10/2023,288109.4087963096
11/2023,341178.11852051725
12/2023,373590.8637468682
01/2024,392430.8122987632
02/2024,433170.0573504724
03/2024,441533.90966204065
04/2024,403285.29434279475
05/2024,447724.4046978389
06/2024,509410.93630844745
07/2024,482594.60449524364
08/2024,477274.09593448177
09/2024,492839.67153246334
