Date,Vanguard LifeStrategy 20% Equity UCITS ETF Accumulating
12/2020,10000
01/2021,9932.686596713524
02/2021,9778.261730350427
03/2021,9863.39338744803
04/2021,9897.05008909127
05/2021,9906.94911898634
06/2021,10045.535537517324
07/2021,10186.101762027323
08/2021,10203.920015838448
09/2021,10067.313403286478
10/2021,10138.586418530984
11/2021,10209.859433775491
12/2021,10199.960403880421
01/2022,9934.666402692537
02/2022,9758.463670560286
03/2022,9655.513759651556
04/2022,9303.108295387054
05/2022,9204.117996436351
06/2022,8952.682637101565
07/2022,9318.946743219165
08/2022,9023.95565234607
09/2022,8616.115620669176
10/2022,8616.115620669176
11/2022,8812.116412591566
12/2022,8598.297366858049
01/2023,8841.813502276776
02/2023,8677.489606018611
03/2023,8847.75292021382
04/2023,8837.85389031875
05/2023,8818.055830528609
06/2023,8883.389427836071
07/2023,8915.066323500298
08/2023,8875.470203920017
09/2023,8663.630964165512
10/2023,8566.620471193824
11/2023,8922.985547416354
12/2023,9219.956444268462
01/2024,9237.774698079587
02/2024,9235.794892100574
03/2024,9338.744803009306
04/2024,9168.481488814097
05/2024,9263.51217580677
06/2024,9400.11878835874
07/2024,9518.907147099584
08/2024,9615.917640071273
09/2024,9732.726192833103
10/2024,9613.93783409226
11/2024,9811.918431993665
12/2024,9663.43298356761
