Date,BEL 20
10/2001,21376.200988775225
11/2001,21610.211125275957
12/2001,22826.093715991417
01/2002,22693.883896645006
02/2002,22566.462485619228
03/2002,22734.740835173037
04/2002,23112.527595534964
05/2002,22745.06389726688
06/2002,21299.648642766082
07/2002,18948.22922172818
08/2002,18868.505332545632
09/2002,15699.94714094711
10/2002,16436.24265414633
11/2002,17428.68691893909
12/2002,17014.085382917197
01/2003,15828.923229999067
02/2003,14058.39370666335
03/2003,13749.448089300706
04/2003,15790.740337676069
05/2003,16596.37449084295
06/2003,16867.323777245732
07/2003,17593.296228351108
08/2003,17772.27076272504
09/2003,17841.795964055844
10/2003,18793.010167594293
11/2003,18859.55038711483
12/2003,19519.355741425952
01/2004,20745.934516961537
02/2004,21611.081744970616
03/2004,20716.209073100963
04/2004,21261.901060290413
05/2004,21412.642641708902
06/2004,22072.13706041479
07/2004,22022.760486303287
08/2004,22853.145113646966
09/2004,24067.473026336247
10/2004,24891.763315817294
11/2004,25477.130686234883
12/2004,26206.958738845187
01/2005,26799.726376667393
02/2005,27773.63887938808
03/2005,27944.653462267965
04/2005,27264.45073225335
05/2005,27900.37623208234
06/2005,28505.519106992942
07/2005,29560.274867075026
08/2005,29600.88305711887
09/2005,30563.290942445816
10/2005,29979.913559901746
11/2005,31172.786915829733
12/2005,32597.3694847797
01/2006,34419.70087994776
02/2006,35289.325580672245
03/2006,35960.635552377105
04/2006,36086.37791113461
05/2006,34324.98989459283
06/2006,34692.01828301359
07/2006,35559.46643450142
08/2006,36673.735269425706
09/2006,38220.764279717674
10/2006,38922.35937937253
11/2006,38883.989925686394
12/2006,41226.95189826187
01/2007,41665.992972855325
02/2007,40459.87376014428
03/2007,42023.87985448214
04/2007,43707.34740835173
05/2007,44955.31855352756
06/2007,44404.154099685955
07/2007,41964.24240539785
08/2007,41748.079972637664
09/2007,41503.062715711574
10/2007,42634.12207331862
11/2007,39953.17309785144
12/2007,39636.82721308417
01/2008,35761.26364229968
02/2008,36096.45222474426
03/2008,35735.20723858089
04/2008,37985.82133640123
05/2008,36976.648736046765
06/2008,31235.4093467243
07/2008,29521.594477783652
08/2008,30917.819719536084
09/2008,26359.93905662138
10/2008,20717.266254158763
11/2008,18641.771089207425
12/2008,18931.314324803334
01/2009,18865.271602251174
02/2009,16844.68766518454
03/2009,17362.58200926588
04/2009,19607.474891949878
05/2009,20924.1628058829
06/2009,20570.5046484873
07/2009,21969.71487205
08/2009,23963.18522434004
09/2009,25203.44516650602
10/2009,24261.43465688256
11/2009,24551.16445384161
12/2009,25526.880383072665
01/2010,25481.35941046609
02/2010,25579.739435962812
03/2010,26938.528030844813
04/2010,26209.57059792917
05/2010,25439.134355275022
06/2010,24746.12107832468
07/2010,26102.04906563851
08/2010,25481.608158950283
09/2010,26853.145113646966
10/2010,27801.809645222475
11/2010,26067.908336183576
12/2010,26861.54037498834
01/2011,27510.089860389915
02/2011,28223.06520319642
03/2011,27754.796181710768
04/2011,29068.685675196666
05/2011,28543.328876589658
06/2011,27373.651316812287
07/2011,25824.197008799478
08/2011,24139.2991511458
09/2011,22721.059668542646
10/2011,22813.220981934643
11/2011,22214.172444886666
12/2011,22339.230745312645
01/2012,23687.074406890333
02/2012,24428.282702652283
03/2012,24945.55517552315
04/2012,24092.161313391996
05/2012,23028.077485152826
06/2012,24523.80212058083
07/2012,25043.499891172538
08/2012,25831.16196635677
09/2012,26265.601193992727
10/2012,26220.080221386153
11/2012,26983.11619663568
12/2012,27439.320916638164
01/2013,27956.779950872176
02/2013,28498.305400951464
03/2013,28753.58353285035
04/2013,29719.97139392432
05/2013,30081.27856720873
06/2013,28686.483629240385
07/2013,30237.30605391624
08/2013,30383.570162619322
09/2013,31888.62286620441
10/2013,33050.21610024564
11/2013,32848.29451820528
12/2013,33478.063493050584
01/2014,33128.571872765155
02/2014,35485.09063772893
03/2014,35863.623643543426
04/2014,35682.47255993284
05/2014,36845.06078791082
06/2014,36490.96732066789
07/2014,36158.76372003358
08/2014,37284.03967538323
09/2014,37656.913653182426
10/2014,36986.163365566994
11/2014,38578.21585149715
12/2014,38601.53602188987
01/2015,41505.92332327975
02/2015,43670.71919405491
03/2015,43804.54587854855
04/2015,43403.43894779391
05/2015,44344.39227635957
06/2015,42827.89714250179
07/2015,45079.506234258886
08/2015,41523.21134293088
09/2015,40116.911787568795
10/2015,43310.34482758621
11/2015,45317.123223780356
12/2015,44646.18637480178
01/2016,42096.45222474426
02/2016,40714.96533068002
03/2016,40729.76586548926
04/2016,41479.18286122945
05/2016,43174.65252946115
06/2016,41112.90071826125
07/2016,42577.71835452878
08/2016,43773.20356954075
09/2016,43823.575137589
10/2016,43764.683933957276
11/2016,43119.927862939585
12/2016,44750.16324119275
01/2017,43978.29669475452
02/2017,44498.056652467276
03/2017,47389.38465843724
04/2017,48211.99589565001
05/2017,49118.55974627655
06/2017,47922.203911569915
07/2017,49802.3693293119
08/2017,49209.29075588446
09/2017,50876.52747116073
10/2017,51985.19946519076
11/2017,50692.515779981964
12/2017,50662.60377475825
01/2018,52393.644476228976
02/2018,50900.28295140077
03/2018,49155.436709057554
04/2018,50180.46702527907
05/2018,48797.3632660676
06/2018,48249.05941979416
07/2018,50573.17869469233
08/2018,48631.0749043873
09/2018,48208.575603992416
10/2018,44947.04766642828
11/2018,45582.04035944156
12/2018,42435.99390566214
01/2019,45709.1508348621
02/2019,47186.592456702216
03/2019,47903.85871086098
04/2019,49426.75911818662
05/2019,45674.699169801934
06/2019,47301.82519200274
07/2019,49354.870806256025
08/2019,47755.66680140543
09/2019,49696.15372656323
10/2019,50349.491620285444
11/2019,52389.04262927148
12/2019,53079.75498274308
01/2020,52463.48061316502
02/2020,46837.847081869346
03/2020,38963.34069214266
04/2020,41672.83355617052
05/2020,43323.65287149032
06/2020,45071.79503124903
07/2020,44331.76829078698
08/2020,45153.197972699854
09/2020,43837.69161406673
10/2020,41263.455738316596
11/2020,49868.101116258826
12/2020,49279.06470569945
01/2021,49337.95590933118
02/2021,51297.161157924194
03/2021,53179.316563539694
04/2021,54861.29162650415
05/2021,55864.86738596437
06/2021,56928.6402785983
07/2021,57956.90432511427
08/2021,59477.62818320326
09/2021,57406.73486520942
10/2021,59090.948664531585
11/2021,57019.93097229564
12/2021,59792.29501570225
01/2022,56518.57840241286
02/2022,55714.87204999845
03/2022,57733.7769347968
04/2022,57126.58188489164
05/2022,54758.869438139365
06/2022,51941.357544852464
07/2022,53560.46142843818
08/2022,50608.12785672087
09/2022,47584.652218525545
10/2022,50452.03818289233
11/2022,52205.83937066633
12/2022,52460.744379838936
01/2023,54754.51633966606
02/2023,55355.430490345454
03/2023,53808.89897702186
04/2023,54080.843257361405
05/2023,51007.74229657038
06/2023,51153.13578557881
07/2023,54523.30462361246
08/2023,52952.582320201494
09/2023,51320.97882528528
10/2023,48585.2429961755
11/2023,51165.6353969093
12/2023,53785.70318087124
01/2024,53177.077827181995
02/2024,53164.32946736731
03/2024,55839.059730729765
04/2024,56558.937843972504
05/2024,57683.09443114331
06/2024,57388.700600105716
07/2024,60975.46718074687
08/2024,61794.28500357576
09/2024,63497.279313454186
