Date,BEL 20
03/1994,10000
04/1994,10392.649482292218
05/1994,10314.4180840148
06/1994,9876.496377600199
07/1994,10230.589844843134
08/1994,10374.17990734119
09/1994,9635.95659338951
10/1994,9634.15316687914
11/1994,9878.175429868474
12/1994,9740.430956748858
01/1995,9488.759677870714
02/1995,9296.974596561053
03/1995,9119.554740213302
04/1995,9987.997885637884
05/1995,10356.39439072168
06/1995,10324.492397624452
07/1995,10622.36870744069
08/1995,10561.985012903828
09/1995,10539.286713721589
10/1995,10295.57538633749
11/1995,10750.59855104008
12/1995,11252.57299213333
01/1996,12199.620658561613
02/1996,12196.946612356582
03/1996,11832.965392867138
04/1996,12421.753054942323
05/1996,12834.3646030907
06/1996,12913.715369546968
07/1996,12572.370262118715
08/1996,12701.595099654862
09/1996,13123.348154597183
10/1996,13319.548521501198
11/1996,14037.312272628338
12/1996,14100.18345200709
01/1997,15266.440720126862
02/1997,15953.670594819814
03/1997,15983.022915954107
04/1997,16721.308417026834
05/1997,16961.78601411648
06/1997,18089.61164142906
07/1997,19598.64432076117
08/1997,17619.290444948852
09/1997,18521.936506949412
10/1997,17760.57958396816
11/1997,18185.93949193122
12/1997,18381.891110351047
01/1998,19613.196107086223
02/1998,20642.95264450732
03/1998,22698.547930723547
04/1998,23446.596809800692
05/1998,24955.442927769658
06/1998,26575.479618171077
07/1998,27033.549951804984
08/1998,24504.959422903517
09/1998,22857.436024999224
10/1998,24383.694536861418
11/1998,25312.148254096577
12/1998,27152.824849973575
01/1999,26404.278473928047
02/1999,26019.526756008832
03/1999,25164.826964335687
04/1999,24980.939647399024
05/1999,24221.634899412333
06/1999,24629.893349087404
07/1999,23776.872609682534
08/1999,25196.107086222444
09/1999,24154.659370044465
10/1999,24245.141631168186
11/1999,24673.921830788844
12/1999,26247.255993283787
01/2000,22054.78685364261
02/2000,21581.542862473183
03/2000,21831.16196635677
04/2000,22109.698081527316
05/2000,22703.27415192314
06/2000,23683.591928111688
07/2000,24608.50097944716
08/2000,25121.047231118435
09/2000,24507.509094866455
10/2000,24946.48798233886
11/2000,23971.642672802463
12/2000,24272.00646746059
01/2001,23837.56723982463
02/2001,24086.31572401356
03/2001,22792.015173657535
04/2001,22886.663971891423
05/2001,22695.625136034327
06/2001,23665.37110164485
07/2001,24025.86984235565
08/2001,23731.662572681198
09/2001,21676.316034949163
