Date,MSCI World Low Carbon SRI Leaders
11/2010,10000
12/2010,10395.637365663822
01/2011,10311.632749050541
02/2011,10473.753448026602
03/2011,10082.466350390652
04/2011,10091.433773889637
05/2011,10219.951962460897
06/2011,10013.109530201344
07/2011,9947.435028050493
08/2011,9140.157619377163
09/2011,9100.178665481746
10/2011,9633.865828155136
11/2011,9812.773162915486
12/2011,10121.412710410388
01/2012,10381.116684881603
02/2012,10658.011916982818
03/2012,10907.381281820906
04/2012,10893.807349780536
05/2012,10571.81845037491
06/2012,10915.016298649723
07/2012,11312.34436014328
08/2012,11325.122047418918
09/2012,11326.585873163187
10/2012,11237.972962364352
11/2012,11441.392910827048
12/2012,11527.641887221465
01/2013,11892.201145387455
02/2013,12329.576686724047
03/2013,13013.784373291686
04/2013,13173.40140758874
05/2013,13228.238293095494
06/2013,12878.066619266056
07/2013,13331.453776271188
08/2013,13059.881675859466
09/2013,13443.521969640875
10/2013,13837.63401950004
11/2013,14125.496044375872
12/2013,14208.074120803423
01/2014,13935.017703462565
02/2014,14352.810720335918
03/2014,14384.46276037134
04/2014,14423.678825992782
05/2014,14946.830728301611
06/2014,15116.61309269293
07/2014,15243.460605426415
08/2014,15795.083262056416
09/2014,16102.831010092985
10/2014,16298.707387416163
11/2014,16716.65876472002
12/2014,16886.34083353925
01/2015,17806.006765148166
02/2015,18931.36728291815
03/2015,19574.814032902686
04/2015,19178.92856709764
05/2015,19673.249088422974
06/2015,18848.470778443116
07/2015,19660.378708853834
08/2015,17963.3171288453
09/2015,17373.49830402571
10/2015,19059.843883089772
11/2015,19780.894307590508
12/2015,19010.342081381466
01/2016,17811.068937728938
02/2016,17721.354775900076
03/2016,18092.86207992973
04/2016,18314.094229588703
05/2016,18902.837344450425
06/2016,18624.815701675376
07/2016,19428.36663007289
08/2016,19421.86333992095
09/2016,19405.719358480423
10/2016,19340.84825507035
11/2016,20133.88366713681
12/2016,20800.425284128643
01/2017,20841.685701534174
02/2017,21708.475328866658
03/2017,21758.391821157988
04/2017,21613.01018298262
05/2017,21474.697652615632
06/2017,21242.003140553807
07/2017,21266.84279355334
08/2017,21036.479822410147
09/2017,21570.118244960187
10/2017,22286.14206736553
11/2017,22281.669843868684
12/2017,22254.986368715086
01/2018,22639.965858553423
02/2018,22173.774959882106
03/2018,21612.822478694914
04/2018,22250.167727460885
05/2018,22856.52580904351
06/2018,22916.65137931035
07/2018,23536.50284594411
08/2018,24034.09520041198
09/2018,24281.175746371806
10/2018,22932.316964127942
11/2018,23383.572499339738
12/2018,21487.907633187777
01/2019,22964.064886838438
02/2019,23891.28268220042
03/2019,24543.15100845572
04/2019,25490.598179711185
05/2019,24220.42261142499
06/2019,25280.458957820745
07/2019,25999.43862433863
08/2019,25887.96207502719
09/2019,26831.290704380568
10/2019,26938.302560516408
11/2019,28122.750702968497
12/2019,28298.568972761263
01/2020,28829.745115816146
02/2020,26795.583627584958
03/2020,23518.348194596572
04/2020,26187.934424420753
05/2020,26925.21226652299
06/2020,27428.275597428114
07/2020,26811.80880654963
08/2020,28441.224256281414
09/2020,28036.268571916644
10/2020,27083.74081894341
11/2020,29801.538816360604
12/2020,30329.171573628882
01/2021,30470.585062623602
02/2021,31324.708164342883
03/2021,33477.737485714286
04/2021,34013.58854990896
05/2021,34150.64967953447
06/2021,35736.16570514979
07/2021,36560.03677907662
08/2021,37833.35131147542
09/2021,36907.89901718629
10/2021,39547.08192185488
11/2021,39501.71471442401
12/2021,41243.72358643829
01/2022,39235.71433130154
02/2022,37788.792106438086
03/2022,39215.78913251058
04/2022,37720.467305502854
05/2022,36863.19186409036
06/2022,35130.61448348898
07/2022,38492.89255932536
08/2022,37130.086800000005
09/2022,34666.85806114075
10/2022,36237.94939076055
11/2022,37294.8898149576
12/2022,34634.03988936809
01/2023,36621.64002769317
02/2023,36424.38879367172
03/2023,36886.674598620695
04/2023,37160.20603405883
05/2023,38142.517238603396
06/2023,39686.43716915148
07/2023,40349.76344733739
08/2023,40278.96974604343
09/2023,39279.73760808005
10/2023,37911.51471136642
11/2023,40748.53379928644
12/2023,42365.304787330315
01/2024,43927.14700009227
02/2024,45955.75809532607
03/2024,47615.57784848765
04/2024,46034.88247247621
05/2024,47672.907851087366
06/2024,49686.81896683793
07/2024,49675.45581824899
08/2024,49738.98597817263
09/2024,50271.07687388353
10/2024,50732.261837897444
