Date,FTSE 250
03/2005,10000
04/2005,9627.075528241861
05/2005,10180.335075691102
06/2005,10615.526021068863
07/2005,10743.361117447623
08/2005,11068.121687022869
09/2005,11417.332169353846
10/2005,11160.235431938561
11/2005,12023.836923123037
12/2005,12605.714693201762
01/2006,13235.337194661775
02/2006,13696.922079362233
03/2006,13960.44575547178
04/2006,14141.122859154988
05/2006,13498.88749235539
06/2006,13588.612967766481
07/2006,13678.714404799977
08/2006,14284.071902678646
09/2006,14782.052591641317
10/2006,15578.661807062928
11/2006,15943.312525731051
12/2006,16789.365994214673
01/2007,16907.397571347035
02/2007,16600.372422531906
03/2007,17409.922042904553
04/2007,17742.232766223766
05/2007,18143.80338178871
06/2007,17467.17575908955
07/2007,17200.263127100083
08/2007,17126.20858065711
09/2007,16239.220806171106
10/2007,17248.5711936118
11/2007,15497.598787932586
12/2007,14963.71425759584
01/2008,13698.064868430327
02/2008,13614.42004767219
03/2008,13028.718292839347
04/2008,13458.05353180159
05/2008,13379.22141228652
06/2008,12133.334467069963
07/2008,11839.002364530324
08/2008,12285.453796329013
09/2008,10556.677810351175
10/2008,8487.83738107873
11/2008,7828.0935593243385
12/2008,7114.766737117928
01/2009,7530.934889774618
02/2009,7292.094546315102
03/2009,7404.038531148709
04/2009,9102.407533522914
05/2009,9377.8930674374
06/2009,9449.77972889809
07/2009,10203.935852625198
08/2009,10934.985898970248
09/2009,10948.446826199659
10/2009,10888.612680440869
11/2009,10707.090216864148
12/2009,11519.285775505916
01/2010,11738.379213541206
02/2010,11498.1861003951
03/2010,12634.550730418581
04/2010,13268.32085634301
05/2010,12574.819553798397
06/2010,12743.152106004212
07/2010,13378.288022170582
08/2010,13288.828840286124
09/2010,13678.440700306377
10/2010,14040.349952071581
11/2010,14279.537897585053
12/2010,15139.01910035649
01/2011,15163.132642283976
02/2011,15485.182608083103
03/2011,14871.436419091535
04/2011,15371.58153333978
05/2011,15747.063716901719
06/2011,15114.71947120073
07/2011,15161.450886610155
08/2011,13670.212511095626
09/2011,13183.839449550358
10/2011,14051.539166029877
11/2011,13977.795422100722
12/2011,14029.83373539852
01/2012,15096.867445534115
02/2012,15911.375314627241
03/2012,16145.42078815355
04/2012,16408.71427062593
05/2012,15479.475943199128
06/2012,15964.96882405952
07/2012,16774.3588639292
08/2012,17062.74480021257
09/2012,17522.382386422196
10/2012,17690.033608523292
11/2012,17700.322051204315
12/2012,18131.5332652074
01/2013,18208.678262515154
02/2013,19049.699635132685
03/2013,19791.426864665464
04/2013,19896.115589948604
05/2013,20329.063425847693
06/2013,19586.39608989608
07/2013,20684.82507220736
08/2013,20888.39792912766
09/2013,21788.43080774253
10/2013,22383.31834317294
11/2013,22815.729916395216
12/2013,23499.6954312928
01/2014,23483.38767042274
02/2014,24964.250502497456
03/2014,24265.320081008285
04/2014,23860.2166886895
05/2014,24445.22680938891
06/2014,24452.03282725966
07/2014,24378.33360985429
08/2014,25063.708670121952
09/2014,24700.132182557893
10/2014,24877.438804130925
11/2014,25105.346302970425
12/2014,26061.035592681394
01/2015,27403.759583975338
02/2015,29953.665884818893
03/2015,29928.986366796806
04/2015,30517.86049587641
05/2015,32733.193389164055
06/2015,31641.598505949147
07/2015,32042.079019429544
08/2015,30078.07669434255
09/2015,28939.314926210118
10/2015,30953.86032807461
11/2015,32063.5539547465
12/2015,30717.965182951368
01/2016,27549.71913485196
02/2016,27617.71034776802
03/2016,27836.05429375154
04/2016,28048.455196472787
05/2016,29456.1078259728
06/2016,25595.160949830482
07/2016,27023.200448168434
08/2016,27521.82638648154
09/2016,27402.96543173987
10/2016,25915.88733834487
11/2016,27513.60231567558
12/2016,27997.733514510895
01/2017,28137.56774305904
02/2017,29214.307805912704
03/2017,29701.22356539875
04/2017,31284.45318468824
05/2017,30897.97878552536
06/2017,29735.194679693086
07/2017,29776.330283024945
08/2017,29121.024778636405
09/2017,30526.486234359054
10/2017,31386.398815910616
11/2017,30887.53874011033
12/2017,31947.536591498047
01/2018,31741.55788006304
02/2018,30455.588306542162
03/2018,30492.103088925764
04/2018,31890.531280983232
05/2018,32875.326131225964
06/2018,32751.158183325668
07/2018,32487.475954811216
08/2018,32212.340476213587
09/2018,31956.048506235726
10/2018,29849.337542979243
11/2018,29211.425233994432
12/2018,27450.731737815033
01/2019,30199.940751983802
02/2019,31532.34480531726
03/2019,31301.902354269347
04/2019,32700.619798650278
05/2019,30564.344761045304
06/2019,31010.45079644093
07/2019,30888.78946869039
08/2019,30821.560679958817
09/2019,32365.128900518514
10/2019,33499.112251292994
11/2019,35293.364355588725
12/2019,37233.71417640375
01/2020,36470.33773225505
02/2020,32553.395166023703
03/2020,24833.351495931038
04/2020,27598.704964571767
05/2020,27578.15075660975
06/2020,27522.091407423664
07/2020,27520.18649296134
08/2020,29280.140368071032
09/2020,28019.09180834502
10/2020,28160.60518400377
11/2020,31831.085006249847
12/2020,33662.36394729661
01/2021,33772.69049213805
02/2021,35613.97077314773
03/2021,37408.88479536756
04/2021,38372.958846227535
05/2021,39281.534942267135
06/2021,38863.215565877006
07/2021,40193.508535608154
08/2021,42046.697825243566
09/2021,40152.83059295537
10/2021,41089.76911906133
11/2021,39745.93957002154
12/2021,42084.86582703042
01/2022,39583.055120761564
02/2022,36624.01495632845
03/2022,37915.06665207472
04/2022,37061.512342216294
05/2022,36523.20669243021
06/2022,33105.90012843477
07/2022,36249.32586915553
08/2022,33828.06339158216
09/2022,29139.332166709315
10/2022,32079.269603212586
11/2022,34255.41315530582
12/2022,32942.34257411702
