Date,ICE US Treasury 20+ Year Bond (EUR Hedged)
12/2004,10000
01/2005,10344.332022007056
02/2005,10212.64638362204
03/2005,10140.291865145611
04/2005,10537.81658990189
05/2005,10863.194175139824
06/2005,11081.771596963143
07/2005,10748.161067089166
08/2005,11113.562791237824
09/2005,10709.63005667667
10/2005,10477.137506765739
11/2005,10551.793931676928
12/2005,10850.461107113306
01/2006,10713.196974755758
02/2006,10842.47701722697
03/2006,10345.908102088513
04/2006,10054.976161788767
05/2006,10063.499436966129
06/2006,10159.72327351833
07/2006,10370.17144018465
08/2006,10706.747489159265
09/2006,10905.914240505674
10/2006,11004.108177159696
11/2006,11262.6267863105
12/2006,10947.638886872704
01/2007,10831.817738781318
02/2007,11215.427335449982
03/2007,11014.76745560535
04/2007,11111.696380615045
05/2007,10867.860201696774
06/2007,10753.946940019783
07/2007,11096.184434550163
08/2007,11305.30537588473
09/2007,11338.382319699549
10/2007,11522.099338668502
11/2007,12127.417779427593
12/2007,12072.545307117867
01/2008,12326.978550794365
02/2008,12288.592705652529
03/2008,12525.232834725191
04/2008,12219.867318942615
05/2008,11894.01276210108
06/2008,12199.274588404613
07/2008,12122.108878100575
08/2008,12492.19736670199
09/2008,12699.368945830542
10/2008,12466.337210628586
11/2008,14241.770684495727
12/2008,16148.848320956266
01/2009,14035.179766449817
02/2009,13818.406541561853
03/2009,14398.445487330182
04/2009,13409.787042547941
05/2009,12924.499542729398
06/2009,13044.675648940605
07/2009,13088.183754347181
08/2009,13403.835266450855
09/2009,13730.063105416946
10/2009,13392.097617423151
11/2009,13533.716707900516
12/2009,12687.009159928579
01/2010,13021.863963551074
02/2010,13031.672988268572
03/2010,12712.661937043897
04/2010,13136.710430539455
05/2010,13820.397379559483
06/2010,14581.727010487157
07/2010,14490.563220512266
08/2010,15665.385755968884
09/2010,15309.481988100595
10/2010,14600.764398839507
11/2010,14416.259339829823
12/2010,13879.873664738736
01/2011,13456.115501784496
02/2011,13657.024236378831
03/2011,13664.717995723846
04/2011,13934.559495986183
05/2011,14448.465292020679
06/2011,14120.018498203059
07/2011,14767.186012704033
08/2011,16235.491249644863
09/2011,18245.781393545123
10/2011,17434.183103177253
11/2011,17966.068654877865
12/2011,18585.654767953314
01/2012,18512.263354686453
02/2012,18091.989158228072
03/2012,17340.32338674724
04/2012,18138.2554037772
05/2012,19671.65689566143
06/2012,19390.533980079177
07/2012,20104.042023272068
08/2012,19846.06259941229
09/2012,19380.206507966464
10/2012,19363.242909194974
11/2012,19630.015200877628
12/2012,19216.874840577424
01/2013,18465.686040700195
02/2013,18698.738513797958
03/2013,18657.09681901416
04/2013,19488.89381989967
05/2013,18156.89877210919
06/2013,17579.410587525323
07/2013,17194.224910775203
08/2013,17075.168650937663
09/2013,17094.537845622956
10/2013,17335.615884398674
11/2013,16878.324543921826
12/2013,16542.142514967578
01/2014,17526.342312150955
02/2014,17680.984801196162
03/2014,17820.88264632141
04/2014,18209.98778537937
05/2014,18759.3968590383
06/2014,18719.911905418605
07/2014,18851.784184865897
08/2014,19674.767580032727
09/2014,19282.59323239508
10/2014,19838.389577963084
11/2014,20420.14976908353
12/2014,21075.4465387415
01/2015,23086.0684889747
02/2015,21693.37362015226
03/2015,21962.406342478054
04/2015,21233.655945865798
05/2015,20837.416970649658
06/2015,19978.577753629652
07/2015,20713.25918844319
08/2015,20726.365538594262
09/2015,21033.36934814572
10/2015,20925.05531833707
11/2015,20743.204709990896
12/2015,20737.895808663878
01/2016,21826.282794389983
02/2016,22513.72330255138
03/2016,22500.24367027575
04/2016,22373.47291319739
05/2016,22576.289534206124
06/2016,24074.581768486278
07/2016,24604.12393796051
08/2016,24370.034570072312
09/2016,23940.967505791057
10/2016,22920.45565304671
11/2016,21155.743671312648
12/2016,21038.159802077524
01/2017,21120.489248437916
02/2017,21463.224452467704
03/2017,21336.412219597725
04/2017,21672.200228531612
05/2017,22121.42452753889
06/2017,22227.996574099612
07/2017,22070.865537557365
08/2017,22867.636232422043
09/2017,22353.8756016582
10/2017,22343.340750587402
11/2017,22519.923933398175
12/2017,22930.306153555823
01/2018,22168.831357357496
02/2018,21484.646698838056
03/2018,22159.706683201683
04/2018,21722.34446059696
05/2018,22199.108685238145
06/2018,22250.040957344223
07/2018,21899.13502236582
08/2018,22252.73688379935
09/2018,21573.65374764884
10/2018,20885.674054196417
11/2018,21279.901453519116
12/2018,22476.35361430417
01/2019,22615.256040430602
02/2019,22336.808313407673
03/2019,23537.69838389578
04/2019,23098.635653834746
05/2019,24661.464219871465
06/2019,24979.355424722475
07/2019,25023.36123962846
08/2019,27749.482071052178
09/2019,27013.86743092725
10/2019,26765.73850757659
11/2019,26636.47920300119
12/2019,25868.554921206363
01/2020,27697.01519465626
02/2020,29602.578964722765
03/2020,31685.30657868269
04/2020,32056.556389449386
05/2020,31404.287352579482
06/2020,31463.78437565454
07/2020,32851.77174212841
08/2020,31350.7006298099
09/2020,31513.659015074376
10/2020,30538.43872677615
11/2020,30929.182159602995
12/2020,30541.61162483488
