Date,JPX-Nikkei 400 Daily (EUR Hedged)
01/2015,10000
02/2015,10770.596435610749
03/2015,11005.452691551973
04/2015,11315.581716335748
05/2015,11855.188726654202
06/2015,11555.401939399704
07/2015,11747.508234277766
08/2015,10841.710827049093
09/2015,9960.242229319936
10/2015,11045.348563326641
11/2015,11234.385944991265
12/2015,11034.346509456473
01/2016,10212.123281312697
02/2016,9258.780736124867
03/2016,9650.397079008404
04/2016,9618.764256060911
05/2016,9879.453088976234
06/2016,8865.200288784734
07/2016,9358.167490541993
08/2016,9428.637410205518
09/2016,9404.92238334869
10/2016,9907.970965012088
11/2016,10431.182306487759
12/2016,10779.887570364426
01/2017,10804.899213053928
02/2017,10888.703560629832
03/2017,10789.669731232252
04/2017,10923.221161997953
05/2017,11141.021932755508
06/2017,11447.867220400907
07/2017,11475.48743932183
08/2017,11422.648426069496
09/2017,11860.628375325017
10/2017,12539.134397683583
11/2017,12731.033540919738
12/2017,12898.826370864354
01/2018,13035.408353428318
02/2018,12497.980271491408
03/2018,12245.201562383716
04/2018,12667.085061834765
05/2018,12443.14646465034
06/2018,12350.77984920895
07/2018,12496.599260545361
08/2018,12359.3114279423
09/2018,13049.226135171817
10/2018,11785.593447256506
11/2018,11912.884295066799
12/2018,10708.25913596283
01/2019,11260.241538814464
02/2019,11528.855840103484
03/2019,11556.153823136996
04/2019,11732.355475286426
05/2019,10953.603402810972
06/2019,11266.149196750328
07/2019,11346.140419658537
08/2019,10983.310482717032
09/2019,11644.883776420465
10/2019,12216.438173290788
11/2019,12435.09056746507
12/2019,12615.3124959241
01/2020,12373.251966214335
02/2020,11121.588039831424
03/2020,10395.030508833483
04/2020,10858.827690497033
05/2020,11621.506330017117
06/2020,11610.005577749766
07/2020,11161.77545836137
08/2020,12069.107322196758
09/2020,12166.253769968076
10/2020,11814.395197764603
11/2020,13235.770024850524
12/2020,13565.877674653766
01/2021,13618.333073754424
02/2021,13996.584299593445
03/2021,14715.17800080252
04/2021,14284.939385127893
05/2021,14522.465595564807
06/2021,14634.580667534658
07/2021,14248.60345268081
08/2021,14747.83123739348
09/2021,15383.17299540507
10/2021,15164.198365343376
11/2021,14614.79384959103
12/2021,15110.99108250543
01/2022,14338.85251800493
02/2022,14242.665105612812
03/2022,14835.73258410932
04/2022,14476.999646307751
05/2022,14587.779741029759
06/2022,14242.987341500222
07/2022,14802.933574140723
08/2022,14989.715304593474
09/2022,14120.22314067975
10/2022,14844.785878088956
11/2022,15378.170666867169
12/2022,14671.062373359378
01/2023,15359.181766359034
02/2023,15537.523985474834
03/2023,15810.657261470638
04/2023,16245.852171984965
05/2023,17018.27461095771
06/2023,18300.527929795542
07/2023,18609.0994811235
08/2023,18707.396771349853
09/2023,18769.47321337463
10/2023,18206.542462634065
11/2023,19404.508080064876
12/2023,19438.419571073344
01/2024,21007.80041016025
02/2024,22079.365164612667
