Date,STOXX Europe 600 Health Care
05/2007,143940.66749072928
06/2007,140697.15698393076
07/2007,136830.65512978984
08/2007,135985.14215080344
09/2007,134195.30284301608
10/2007,130927.07045735476
11/2007,134173.05315203956
12/2007,128326.32880098886
01/2008,119567.3671199011
02/2008,116852.90482076637
03/2008,111876.39060568603
04/2008,113995.05562422743
05/2008,115310.25957972805
06/2008,114662.54635352286
07/2008,119122.37330037082
08/2008,122964.15327564895
09/2008,117347.34239802224
10/2008,120487.02101359703
11/2008,109868.97404202718
12/2008,108249.6909765142
01/2009,108506.79851668727
02/2009,96808.38071693448
03/2009,98922.12608158219
04/2009,99772.5587144623
05/2009,101589.61681087762
06/2009,103572.31149567367
07/2009,112882.57107540172
08/2009,114430.1606922126
09/2009,116484.54882571075
10/2009,116558.71446229913
11/2009,118538.93695920889
12/2009,126479.60444993818
01/2010,127601.97775030902
02/2010,129438.81334981458
03/2010,132974.04202719405
04/2010,130410.38318912237
05/2010,127987.63906056859
06/2010,133072.92954264523
07/2010,126044.49938195302
08/2010,133312.73176761434
09/2010,133473.4239802225
10/2010,134101.35970333745
11/2010,134076.63782447466
12/2010,138004.94437577255
01/2011,135789.86402966623
02/2011,139987.6390605686
03/2011,134711.99011124845
04/2011,142264.52410383188
05/2011,152954.2645241038
06/2011,147644.00494437577
07/2011,151211.37206427686
08/2011,142699.62917181704
09/2011,143809.64153275648
10/2011,146301.60692212608
11/2011,147831.891223733
12/2011,159097.65142150802
01/2012,156907.29295426453
02/2012,158462.29913473423
03/2012,161426.45241038318
04/2012,165211.37206427686
05/2012,163310.25957972804
06/2012,171171.8170580964
07/2012,182927.07045735477
08/2012,180872.6823238566
09/2012,182479.6044499382
10/2012,180778.73918417798
11/2012,182150.80346106304
12/2012,183765.14215080344
01/2013,190511.74289245982
02/2013,197834.36341161927
03/2013,209475.89616810877
04/2013,215589.6168108776
05/2013,216313.96786155747
06/2013,210627.93572311493
07/2013,212655.129789864
08/2013,211060.56860321382
09/2013,215295.42645241038
10/2013,220830.65512978984
11/2013,226145.85908529046
12/2013,226988.87515451174
01/2014,230088.99876390604
02/2014,246254.63535228674
03/2014,241572.31149567367
04/2014,248647.71322620517
05/2014,252415.32756489492
06/2014,259085.2904820766
07/2014,258192.83065512983
08/2014,267117.42892459827
09/2014,280852.90482076636
10/2014,271011.12484548823
11/2014,281453.6464771322
12/2014,274627.91100123606
01/2015,301730.53152039554
02/2015,318576.0197775031
03/2015,332991.347342398
04/2015,330348.57849196537
05/2015,335982.69468479604
06/2015,319369.59208899876
07/2015,343965.38936959207
08/2015,317391.8417799753
09/2015,305208.8998763906
10/2015,322150.803461063
11/2015,327713.2262051916
12/2015,321396.78615574783
01/2016,299710.75401730527
02/2016,290768.85043263284
03/2016,284143.36217552534
04/2016,292318.91223733
05/2016,307831.89122373296
06/2016,310702.1013597033
07/2016,317733.0037082818
08/2016,300716.934487021
09/2016,298284.3016069221
10/2016,279372.064276885
11/2016,282395.55006180465
12/2016,295604.4499381953
01/2017,292217.55253399257
02/2017,312820.74165636586
03/2017,317995.05562422745
04/2017,322499.3819530284
05/2017,333040.7911001236
06/2017,322210.1359703337
07/2017,310173.05315203953
08/2017,309775.0309023486
09/2017,318257.10754017305
10/2017,313490.72929542646
11/2017,307700.86526576016
12/2017,308482.0766378245
01/2018,308098.8875154512
02/2018,293426.45241038315
03/2018,293399.2583436341
04/2018,300143.38689740415
05/2018,309639.06056860316
06/2018,311787.3918417799
07/2018,331540.17305315204
08/2018,329166.87268232385
09/2018,328635.3522867738
10/2018,320689.74042027193
11/2018,326768.85043263284
12/2018,307265.76019777503
01/2019,318215.08034610626
02/2019,334479.60444993817
03/2019,346573.54758961685
04/2019,340828.18294190353
05/2019,335999.9752781211
06/2019,354944.3757725587
07/2019,362123.60939431394
08/2019,371792.3362175525
09/2019,376237.33003708284
10/2019,381310.259579728
11/2019,395488.25710754015
12/2019,403302.81829419034
01/2020,409911.0012360939
02/2020,383391.8417799753
03/2020,371248.45488257107
04/2020,406746.6007416563
05/2020,415087.7626699629
06/2020,412998.7639060568
07/2020,402163.1644004944
08/2020,399354.7589616811
09/2020,404462.2991347342
10/2020,374388.13349814585
11/2020,397485.78491965384
12/2020,397606.92212608154
01/2021,399011.12484548823
02/2021,388185.41409147094
03/2021,404961.68108776264
04/2021,414897.4042027194
05/2021,423295.42645241035
06/2021,451579.72805933247
07/2021,462613.1025957973
08/2021,478410.38318912237
09/2021,458135.97033374535
10/2021,481221.260815822
11/2021,471320.1483312732
12/2021,499050.6798516687
01/2022,466121.13720642764
02/2022,466969.0976514215
03/2022,495822.00247218786
04/2022,502951.79233621754
05/2022,486254.63535228674
06/2022,473515.4511742892
07/2022,494625.4635352286
08/2022,459021.01359703334
09/2022,438402.9666254635
10/2022,461822.00247218786
11/2022,476526.57601977745
12/2022,468079.1100123609
01/2023,468838.07169344864
02/2023,470375.77255871444
03/2023,488865.2657601977
04/2023,511920.86526576016
05/2023,505579.72805933247
06/2023,501891.22373300366
07/2023,510531.52039555
08/2023,512862.7935723116
09/2023,506828.18294190353
10/2023,480269.4684796044
11/2023,492187.8862793572
12/2023,507322.6205191594
01/2024,526032.1384425216
02/2024,528684.7960444994
03/2024,548707.0457354758
04/2024,553483.3127317675
05/2024,568556.2422744128
06/2024,584499.3819530284
07/2024,598739.1841779975
08/2024,623606.8974042027
09/2024,583325.0927070457
