Date,MSCI Emerging Markets Latin America
05/2008,805297.0350270828
06/2008,731557.0872621163
07/2008,675234.4135929793
08/2008,656223.386671191
09/2008,543668.2324966791
10/2008,416980.99203574506
11/2008,390951.5292370551
12/2008,368964.89010562625
01/2009,399759.9626404494
02/2009,384009.3687598861
03/2009,404896.5266456267
04/2009,476745.71742372884
05/2009,541731.2215633423
06/2009,528379.2565445026
07/2009,575981.0271749895
08/2009,582787.6304932735
09/2009,636352.9210817456
10/2009,640121.4000000001
11/2009,683860.2154962393
12/2009,727832.501457726
01/2010,684166.4256336818
02/2010,733714.1684303611
03/2010,790863.5467171156
04/2010,797946.6045061961
05/2010,789114.6267652557
06/2010,764972.3001548366
07/2010,806444.3347405588
08/2010,810492.4922082019
09/2010,832175.9203399764
10/2010,846048.9786533881
11/2010,871280.665563933
12/2010,901521.7388863942
01/2011,840794.9930324276
02/2011,848537.5053057686
03/2011,855849.2418244526
04/2011,822442.3019515479
05/2011,827022.5122836289
06/2011,820414.7749671348
07/2011,803292.7801683029
08/2011,750301.3720276816
09/2011,662884.2366585202
10/2011,751332.4475251769
11/2011,737347.6746609033
12/2011,752751.0475770924
01/2012,832603.8122950819
02/2012,858159.30100424
03/2012,836082.3529649597
04/2012,813666.2770243682
05/2012,753292.4261549625
06/2012,770943.090595711
07/2012,800735.1072289157
08/2012,775906.334454048
09/2012,786001.1058932715
10/2012,779160.4326483493
11/2012,766802.1925458186
12/2012,803885.5830832196
01/2013,812125.1283542436
02/2013,815094.0755426916
03/2013,835938.7548613823
04/2013,816877.3630813953
05/2013,764607.6855297555
06/2013,691910.1749999999
07/2013,674893.7263728814
08/2013,655814.7993502078
09/2013,697890.7282191782
10/2013,724128.559093908
11/2013,693520.3618690765
12/2013,667919.2448118338
01/2014,617136.9656111276
02/2014,615070.4211829436
03/2014,670673.5637075718
04/2014,686119.4320288809
05/2014,698104.1709855221
06/2014,724363.9527895739
07/2014,747280.4141415651
08/2014,818474.018789809
09/2014,743471.0222522451
10/2014,746164.8735867136
11/2014,714262.597260274
12/2014,667427.1577464789
01/2015,672525.792605042
02/2015,705056.9004448398
03/2015,681671.0623292126
04/2015,721470.03841284
05/2015,685843.2241203281
06/2015,679152.2470462063
07/2015,635058.5339108233
08/2015,555811.5203566651
09/2015,513798.484370258
10/2015,554399.1108650268
11/2015,553292.471859344
12/2015,514920.3989528796
01/2016,489841.6704395604
02/2016,509901.460525349
03/2016,587075.2444268775
04/2016,621264.4593528018
05/2016,566739.6919849381
06/2016,634643.2358674112
07/2016,669062.9707369747
08/2016,672689.0043837586
09/2016,665464.0075441268
10/2016,746068.3258541933
11/2016,686545.4768970382
12/2016,699181.098055213
01/2017,737521.7121338912
02/2017,775442.7800887043
03/2017,773010.0281171079
04/2017,756460.6351509608
05/2017,719771.8345601995
06/2017,712488.9476340695
07/2017,750866.1531849577
08/2017,779238.2424862579
09/2017,792846.8417584279
10/2017,775410.3289224952
11/2017,738850.8166596337
12/2017,762964.6631701825
01/2018,831265.3043268843
02/2018,817511.2866710332
03/2018,802881.1513513515
04/2018,808766.9116317576
05/2018,718051.1705103
06/2018,698647.0080802883
07/2018,758128.3542944785
08/2018,700034.4634966955
09/2018,737751.9207843815
10/2018,780709.649814455
11/2018,761031.9908794789
12/2018,749348.88209607
01/2019,858630.5169568245
02/2019,832143.045935529
03/2019,824310.6185847798
04/2019,829333.2109645214
05/2019,817894.37094431
06/2019,850978.1641476275
07/2019,869646.0648910411
08/2019,807438.8291591156
09/2019,839857.3336210855
10/2019,856454.1224314148
11/2019,834181.9380622836
12/2019,900387.7442585009
01/2020,864035.3169381107
02/2020,765173.5582399563
03/2020,502462.6665936474
04/2020,538195.3531997058
05/2020,559887.4567887931
06/2020,586094.9044115021
07/2020,614641.4560938556
08/2020,572109.8077386934
09/2020,553660.2713358386
10/2020,547898.6208069756
11/2020,652140.790166945
12/2020,712743.175535816
01/2021,672290.775
02/2021,653078.6714132498
03/2021,706598.6045373133
04/2021,711259.5343155108
05/2021,760859.164396361
06/2021,802336.8577583306
07/2021,769412.6837271886
08/2021,779728.5946087545
09/2021,714685.7676137836
10/2021,673203.5578016315
11/2021,669739.4818621841
12/2021,712510.6974395197
01/2022,776789.8820544999
02/2022,811268.0639164213
03/2022,925652.467885776
04/2022,848754.9242504743
05/2022,903920.9435452254
06/2022,774266.3052084337
07/2022,822260.5928613454
08/2022,862080.9561
09/2022,855701.6964300368
10/2022,922864.8738349809
11/2022,886469.6527563607
12/2022,828569.707087943
01/2023,896586.4202160067
02/2023,858060.3637630661
03/2023,845477.4463448277
04/2023,860044.937583098
05/2023,877548.2075821399
06/2023,967217.2124792932
07/2023,1002741.5086092715
08/2023,943595.6695804194
09/2023,945049.9030743674
10/2023,901428.7779061764
11/2023,995475.743459522
12/2023,1064759.5820640381
01/2024,1030843.7995670466
02/2024,1033050.6282923636
03/2024,1045932.9419793172
04/2024,1019417.6792574563
05/2024,972529.4284364202
06/2024,925360.9142870355
07/2024,925990.0368632581
08/2024,928500.647517904
09/2024,921925.2386604982
10/2024,898980.8835208113
