Date,MSCI Australia
01/2010,10000
02/2010,10639.89373909882
03/2010,11603.420323067476
04/2010,11680.34638250858
05/2010,10526.28367596057
06/2010,10325.56209539125
07/2010,10910.901416595569
08/2010,10864.475993570093
09/2010,11476.223228488852
10/2010,11627.09050845773
11/2010,11966.09232563952
12/2010,12870.553132821755
01/2011,12273.792507222595
02/2011,12704.963207269011
03/2011,12643.18853045793
04/2011,12785.237036317
05/2011,12544.387809486849
06/2011,12353.342371544572
07/2011,12245.358641327206
08/2011,11550.325385057455
09/2011,10553.343672956595
10/2011,11909.267808726841
11/2011,11593.86288357237
12/2011,11835.31503625512
01/2012,12647.706614443026
02/2012,12770.49435761257
03/2012,12491.639160295428
04/2012,12870.903544665249
05/2012,11939.518672939292
06/2012,12579.724602865477
07/2012,13853.26359254377
08/2012,13518.642303815082
09/2012,13531.540145661287
10/2012,13822.010865922844
11/2012,13986.890399477546
12/2012,14168.069906835273
01/2013,14555.417966448342
02/2013,15608.455996565766
03/2013,15921.010527631444
04/2013,16324.20948830981
05/2013,14421.80747553422
06/2013,13415.361441915
07/2013,13591.877238796755
08/2013,13841.514272883467
09/2013,14544.920131990033
10/2013,15201.454411110413
11/2013,14564.522742793783
12/2013,14119.142481082363
01/2014,13625.202706402139
02/2014,14361.829063723248
03/2014,14958.415351097286
04/2014,15169.890727804785
05/2014,15610.550584964689
06/2014,15519.372273875522
07/2014,16296.363209538933
08/2014,16703.454788283325
09/2014,15508.866852917477
10/2014,16404.745865563695
11/2014,15423.604046661507
12/2014,15490.368291089426
01/2015,16340.412078007937
02/2015,17690.661240097095
03/2015,18020.825313956575
04/2015,17489.121142303797
05/2015,17387.18139933803
06/2015,16256.33778104743
07/2015,16550.259114343065
08/2015,14335.956023321523
09/2015,13747.73190914924
10/2015,14795.967729957782
11/2015,15536.625261634636
12/2015,15555.262710297375
01/2016,14185.784394523482
02/2016,14094.406159674778
03/2016,15186.948827803732
04/2016,15596.50691809441
05/2016,15563.042882583937
06/2016,15645.818573233955
07/2016,16906.28548185343
08/2016,16435.50850207754
09/2016,16794.77231797448
10/2016,16760.80274271067
11/2016,17312.95300794468
12/2016,17905.1164617691
01/2017,18297.543012791946
02/2017,19266.996620970946
03/2017,19591.724613753304
04/2017,19029.192299749062
05/2017,17807.092400281257
06/2017,18010.204271878818
07/2017,18305.8006804696
08/2017,18115.236898985735
09/2017,17955.13061979762
10/2017,18473.11492901657
11/2017,18238.186812804666
12/2017,18874.496374376984
01/2018,18708.34913698153
02/2018,18417.966603786368
03/2018,17241.380421611484
04/2018,18016.933706227388
05/2018,18868.998872397373
06/2018,19169.436212361165
07/2018,19465.12120590862
08/2018,19258.64270601911
09/2018,19124.551519503868
10/2018,18078.31658815744
11/2018,18125.664989869627
12/2018,17398.739938363717
01/2019,18590.899186236824
02/2019,19335.51126126121
03/2019,19751.85419426856
04/2019,20019.831332541347
05/2019,20285.9605623417
06/2019,20923.42256198043
07/2019,21486.798336664804
08/2019,20770.539982453236
09/2019,21562.834259249037
10/2019,21418.194911951752
11/2019,21972.971008289434
12/2019,21797.907295606896
01/2020,22176.84682051805
02/2020,19872.718378769212
03/2020,14920.221969131992
04/2020,17328.007124667973
05/2020,17695.69092466204
06/2020,18817.289574072973
07/2020,18582.149193094374
08/2020,19471.648777089064
09/2020,18505.910499849262
10/2020,18525.60169967558
11/2020,20963.55319677316
12/2020,21697.995043293435
01/2021,21948.584637242853
02/2021,22555.657563133565
03/2021,23482.771916573598
04/2021,23913.165523324136
05/2021,24448.80079085745
06/2021,24759.31937895079
07/2021,24418.601087082792
08/2021,24891.580444303985
09/2021,24641.530272099215
10/2021,25462.702311659064
11/2021,24392.553367397202
12/2021,25720.904971003776
01/2022,23825.563836823185
02/2022,25121.923786274543
03/2022,28145.30427048418
04/2022,27903.170215643255
05/2022,27153.723574129453
06/2022,24631.039019938384
07/2022,26731.763121113516
08/2022,26978.949581389577
09/2022,24477.79061174374
10/2022,25331.410212002727
11/2022,27150.175105931183
12/2022,25877.835675611885
01/2023,28204.85544862275
02/2023,26882.44523486202
03/2023,26088.67381006426
04/2023,25889.28676617831
05/2023,25341.92901576198
06/2023,26180.862494100238
07/2023,26839.43132233993
08/2023,26044.96893934075
09/2023,25955.37644866795
10/2023,24561.328417440505
11/2023,26213.80309817746
12/2023,28673.352246409046
01/2024,28778.546532982862
02/2024,28643.66243807449
03/2024,29540.40751965726
04/2024,28675.61154736175
05/2024,29328.05814096152
06/2024,30316.304207443074
07/2024,30471.733842293674
08/2024,31037.428154005906
09/2024,32327.3699478014
10/2024,30940.036956234686
