Date,Bloomberg Barclays Euro Treasury 50bn 25+ Year Bond
03/2015,10000
04/2015,9447.414052971748
05/2015,8939.655243937183
06/2015,8104.278614670251
07/2015,8683.212155237024
08/2015,8329.044854793705
09/2015,8635.011020799857
10/2015,8893.9486544115
11/2015,8798.431368210868
12/2015,8536.913456991224
01/2016,9103.108778198448
02/2016,9446.683942265943
03/2016,9611.31837528243
04/2016,9142.451789186063
05/2016,9484.829461073206
06/2016,10457.09355096532
07/2016,10713.489624960936
08/2016,10498.106966749536
09/2016,10515.225850343888
10/2016,9781.13272251091
11/2016,9318.159567907205
12/2016,9361.24439626205
01/2017,8761.878818216255
02/2017,9058.135064949423
03/2017,8880.046129721855
04/2017,8968.845844314945
05/2017,9051.956779658667
06/2017,8955.87255143269
07/2017,8975.889753283409
08/2017,9199.126632723885
09/2017,9023.806033922485
10/2017,9282.19331893392
11/2017,9428.62476458077
12/2017,9213.455055325234
01/2018,9286.316785079187
02/2018,9345.577437366726
03/2018,9742.779785889501
04/2018,9622.270035869447
05/2018,9500.792336050039
06/2018,9606.981960181303
07/2018,9532.742976141406
08/2018,9472.815821277736
09/2018,9413.380938026306
10/2018,9398.549181529286
11/2018,9442.953187182111
12/2018,9614.897023969186
01/2019,9900.027379151456
02/2019,9762.899313861859
03/2019,10273.503895306538
04/2019,10233.34780648746
05/2019,10639.391685034652
06/2019,11407.58983265529
07/2019,11920.96828166784
08/2019,12957.526362804148
09/2019,12783.505582304737
10/2019,12355.948328074102
11/2019,12106.383214091098
12/2019,11675.104965330533
01/2020,12617.068357042755
02/2020,12972.812642294037
03/2020,11988.596542620946
04/2020,12438.3988982989
05/2020,12345.627635531375
06/2020,12619.727759538318
07/2020,13042.719099165151
08/2020,12667.930060558532
09/2020,13280.12249651602
10/2020,13660.250525331974
11/2020,13688.812609060446
12/2020,13725.297390925612
01/2021,13421.696570544696
02/2021,12602.89833387855
03/2021,12472.75918595037
04/2021,12035.572591636585
05/2021,12012.304081376507
06/2021,12182.107183033628
07/2021,12906.206468595818
08/2021,12667.970430994914
09/2021,12227.236284585519
10/2021,12414.328025616096
11/2021,12866.724181830514
12/2021,12193.25684162331
01/2022,11924.442171382423
02/2022,11311.212767171224
03/2022,10827.224038294671
04/2022,9591.546790553104
05/2022,8971.136241439619
06/2022,8440.475041309088
07/2022,9544.522238571233
08/2022,8335.555690878955
09/2022,7591.465898688251
10/2022,7574.00023198759
11/2022,8355.426578123368
12/2022,7158.2418415052925
01/2023,7649.77055806127
02/2023,7107.050000059421
03/2023,7465.67911662295
04/2023,7371.776103200591
05/2023,7358.386741077541
06/2023,7509.961253934124
07/2023,7281.717264307353
08/2023,7260.299230289757
09/2023,6600.484655908031
10/2023,6516.224526552195
11/2023,7159.123834763454
12/2023,7908.637850167701
01/2024,7718.003823312667
02/2024,7587.189760416752
03/2024,7755.654711621225
04/2024,7446.9112508133285
05/2024,7362.289856453763
06/2024,7303.272759684106
07/2024,7667.15558480163
08/2024,7660.149445770697
09/2024,7762.136438594804
