Date,S&P 500 Leverage 2x Daily
01/2014,10000
02/2014,10670.187373548724
03/2014,10850.245598644487
04/2014,10938.213792277793
05/2014,11638.351982745022
06/2014,12063.175557924793
07/2014,11955.574546100552
08/2014,13092.64909649527
09/2014,13317.046495193035
10/2014,13988.968466786602
11/2014,14776.167139531344
12/2014,15069.399431150789
01/2015,15181.610345184416
02/2015,17034.753213156764
03/2015,17189.666310660272
04/2015,16786.579396629502
05/2015,17563.71883203161
06/2015,16523.52176916473
07/2015,17537.065380564243
08/2015,15029.608412690586
09/2015,14235.201604835205
10/2015,16978.959871986677
11/2015,17739.310102044863
12/2015,16629.29238616767
01/2016,14895.01178251051
02/2016,14830.077751827277
03/2016,16130.09703530554
04/2016,16199.987186546625
05/2016,17112.583694479446
06/2016,17207.943442579843
07/2016,18453.586890092913
08/2016,18432.599621980564
09/2016,18338.37993278277
10/2016,17996.24966632825
11/2016,19861.399138481585
12/2016,20798.687184352944
01/2017,21131.80737361046
02/2017,23132.666539219856
03/2017,22932.363594496124
04/2017,22852.711738591683
05/2017,22826.16094134935
06/2017,22675.683643050867
07/2017,22937.939778467196
08/2017,22812.477007443023
09/2017,23754.423830404903
10/2017,25186.164279538763
11/2017,26203.547943669124
12/2017,26413.26459929658
01/2018,28348.247262868987
02/2018,26605.25237098275
03/2018,24916.29223312429
04/2018,25493.801865618178
05/2018,27499.031624223717
06/2018,27856.02294519311
07/2018,29678.069908927464
08/2018,31764.26323136717
09/2018,32252.19914620355
10/2018,28421.41291209211
11/2018,29304.716411461963
12/2018,23826.902652296296
01/2019,27546.208674533988
02/2019,29417.846148532644
03/2019,30943.390315124278
04/2019,33444.64018472158
05/2019,29347.429392883343
06/2019,32830.180521041526
07/2019,34354.22218371006
08/2019,33368.305613706034
09/2019,34982.671319717825
10/2019,35511.66514835304
11/2019,38623.3671335732
12/2019,39958.72063450456
01/2020,40455.18561175787
02/2020,34046.053080050995
03/2020,24211.53119068967
04/2020,30596.386213656355
05/2020,32617.631196727252
06/2020,33451.31797290607
07/2020,35197.660941377515
08/2020,40054.64211636689
09/2020,37581.70181776451
10/2020,35480.272905017155
11/2020,42494.41504370765
12/2020,44670.748188964324
01/2021,44135.52980010869
02/2021,46547.16179029349
03/2021,52254.48960061326
04/2021,56175.03764217655
05/2021,56268.70265205061
06/2021,60417.95136725034
07/2021,63172.65779097397
08/2021,67295.00488516176
09/2021,62394.29002499786
10/2021,70916.6853985698
11/2021,71510.51430075902
12/2021,78065.72426823364
01/2022,71024.00386414313
02/2022,66268.24657056369
03/2022,71503.59471904064
04/2022,62381.48020214161
05/2022,61009.3723571597
06/2022,52478.19821304897
07/2022,63445.869872315794
08/2022,59141.77874478123
09/2022,49607.5797444991
10/2022,56451.15234491047
11/2022,59514.47015783473
12/2022,51056.745886066645
01/2023,56406.24138015818
02/2023,54421.01336394329
03/2023,56667.37983236752
04/2023,57577.12025839621
05/2023,59276.883650004
06/2023,65832.75287873052
07/2023,68752.2650990434
08/2023,67058.21025349609
09/2023,62015.39561871032
10/2023,58880.45960605219
11/2023,67654.28910262386
12/2023,72722.55729447368
01/2024,76174.76719942025
02/2024,84065.25816665961
03/2024,89185.52993514462
04/2024,82186.0108764232
05/2024,88858.76604745742
06/2024,96157.60866006708
07/2024,96696.70411479982
08/2024,98232.85255388226
09/2024,100805.29205328572
