Date,iBoxx $ Liquid High Yield Capped
09/2011,10000
10/2011,10355.767082133923
11/2011,10481.227163866373
12/2011,11260.35055383651
01/2012,11387.835175653827
02/2012,11417.4046462111
03/2012,11414.761524283695
04/2012,11663.824576010395
05/2012,12162.130137068907
06/2012,12261.26882256937
07/2012,12804.05641283744
08/2012,12595.588936880877
09/2012,12418.629440930801
10/2012,12462.375045870716
11/2012,12539.05734898521
12/2012,12556.327768971749
01/2013,12349.511422634196
02/2013,12756.386629838522
03/2013,13202.696032885486
04/2013,13200.17943718606
05/2013,13142.455273604655
06/2013,12695.455723752657
07/2013,12777.256139371932
08/2013,12695.195331197025
09/2013,12571.805105778993
10/2013,12772.020564023614
11/2013,12819.483966962061
12/2013,12708.250097217464
01/2014,13039.554482606965
02/2014,13023.45413938761
03/2014,13046.51751254307
04/2014,13055.504648942659
05/2014,13408.67160738608
06/2014,13470.460236110383
07/2014,13527.2504548339
08/2014,13943.624554912536
09/2014,14268.437103641581
10/2014,14574.291662805592
11/2014,14464.22361301092
12/2014,14712.155213348438
01/2015,15933.464989640288
02/2015,16375.184690667375
03/2015,16962.220093169457
04/2015,16432.59343223654
05/2015,16819.572913377073
06/2015,16199.138292584938
07/2015,16437.68859444644
08/2015,15791.140698965435
09/2015,15309.720832210616
10/2015,16114.767759000126
11/2015,16356.338031784877
12/2015,15472.334515060267
01/2016,15221.605844830096
02/2016,15434.453379406192
03/2016,15339.466596119444
04/2016,15826.277586123053
05/2016,16253.783982110297
06/2016,16502.28622374392
07/2016,16861.562570309765
08/2016,17175.621056752756
09/2016,17237.884656242168
10/2016,17576.268364703217
11/2016,18017.229802339916
12/2016,18512.400849142363
01/2017,18349.43172288027
02/2017,18891.53991277981
03/2017,18684.880615641334
04/2017,18459.9442723185
05/2017,18139.558360999174
06/2017,17847.795764152335
07/2017,17542.061871202328
08/2017,17366.46768673857
09/2017,17531.608930178627
10/2017,17835.439680010855
11/2017,17450.07297333705
12/2017,17254.885750828278
01/2018,16709.713732625016
02/2018,16894.755594885602
03/2018,16668.24477037568
04/2018,17126.662120295292
05/2018,17732.11285364161
06/2018,17851.148736390205
07/2018,17932.981943655774
08/2018,18209.643125292747
09/2018,18418.868775417915
10/2018,18540.837328684167
11/2018,18394.648819445425
12/2018,17872.70341197243
01/2019,18644.098093076103
02/2019,19044.17337297785
03/2019,19530.256998888635
04/2019,19765.093430559224
05/2019,19624.5476304447
06/2019,19689.843026748757
07/2019,20191.854031502455
08/2019,20490.11548712707
09/2019,20786.180871977518
10/2019,20394.844865205418
11/2019,20817.694960922257
12/2019,20697.656886678647
01/2020,20963.75658566256
02/2020,20749.056507495676
03/2020,18606.820099843488
04/2020,19481.006121522783
05/2020,19878.935297694974
06/2020,19783.88535728696
07/2020,19587.96542053616
08/2020,19610.82849606546
09/2020,19676.014736550424
10/2020,19769.85373195247
11/2020,20060.290240463557
12/2020,19920.025056049406
01/2021,20213.169843487092
02/2021,20266.283212960963
03/2021,21018.72862094819
04/2021,20611.94043454199
05/2021,20473.679267979114
06/2021,21270.035714460624
07/2021,21317.812154464096
08/2021,21559.791627620318
09/2021,22002.773664795262
10/2021,21835.576421000427
11/2021,22131.047179252007
12/2021,22607.565582528758
01/2022,22311.705601556052
02/2022,22106.219360725794
03/2022,22118.254865469036
04/2022,22455.35982553246
05/2022,22444.45554784553
06/2022,21636.835060205816
07/2022,23497.82484381976
08/2022,23188.75294002597
09/2022,22982.813122518823
10/2022,23302.786849945347
11/2022,22705.73760482616
12/2022,21900.993626124684
01/2023,22294.47018223952
02/2023,22393.590004330385
03/2023,22139.341105783675
04/2023,22067.372044256343
05/2023,22415.663104801977
06/2023,22356.36598279934
07/2023,22334.166801566535
08/2023,22695.4424775559
09/2023,22971.69596960806
10/2023,22724.58708927958
11/2023,23042.72071346159
12/2023,23532.58140100594
01/2024,23936.38015090997
02/2024,23954.489230027208
03/2024,24316.776993416544
04/2024,24294.953012122092
05/2024,24210.88898838128
06/2024,24772.024248187226
07/2024,24944.57024670132
08/2024,24740.899676788966
09/2024,24979.184312217356
