Date,MSCI AC Far East ex-Japan
05/2008,70787.33113231882
06/2008,61950.01537680792
07/2008,61602.47013003651
08/2008,60390.538717339674
09/2008,52040.293826469984
10/2008,44587.17295602414
11/2008,42268.95350043215
12/2008,42563.42974779048
01/2009,43562.00716292135
02/2009,41465.66882315723
03/2009,44903.44355275023
04/2009,52436.746169491526
05/2009,56283.19326145552
06/2009,56006.4392670157
07/2009,63602.77388598105
08/2009,60814.56364910313
09/2009,64366.88740012292
10/2009,63621.319500000005
11/2009,63939.972149370966
12/2009,69649.08817159515
01/2010,67454.89869683518
02/2010,69719.25050847456
03/2010,75098.98811484531
04/2010,77619.34138941045
05/2010,76916.61977736247
06/2010,78209.68095509738
07/2010,78496.17706478355
08/2010,79793.54929022082
09/2010,82076.22867819462
10/2010,83071.22247239662
11/2010,87843.95507001078
12/2010,89954.57943421643
01/2011,88293.53453111305
02/2011,83818.34342923232
03/2011,86311.55610614485
04/2011,86118.64485868103
05/2011,88072.10389989574
06/2011,85274.19670656612
07/2011,87846.09122019635
08/2011,78389.47208304498
09/2011,72247.84572317264
10/2011,78325.01538461538
11/2011,75633.53703979729
12/2011,79414.9744493392
01/2012,85647.58483606558
02/2012,89104.66168266011
03/2012,87072.32938005392
04/2012,88465.47956712577
05/2012,85431.69099411432
06/2012,86403.90409849088
07/2012,91206.76445783133
08/2012,88290.52311474108
09/2012,91558.10018561487
10/2012,91201.6135303625
11/2012,93618.94199907592
12/2012,95321.141473397
01/2013,94074.13182287822
02/2013,97713.9586107091
03/2013,98011.92510737994
04/2013,97485.2659883721
05/2013,96914.98759034292
06/2013,90989.03201834863
07/2013,91744.5026440678
08/2013,91431.00612013601
09/2013,94218.18904109589
10/2013,96892.29302837035
11/2013,97573.20806700464
12/2013,94891.51194257125
01/2014,91895.41518200652
02/2014,93053.02530949106
03/2014,93539.10587467362
04/2014,93963.48758122743
05/2014,99030.77871683693
06/2014,100846.48752379559
07/2014,107164.88072352191
08/2014,109314.22916287533
09/2014,107372.15161726136
10/2014,109772.3385819227
11/2014,110331.06027397263
12/2014,111551.87323943662
01/2015,122184.91966386556
02/2015,125234.63407473308
03/2015,132004.07223719676
04/2015,137520.03884083818
05/2015,136284.73350957158
06/2015,128257.09430690858
07/2015,121556.74472508434
08/2015,107099.66487739635
09/2015,105078.4635901098
10/2015,116161.92820186984
11/2015,117071.44922960582
12/2015,112930.23769633508
01/2016,103897.1039010989
02/2016,103993.49608743572
03/2016,110446.24600790514
04/2016,109132.45493291237
05/2016,109710.88337816032
06/2016,113453.90385516122
07/2016,118788.4144335463
08/2016,122915.21782249371
09/2016,124976.41865424244
10/2016,125360.37807418234
11/2016,125963.75813822287
12/2016,124301.27079024761
01/2017,129631.90577405858
02/2017,135668.266264037
03/2017,138482.6489570667
04/2017,138447.37926806958
05/2017,141138.84345423756
06/2017,141478.0847003155
07/2017,144813.14428242517
08/2017,145962.09757293868
09/2017,146627.5551075724
10/2017,155358.7836913559
11/2017,153787.1622246603
12/2017,155751.18871008087
01/2018,161995.68112707714
02/2018,157310.43777632224
03/2018,153950.42702702704
04/2018,157614.95128735824
05/2018,161022.06887768186
06/2018,153308.6697375193
07/2018,152765.56595092022
08/2018,152005.91705433012
09/2018,152293.8851589496
10/2018,138218.17289273723
11/2018,144265.96026058635
12/2018,138900.02934497816
01/2019,150107.52425139275
02/2019,154558.36797477226
03/2019,158502.86643524704
04/2019,162020.9451773935
05/2019,147479.6408393866
06/2019,155395.01182776803
07/2019,156546.92235673932
08/2019,151040.55646973543
09/2019,155418.75450454588
10/2019,158667.81850457235
11/2019,161694.31453287194
12/2019,169653.93743991456
01/2020,164057.0719869707
02/2020,161307.66329598252
03/2020,144545.84737130342
04/2020,157672.1442809857
05/2020,152473.08669181034
06/2020,164651.38906947672
07/2020,168671.2623058744
08/2020,173363.2973366834
09/2020,173811.24993167064
10/2020,179117.3808172337
11/2020,188857.67559265444
12/2020,196296.01285958764
01/2021,208131.81585365854
02/2021,210079.78500123753
03/2021,210491.3306609808
04/2021,210198.83866909452
05/2021,208882.88955003687
06/2021,214432.6992258499
07/2021,196056.54903708686
08/2021,199173.78891330067
09/2021,193626.08969686503
10/2021,195815.13526835552
11/2021,192652.6120214732
12/2021,195269.34183295074
01/2022,191531.49299031912
02/2022,186875.81773372626
03/2022,181388.78066840823
04/2022,180009.6330740038
05/2022,179984.45779893588
06/2022,178175.80007701935
07/2022,176282.57868209455
08/2022,178426.33506
09/2022,157455.8457119409
10/2022,142532.74654024612
11/2022,166183.38683500385
12/2022,163228.88848678043
01/2023,177421.62536693437
02/2023,167964.77979094075
03/2023,170443.6202482759
04/2023,163500.60431654676
05/2023,163538.64717775903
06/2023,164680.64196576478
07/2023,173444.40489884786
08/2023,163119.0020979021
09/2023,161373.97515574854
10/2023,154457.3289198606
11/2023,160568.3899002836
12/2023,162816.89945701358
01/2024,153824.62556057947
02/2024,163798.4675226307
03/2024,169021.5532513181
04/2024,172157.7998693786
05/2024,173085.54448949505
06/2024,181742.64650163474
07/2024,177513.71974510528
