Date,STOXX Europe 600 Technology
02/2016,46841.16597263534
03/2016,48041.84017449931
04/2016,45789.212770176484
05/2016,48067.61848106286
06/2016,46279.000594884
07/2016,52113.82113821138
08/2016,52009.71643862781
09/2016,53307.55502676978
10/2016,49791.790600832835
11/2016,49996.03410668253
12/2016,53238.15189371406
01/2017,53844.933571286936
02/2017,57292.28633749752
03/2017,60271.66369224668
04/2017,61096.56950228039
05/2017,63164.782867340866
06/2017,60476.89867142574
07/2017,61196.7083085465
08/2017,60732.69879040254
09/2017,63748.76065833829
10/2017,66952.21098552449
11/2017,64880.03172714654
12/2017,64267.30120959746
01/2018,65918.10430299425
02/2018,65295.459052151506
03/2018,62948.641681538764
04/2018,65890.34304977197
05/2018,69238.5484830458
06/2018,69424.94546896688
07/2018,70140.78921277019
08/2018,70928.01903628792
09/2018,68837.99325798136
10/2018,62848.50287527266
11/2018,61053.93614911759
12/2018,58157.8425540353
01/2019,62193.13900456078
02/2019,65618.67935752528
03/2019,68001.18976799524
04/2019,73350.1784651993
05/2019,68902.43902439025
06/2019,73139.99603410669
07/2019,73500.89232599644
08/2019,70337.10093198493
09/2019,72407.29724370415
10/2019,74247.47174301012
11/2019,78536.58536585367
12/2019,79492.36565536387
01/2020,78794.36843148919
02/2020,74586.55562165378
03/2020,66298.83006147135
04/2020,72938.7269482451
05/2020,78389.84731310728
06/2020,84376.36327582788
07/2020,84359.50822922864
08/2020,88060.67816775729
09/2020,86053.9361491176
10/2020,76611.14416022209
11/2020,86958.1598255007
12/2020,91239.3416617093
01/2021,94205.82986317668
02/2021,97045.40947848503
03/2021,102198.09637120762
04/2021,105130.87447947651
05/2021,105390.64049177077
06/2021,109602.41919492366
07/2021,115061.47134642079
08/2021,122230.81499107674
09/2021,114144.3585167559
10/2021,122517.35078326393
11/2021,119319.84929605393
12/2021,122754.31290898276
01/2022,107956.57346817371
02/2022,101627.99920682133
03/2022,102130.67618481063
04/2022,95074.36049970255
05/2022,92661.1144160222
06/2022,83557.40630577038
07/2022,94591.51298830062
08/2022,87026.57148522705
09/2022,79952.40928019036
10/2022,83973.8251041047
11/2022,95607.77315090224
12/2022,88682.33194527068
01/2023,101828.27681935356
02/2023,101270.0773349197
03/2023,107108.86377156455
04/2023,102327.97937735474
05/2023,109594.47749355543
06/2023,111875.86753916321
07/2023,112361.68947055325
08/2023,106775.72873289709
09/2023,100754.51120364862
10/2023,99102.71663692247
11/2023,113837.99325798136
12/2023,117853.4602419195
01/2024,126817.37061273052
02/2024,132053.34126512
03/2024,132904.02538171722
04/2024,127108.86377156455
05/2024,131943.2877255602
06/2024,138639.69859210786
07/2024,130368.82807852469
08/2024,129166.17093000199
09/2024,128960.93595082292
