Date,MSCI Emerging Markets Minimum Volatility
05/1993,10000
06/1993,10511.975990791814
07/1993,11225.949177049279
08/1993,11834.335434116463
09/1993,11556.657342872932
10/1993,12587.757132948891
11/1993,13603.640236806175
12/1993,15899.518408602113
01/1994,16405.95986571951
02/1994,16117.897780213363
03/1994,14298.926585465882
04/1994,14415.654673668625
05/1994,14572.850809502046
06/1994,13876.616510080892
07/1994,13897.643338808048
08/1994,15151.608149024203
09/1994,15292.519719413262
10/1994,15330.115800732032
11/1994,15045.08757558017
12/1994,14355.12735357556
01/1995,12874.478381913812
02/1995,12627.097033115715
03/1995,12156.810435989606
04/1995,12361.834624801166
05/1995,13399.192332877601
06/1995,13335.85070471742
07/1995,13344.537474210934
08/1995,13382.749907135507
09/1995,13543.72879170462
10/1995,13125.894279904438
11/1995,12757.434964519007
12/1995,13571.117134955888
01/1996,14281.632681864277
02/1996,14289.956650938177
03/1996,14385.81830928574
04/1996,15047.215798543746
05/1996,15210.282349874915
06/1996,15024.072501069773
07/1996,14002.565424222774
08/1996,14144.844742850688
09/1996,14412.900222587388
10/1996,14148.88066706911
11/1996,13986.453859437855
12/1996,14494.752678927816
01/1997,15686.788634655888
02/1997,16899.932579401553
03/1997,16867.438018272875
04/1997,17229.378247102155
05/1997,17539.219782448567
06/1997,18401.200678044366
07/1997,19313.207280289276
08/1997,18779.30569199285
09/1997,18623.91903425969
10/1997,16112.6404885703
11/1997,15019.979497779701
12/1997,15366.99469183628
01/1998,14609.819204595999
02/1998,15476.732307203047
03/1998,16505.31930748022
04/1998,16533.770941777508
05/1998,14847.035120762488
06/1998,13438.136404204472
07/1998,13793.138918345803
08/1998,10643.110302656312
09/1998,10563.946763653423
10/1998,10927.492040972757
11/1998,12127.817663229827
12/1998,12457.779950578433
01/1999,12230.755937620112
02/1999,12555.102258631407
03/1999,14393.333247926814
04/1999,16125.488560554219
05/1999,16456.97519720144
06/1999,17742.81504764831
07/1999,16947.92103314259
08/1999,17498.85854457716
09/1999,16916.41785907061
10/1999,17105.11314599708
11/1999,18806.265597252048
12/1999,20034.192836281018
01/2000,20899.11098209552
02/2000,21264.943301014348
03/2000,21008.588185333174
04/2000,20163.720309222106
05/2000,19180.092215787154
06/2000,19106.942390992812
07/2000,19259.128504922533
08/2000,19739.77342686531
09/2000,19055.009414943408
10/2000,18569.399618265237
11/2000,17202.253063482643
12/2000,16786.83576581899
01/2001,18102.809853264745
02/2001,17376.45925217486
03/2001,16836.021323105473
04/2001,17171.691714123368
05/2001,18085.767624507313
06/2001,17751.252547566648
07/2001,16431.23236135834
08/2001,15820.894803808973
09/2001,14166.652680987641
10/2001,14963.013229336295
11/2001,16250.224474579036
12/2001,17208.04073952669
01/2002,18034.623757185516
02/2002,18199.83359929722
03/2002,19047.07121363005
04/2002,18550.45042164069
05/2002,17592.474725306394
06/2002,15720.28202677367
07/2002,15423.936194777174
08/2002,15634.119892161954
09/2002,14456.940412419457
10/2002,14746.547919005834
11/2002,15333.855704164427
12/2002,14475.020033336956
01/2003,13989.5890950728
02/2003,13741.851199858424
03/2003,13436.452791372627
04/2003,14106.06930601194
05/2003,14145.774078212638
06/2003,15422.75053956685
07/2003,16387.606467112597
08/2003,17938.171377398583
09/2003,17085.52793990507
10/2003,18471.744878961174
11/2003,18123.403590469195
12/2003,18476.882630515018
01/2004,19106.056519070135
02/2004,19818.315389995343
03/2004,20591.508110824132
04/2004,19940.631472842102
05/2004,19241.098587361772
06/2004,19628.855173606316
07/2004,19773.250471334104
08/2004,20027.238588767108
09/2004,20779.298762975257
10/2004,20845.60699377352
11/2004,22050.59038733719
12/2004,22720.32555254935
01/2005,23676.15555881636
02/2005,24954.481450116586
03/2005,24240.47057624353
04/2005,24043.28513760562
05/2005,25840.80607615736
06/2005,27311.39319586541
07/2005,29000.879766191836
08/2005,29240.848958636623
09/2005,31613.69390881968
10/2005,29920.52589549671
11/2005,32462.14105185145
12/2005,33946.3834043862
01/2006,35857.04747320998
02/2006,36758.31528528097
03/2006,36543.67870319297
04/2006,36986.77530279968
05/2006,32770.019233756175
06/2006,32616.3309046772
07/2006,33154.11076942037
08/2006,33714.33943598044
09/2006,35018.529837838825
10/2006,36711.8847677239
11/2006,37834.438380395804
12/2006,40066.20218854476
01/2007,40525.05698763586
02/2007,39541.399032676745
03/2007,40400.05699052913
04/2007,41841.30119441814
05/2007,44170.17408005985
06/2007,45501.41222496942
07/2007,46158.60176808923
08/2007,45422.45607130868
09/2007,47519.965418658554
10/2007,51093.71383788319
11/2007,46566.04194459424
12/2007,47408.41683972166
01/2008,42600.19492766031
02/2008,44188.44254015897
03/2008,41448.786491347535
04/2008,44635.25225110628
05/2008,45224.59719579924
06/2008,41369.4928056073
07/2008,40603.39785962546
08/2008,40570.84616354119
09/2008,35803.50242713323
10/2008,31224.904072407422
11/2008,30118.221597533797
12/2008,29166.557397820976
01/2009,29415.52280527834
02/2009,28584.352760684815
03/2009,30015.918886155116
04/2009,34001.00646043533
05/2009,35832.443657277574
06/2009,36256.4054140673
07/2009,39589.51888894687
08/2009,38985.94145410656
09/2009,40912.6165977044
10/2009,40795.05701893056
11/2009,41444.90669555197
12/2009,44905.63133688377
01/2010,44670.644355817836
02/2010,46384.827310570356
03/2010,49748.01793750021
04/2010,50971.37025675033
05/2010,52104.865758151136
06/2010,53218.9410492511
07/2010,54250.162269347034
08/2010,56389.56422180149
09/2010,57426.33086116588
10/2010,58271.57208771291
11/2010,60486.43885995364
12/2010,62401.96125154585
01/2011,58518.87347204439
02/2011,57362.00615682142
03/2011,58964.12408087804
04/2011,58904.39508412418
05/2011,60478.685401191986
06/2011,59750.63628640794
07/2011,61428.55548699419
08/2011,57571.61025143919
09/2011,54338.49691230778
10/2011,57488.01024563449
11/2011,57626.902202424826
12/2011,60461.401139188914
01/2012,63654.851599483365
02/2012,66196.16760088339
03/2012,66303.79067152055
04/2012,67702.63437736424
05/2012,66095.17914323368
06/2012,68061.81679590534
07/2012,71640.04964260318
08/2012,69995.57924423426
09/2012,70863.45682604203
10/2012,70363.15762455737
11/2012,71098.36508950953
12/2012,72480.10575073987
