Date,MSCI Emerging Markets Minimum Volatility
01/2013,71941.61274103759
02/2013,74749.08057478914
03/2013,76268.213233705
04/2013,76451.78300815295
05/2013,74542.11384122347
06/2013,71575.14341307966
07/2013,70440.03668140595
08/2013,68254.01411679985
09/2013,70635.75791795163
10/2013,72506.56301654363
11/2013,70735.82439669746
12/2013,69309.0529179752
01/2014,66217.57986011368
02/2014,66689.18012757497
03/2014,68753.66289577006
04/2014,69549.8898035196
05/2014,72457.2082106688
06/2014,73702.18635196998
07/2014,76275.16105522441
08/2014,79200.13496679343
09/2014,79450.80597976498
10/2014,80758.14053421577
11/2014,79929.66361052591
12/2014,79594.95074711178
01/2015,86413.66496615694
02/2015,88398.22016981046
03/2015,93029.78916367341
04/2015,94329.43645221395
05/2015,92956.31322113978
06/2015,88805.0387511842
07/2015,87202.89899721206
08/2015,77944.16330707437
09/2015,75879.33154049088
10/2015,81622.09965105294
11/2015,80777.28293318104
12/2015,78069.18098142704
01/2016,74390.9636940241
02/2016,74730.2595662178
03/2016,78507.96625201732
04/2016,78576.72944610086
05/2016,78006.14387437746
06/2016,81314.66063401994
07/2016,83460.90553595418
08/2016,84643.35498095292
09/2016,84662.74498367263
10/2016,85316.77001834038
11/2016,83806.74266189354
12/2016,83777.00688649183
01/2017,84257.82288288874
02/2017,87989.68048496691
03/2017,89542.42779737052
04/2017,89022.93397766318
05/2017,88478.04184346859
06/2017,87698.06973588937
07/2017,88174.08982284584
08/2017,88803.96205932258
09/2017,88696.84715694348
10/2017,91823.762045522
11/2017,90406.63527868122
12/2017,93313.29584060582
01/2018,95154.29406387197
02/2018,93455.85947391503
03/2018,92620.95906535612
04/2018,94260.9293794005
05/2018,95806.45782718674
06/2018,92782.88081284573
07/2018,94506.85904686067
08/2018,94640.61465407282
09/2018,95314.93849723999
10/2018,90753.774751283
11/2018,93820.74828714402
12/2018,92096.13352960681
01/2019,96987.6787890479
02/2019,97956.11913499601
03/2019,99709.51710892766
04/2019,101187.96090540804
05/2019,97002.03330744522
06/2019,98840.04013883696
07/2019,100358.77978431406
08/2019,98667.90445565605
09/2019,100392.1584763496
10/2019,100378.67670027322
11/2019,99809.42855778427
12/2019,101828.52912075384
01/2020,99357.25996687838
02/2020,94453.12021320092
03/2020,83642.43625593718
04/2020,92174.87631327494
05/2020,89383.12510628042
06/2020,91971.40218933305
07/2020,91423.19665676708
08/2020,92305.05379045021
09/2020,92624.1438293147
10/2020,92945.07155329178
11/2020,97566.82013648076
12/2020,100489.31213239506
01/2021,102402.92633386115
02/2021,103645.76766119998
03/2021,108133.84571770135
04/2021,106089.54175476078
05/2021,107649.12273024165
06/2021,109939.16474552813
07/2021,105524.74982489686
08/2021,110212.99934020815
09/2021,110582.48321639338
10/2021,110558.15454643767
11/2021,110823.68593481909
12/2021,114916.48537156901
01/2022,114342.38181813758
02/2022,114392.71121972833
03/2022,114558.51380376516
04/2022,116609.38125253815
05/2022,112747.93811226111
06/2022,109924.2369222626
07/2022,113198.47922933665
08/2022,114576.53701372471
09/2022,108689.58001916233
10/2022,105137.20417628923
11/2022,109260.38810183504
12/2022,105004.50352362535
01/2023,106707.47990270403
02/2023,105631.26024327718
03/2023,106149.88827610205
04/2023,107240.8806149766
05/2023,108502.0071121962
06/2023,108057.44273150015
07/2023,110049.33514677807
08/2023,107278.86690902254
09/2023,108460.6657666137
10/2023,104490.9015201767
11/2023,107306.21175762224
12/2023,110383.96174970813
01/2024,110161.05478845861
02/2024,114833.01192501455
03/2024,114832.63739630951
04/2024,115091.91369695091
05/2024,113258.35692280234
06/2024,118929.98419666743
07/2024,120698.4656936793
08/2024,121568.97024620124
09/2024,125997.07052634744
10/2024,124109.86251636628
