Date,JP Morgan China Government + Policy Bank 20% Capped 1-10 Year
05/2020,10000
06/2020,9956.597637873476
07/2020,9481.98198503144
08/2020,9546.380388003785
09/2020,9818.512073995737
10/2020,10017.793227685195
11/2020,9970.240488374951
12/2020,9885.750216474331
01/2021,10106.117699030003
02/2021,10126.91441771376
03/2021,10373.716567125699
04/2021,10260.330891106483
05/2021,10387.201461937257
06/2021,10519.5919353294
07/2021,10649.546697116819
08/2021,10714.993680205343
09/2021,10977.00069061155
10/2021,11003.953516584079
11/2021,11412.638626511833
12/2021,11522.869933308148
01/2022,11810.551104438411
02/2022,11831.999738296267
03/2022,11881.135795876231
04/2022,12090.857862320592
05/2022,11828.906936247633
06/2022,12130.292973727455
07/2022,12360.578374532759
08/2022,12406.580308802888
09/2022,12363.082051906973
10/2022,11882.41091150083
11/2022,11514.74326695824
12/2022,11554.433802403406
01/2023,11708.181510087405
02/2023,11639.219499656638
03/2023,11535.656707439342
04/2023,11386.682507750274
05/2023,11485.881263765432
06/2023,11093.102696497363
07/2023,11142.745610145847
08/2023,11134.209157279667
09/2023,11377.9171134737
10/2023,11343.77047712696
11/2023,11326.411803063778
12/2023,11352.965311620166
01/2024,11506.048234406411
02/2024,11561.05449265078
03/2024,11552.309244253356
04/2024,11683.79978651716
05/2024,11582.740262906927
06/2024,11780.383317035317
07/2024,11782.673369675082
08/2024,11737.026596561542
09/2024,11766.361027417268
