Date,MSCI Japan
12/2010,80150.04512936625
01/2011,78317.4219059802
02/2011,81048.10906764558
03/2011,71669.79102361714
04/2011,68770.25972913604
05/2011,69884.2512698151
06/2011,70574.34686813691
07/2011,74062.79869255403
08/2011,67148.46895844176
09/2011,70675.65767060172
10/2011,67993.65103983766
11/2011,67815.28139618627
12/2011,70908.25230900806
01/2012,72780.77989953553
02/2012,74935.1730370543
03/2012,76432.64800677907
04/2012,74786.8107026909
05/2012,72564.32306450946
06/2012,75161.23073298129
07/2012,75193.94771458488
08/2012,72712.28190705557
09/2012,72567.81688361662
10/2012,70863.67460294002
11/2012,72585.48854607034
12/2012,75225.94313355403
01/2013,75938.9271355091
02/2013,80463.61507476233
03/2013,86528.00551167123
04/2013,92194.75963861868
05/2013,87413.89097659818
06/2013,88438.82166569363
07/2013,87665.12746483771
08/2013,86038.1155039125
09/2013,91361.23133574691
10/2013,90449.47732546827
11/2013,91996.93692462909
12/2013,91518.72388938993
01/2014,89778.06598899495
02/2014,87376.46509205898
03/2014,86407.67997972156
04/2014,83799.82765331736
05/2014,88745.59382710792
06/2014,93037.58768540529
07/2014,95527.65433249917
08/2014,94806.90858438282
09/2014,98658.63826651032
10/2014,97831.56223512294
11/2014,98454.17663950109
12/2014,99775.35097610108
01/2015,109656.30722663784
02/2015,116982.72887474042
03/2015,124085.91773557503
04/2015,123256.54393672083
05/2015,127651.38410914366
06/2015,123006.97982667839
07/2015,126087.64025316751
08/2015,116133.48687444431
09/2015,108351.38335379213
10/2015,121297.9162001914
11/2015,125058.39060826432
12/2015,121914.97335741611
01/2016,111548.67921353357
02/2016,108808.31444463063
03/2016,108981.06872217287
04/2016,113867.38153796922
05/2016,115200.35088988823
06/2016,112888.18171805168
07/2016,120086.31215343736
08/2016,120339.06723347543
09/2016,121948.41150789702
10/2016,125984.2969512627
11/2016,126541.02525181226
12/2016,128908.30569054653
01/2017,131044.00437863011
02/2017,134484.92062710476
03/2017,132811.62943252973
04/2017,131270.4977488321
05/2017,131712.94685171332
06/2017,130882.20663566113
07/2017,129943.2788692484
08/2017,128799.91839109197
09/2017,131535.42150877748
10/2017,139585.47928533697
11/2017,141200.48590910115
12/2017,140477.53382730234
01/2018,141443.37986682853
02/2018,142084.83932885097
03/2018,137877.05454285807
04/2018,141577.77787591686
05/2018,144736.52165655396
06/2018,141587.0527604688
07/2018,141207.76293381047
08/2018,142552.70166223403
09/2018,147834.97217647516
10/2018,138420.1991903332
11/2018,138465.90441240883
12/2018,128188.70002597522
01/2019,135558.05181699555
02/2019,136368.39073862584
03/2019,139348.82183721763
04/2019,141495.54134525137
05/2019,136708.7207289942
06/2019,138971.0537842292
07/2019,142022.56800234053
08/2019,142048.4005988118
09/2019,149785.0978637197
10/2019,153322.31844722797
11/2019,156598.07742927741
12/2019,156277.36923890433
01/2020,156689.8656565281
02/2020,143333.43592083035
03/2020,133343.42209277232
04/2020,141563.86653231562
05/2020,146445.7429679602
06/2020,145614.41669128818
07/2020,135441.2701104165
08/2020,144627.9962064925
09/2020,148937.37797834948
10/2020,146681.7530866307
11/2020,161123.06433625185
12/2020,163793.33686354768
01/2021,163957.69777354068
02/2021,166646.55939323126
03/2021,174104.2517747285
04/2021,166387.19698835025
05/2021,167327.9790444124
06/2021,171292.6594213479
07/2021,169024.26940246538
08/2021,175052.33610421958
09/2021,183828.87313523592
10/2021,176638.3897886098
11/2021,176559.60055041005
12/2021,180491.55359841816
01/2022,173945.81237981684
02/2022,171340.75036926332
03/2022,171985.09710424338
04/2022,165190.95066805175
05/2022,165185.56001391084
06/2022,156921.96606372655
07/2022,168939.0223851969
08/2022,167883.89053792928
09/2022,154379.71738258773
10/2022,156293.99170355496
11/2022,163786.19667297797
12/2022,159757.65167885888
01/2023,167069.78348199162
02/2023,163894.07978633477
03/2023,166380.72035886164
04/2023,165377.71283457233
05/2023,173153.54584205063
06/2023,177208.78071398934
07/2023,179958.10172581353
08/2023,178102.74710644013
09/2023,178871.56476907377
10/2023,170413.37525629913
11/2023,179712.06534757066
12/2023,185538.07107845854
01/2024,197921.4367417126
02/2024,204058.9969950684
03/2024,210510.68778543366
04/2024,202023.82925552956
05/2024,202207.09899101203
06/2024,203523.10736077646
07/2024,212877.5575651632
08/2024,208958.3575377138
09/2024,205734.01830300945
10/2024,203424.3225417903
