Date,STOXX Europe 50
11/2011,59366.5714913244
12/2011,61212.09312541181
01/2012,62671.35222197818
02/2012,64366.205432315684
03/2012,64116.84603558093
04/2012,63103.30185225858
05/2012,59752.25126290358
06/2012,63202.28420821436
07/2012,65841.86250823633
08/2012,66890.2555091881
09/2012,67275.93528076725
10/2012,67541.54769748883
11/2012,68441.17285306391
12/2012,69157.18573834101
01/2013,70975.47404641629
02/2013,71405.95944066183
03/2013,73069.62442345706
04/2013,74237.05981404203
05/2013,75166.70327256754
06/2013,71544.47616955853
07/2013,74203.52734460795
08/2013,73690.0212314225
09/2013,76693.90145691486
10/2013,79598.06720843399
11/2013,80440.29577567903
12/2013,80982.50237938356
01/2014,79229.51753422651
02/2014,82700.92978988214
03/2014,81592.06384069112
04/2014,83635.8444981331
05/2014,85860.4583058789
06/2014,85455.88988945018
07/2014,84499.15806427995
08/2014,86667.25089684456
09/2014,87430.11933523683
10/2014,85542.42623910974
11/2014,87971.7402445274
12/2014,85979.64565487955
01/2015,91611.97745076506
02/2015,97668.64338531371
03/2015,99182.5170217439
04/2015,99693.82824511311
05/2015,100603.41166996119
06/2015,96090.92905776411
07/2015,100419.21077677721
08/2015,91390.14569148546
09/2015,87569.07533494399
10/2015,94710.59374771212
11/2015,97077.8241452522
12/2015,91582.25345925763
01/2016,85801.44959367451
02/2016,83113.697928106
03/2016,83224.68701954755
04/2016,85638.91939380628
05/2016,87917.56351123801
06/2016,85252.50750420967
07/2016,87268.17336554652
08/2016,87215.60875613148
09/2016,86662.85965297605
10/2016,85846.54806354785
11/2016,86612.92773995167
12/2016,92177.02467237719
01/2017,91253.67889303755
02/2017,94434.29240793615
03/2017,97745.80862435023
04/2017,98742.07482246138
05/2017,100642.0675012812
06/2017,97805.40303096859
07/2017,96575.73760890255
08/2017,95727.35925031114
09/2017,99916.09927520316
10/2017,101627.20550552748
11/2017,99736.29109012372
12/2017,100472.5089684457
01/2018,101582.25345925763
02/2018,96458.59872611464
03/2018,94511.3112233692
04/2018,98953.65692949702
05/2018,98570.4663591771
06/2018,98519.65736876783
07/2018,102501.06157112526
08/2018,98909.58342484808
09/2018,99825.90233545647
10/2018,96021.3778461088
11/2018,95804.3780657442
12/2018,90214.21773189837
01/2019,94782.77911999414
02/2019,99457.50054908851
03/2019,102784.39124386851
04/2019,106047.00197671865
05/2019,101733.06977084705
06/2019,106405.88622886008
07/2019,106484.51570393147
08/2019,105398.4918368841
09/2019,109502.15974815139
10/2019,110046.26985870121
11/2019,112870.6347463211
12/2019,114901.09085584595
01/2020,113570.68599458232
02/2020,103780.95028918661
03/2020,93046.9287649169
04/2020,97440.36752324474
05/2020,99227.61549161724
06/2020,102758.03499524122
07/2020,100355.51650926129
08/2020,102019.47433926348
09/2020,100354.19869682992
10/2020,93384.87444176001
11/2020,105741.26949264221
12/2020,107710.66695951387
01/2021,106657.14913244014
02/2021,108601.65458671938
03/2021,116100.15374478365
04/2021,118664.3238890109
05/2021,121190.71674353904
06/2021,123902.62830368255
07/2021,125534.81221172852
08/2021,128062.23003148107
09/2021,124114.94252873563
10/2021,130876.78453766747
11/2021,127720.62376455084
12/2021,135772.4577201845
01/2022,133345.04722161213
02/2022,129905.70319935573
03/2022,132986.89508748808
04/2022,134026.64909583423
05/2022,133022.03675232446
06/2022,125023.50098835932
07/2022,132840.4714840032
08/2022,127405.22732264441
09/2022,121381.9459696903
10/2022,129115.16216414086
11/2022,138507.3577860751
12/2022,133330.25843766017
01/2023,140794.93374331942
02/2023,142642.06750128118
03/2023,144974.15623398492
04/2023,149590.3067574493
05/2023,146027.23479024819
06/2023,149042.24320960537
07/2023,151017.49762061643
08/2023,148138.66168826414
09/2023,146622.5931620177
10/2023,142615.8576762574
11/2023,149279.1566000439
12/2023,153506.8453034629
01/2024,158099.5680503697
02/2024,160916.0260634014
03/2024,167298.33809210043
04/2024,167040.92539717403
05/2024,171551.35807892232
06/2024,171818.14188447176
07/2024,171904.8246577348
08/2024,174720.4041291456
09/2024,171066.2566805769
