Date,MSCI Pacific
05/2014,129772.58374863333
06/2014,133438.69656117793
07/2014,138616.46677325218
08/2014,138885.86680186298
09/2014,139571.5084466387
10/2014,141520.12268441872
11/2014,140318.9661258232
12/2014,141638.40550771478
01/2015,154367.64894590396
02/2015,163795.46586269446
03/2015,171998.77724530987
04/2015,171080.65087105366
05/2015,174840.19498796493
06/2015,167274.50550573264
07/2015,170529.0857754362
08/2015,153752.99195500734
09/2015,144989.7840991819
10/2015,160893.63571903828
11/2015,165829.1319047639
12/2015,162628.24651309312
01/2016,148502.78885226086
02/2016,146109.33956326978
03/2016,149626.26470997563
04/2016,154991.03963720074
05/2016,156196.79296457395
06/2016,154782.24042510102
07/2016,164896.62804641054
08/2016,164207.88602163823
09/2016,166987.4373499612
10/2016,170532.9183288095
11/2016,172647.0926500424
12/2016,174982.54329047343
01/2017,179003.50519758923
02/2017,184909.34643852804
03/2017,184466.44974329972
04/2017,181963.85668268817
05/2017,180125.24019511664
06/2017,179581.1293454453
07/2017,179641.11848658806
08/2017,178249.23365326508
09/2017,180308.8330715274
10/2017,189368.61210684082
11/2017,190789.1835761705
12/2017,191685.76871340183
01/2018,192554.84857156896
02/2018,192277.17992915196
03/2018,185313.65938937155
04/2018,191776.6477161444
05/2018,196909.640731213
06/2018,193207.1846406274
07/2018,193677.24455803953
08/2018,194199.219112931
09/2018,199003.63095383396
10/2018,186132.30149604173
11/2018,187701.0882131189
12/2018,176646.2630377283
01/2019,187445.60322510576
02/2019,190970.30979949827
03/2019,195381.5134446036
04/2019,198610.6984472022
05/2019,192717.61106026484
06/2019,197581.38262349722
07/2019,201316.25861586488
08/2019,198000.56394596564
09/2019,206970.8611828189
10/2019,210629.64288672892
11/2019,214880.23686418487
12/2019,214709.56297800087
01/2020,215066.47588648341
02/2020,197759.03019319117
03/2020,175473.19530023928
04/2020,189621.1202871417
05/2020,192515.17379940135
06/2020,195992.399863903
07/2020,184706.71309132088
08/2020,196147.24395640337
09/2020,197561.98546010643
10/2020,195189.5494952564
11/2020,215682.23582458537
12/2020,220015.26751995692
01/2021,221428.90980185245
02/2021,226022.24642471102
03/2021,236087.3058728557
04/2021,229845.39471674233
05/2021,231575.5405978485
06/2021,236015.60808078467
07/2021,232711.03777912585
08/2021,239138.10639781464
09/2021,245995.546246819
10/2021,241507.66815618568
11/2021,238245.21872248463
12/2021,244643.37520566155
01/2022,235332.50501067392
02/2022,234902.60539103614
03/2022,241844.89245010758
04/2022,234961.87634703596
05/2022,233208.22836534362
06/2022,221160.57477236027
07/2022,236563.94500625972
08/2022,235789.88650389397
09/2022,216596.6775648407
10/2022,217379.51301582108
11/2022,231477.31485938936
12/2022,225919.03699566217
01/2023,238221.43555881383
02/2023,231321.03343690909
03/2023,232022.77423462222
04/2023,230475.31244054262
05/2023,234738.2240444326
06/2023,240343.05375235662
07/2023,245152.10833725508
08/2023,239719.7832706588
09/2023,239979.31805719054
10/2023,228666.83007604422
11/2023,239971.81560918145
12/2023,251361.10544923734
01/2024,261151.1492645924
02/2024,267187.68341146444
03/2024,274194.97677073715
04/2024,266260.91366774414
05/2024,268241.137311927
06/2024,270862.1555529245
07/2024,279707.2073409207
08/2024,278159.2022042627
09/2024,280929.65170304367
10/2024,275419.09057308635
