Date,MSCI Europe Sector Neutral Quality
11/1998,10000
12/1998,10472.982227342243
01/1999,10475.738501998405
02/1999,10436.660249654315
03/1999,10842.65493621685
04/1999,11138.659549448575
05/1999,10674.612165450237
06/1999,10935.146722518735
07/1999,10497.94056333555
08/1999,10730.132537996511
09/1999,10536.523227851507
10/1999,10862.447417761176
11/1999,11376.780157685369
12/1999,12710.127764825536
01/2000,12052.112852573313
02/2000,12691.14811084592
03/2000,13566.722097505002
04/2000,13476.738184592408
05/2000,13124.73527574456
06/2000,13104.523677848067
07/2000,13504.092375277676
08/2000,13641.542425278989
09/2000,13421.136648868625
10/2000,14028.655433265647
11/2000,13332.406509583288
12/2000,13199.208077040215
01/2001,12828.754814731696
02/2001,11863.835895293763
03/2001,11423.034563958561
04/2001,12071.815911257212
05/2001,12003.43695484034
06/2001,11769.63677620216
07/2001,11618.702077459335
08/2001,11058.547467880631
09/2001,10060.277646281333
10/2001,10494.362440656689
11/2001,10874.333637782736
12/2001,11261.989906293282
01/2002,11085.337669654338
02/2002,11101.174685841948
03/2002,11567.399088972006
04/2002,11081.306242309161
05/2002,10358.367528778004
06/2002,9575.40255282584
07/2002,8641.081815982969
08/2002,8632.508007147562
09/2002,7684.61048566853
10/2002,8395.49528518917
11/2002,8722.27530141839
12/2002,7998.955891938018
01/2003,7382.481419011579
02/2003,7246.805819486456
03/2003,6967.0174742382915
04/2003,7636.282778996924
05/2003,7648.617612500406
06/2003,7824.827056424904
07/2003,8044.481411382992
08/2003,8409.144521539298
09/2003,8056.344840899903
10/2003,8614.18464322176
11/2003,8631.470682500061
12/2003,8824.365202095845
01/2004,9066.912896187801
02/2004,9435.581895771616
03/2004,9329.083913277784
04/2004,9393.842329392344
05/2004,9379.778031575595
06/2004,9503.691756175593
07/2004,9349.595556759137
08/2004,9369.880446866557
09/2004,9450.81849831909
10/2004,9484.14484373283
11/2004,9733.119771455964
12/2004,9887.585302225993
01/2005,10226.155263233992
02/2005,10615.433473363631
03/2005,10574.05725700072
04/2005,10395.717765917194
05/2005,10914.062339976996
06/2005,11341.640936134545
07/2005,11660.274055869055
08/2005,11791.624050512024
09/2005,12288.2727342512
10/2005,11878.14596293278
11/2005,12326.635884166688
12/2005,12768.972142216871
01/2006,13253.409607645892
02/2006,13678.808077239788
03/2006,14084.36490558202
04/2006,14368.02493700989
05/2006,13571.313442301082
06/2006,13923.975956247838
07/2006,13955.928629390512
08/2006,14250.367336163845
09/2006,14626.42268159816
10/2006,15190.043101845185
11/2006,15228.871226625131
12/2006,15764.105158246497
01/2007,16152.922667591747
02/2007,15891.70949387212
03/2007,16357.614237497903
04/2007,16913.154368122945
05/2007,17360.41761944057
06/2007,17282.1545532879
07/2007,16593.664298800875
08/2007,16414.880659527244
09/2007,16950.667214070258
10/2007,17319.531183267023
11/2007,16617.71854264887
12/2007,16259.657481553257
01/2008,14620.076911136024
02/2008,14615.865075855498
03/2008,13911.81673118538
04/2008,14829.717939249167
05/2008,15112.333904638952
06/2008,13814.239730494486
07/2008,13557.319895176528
08/2008,13800.849938399122
09/2008,12243.360137274836
10/2008,10965.910774684737
11/2008,10381.660642141323
12/2008,9974.701756526843
01/2009,9802.690418137776
02/2009,8987.04875583886
03/2009,9095.017723370185
04/2009,10200.738089154864
05/2009,10727.244673597446
