Date,MSCI Europe Sector Neutral Quality
06/2009,10572.625651701386
07/2009,11546.728197812568
08/2009,11928.265823232863
09/2009,12095.542455295099
10/2009,12050.290303727643
11/2009,12201.33898878118
12/2009,13014.668345501843
01/2010,12753.463805441954
02/2010,13017.09728223643
03/2010,13772.711029843453
04/2010,13513.243307967801
05/2010,13013.344722060925
06/2010,13054.82328818133
07/2010,13654.620655718369
08/2010,13646.903257291533
09/2010,13923.71630519838
10/2010,14344.311844462673
11/2010,14231.208926017129
12/2010,14928.57495715542
01/2011,15040.407190334778
02/2011,15422.876437957451
03/2011,14968.633029314044
04/2011,15421.909824690301
05/2011,15480.082544375227
06/2011,15138.360019866408
07/2011,14961.223968948787
08/2011,13687.816942344803
09/2011,13175.936798776343
10/2011,14199.859729496984
11/2011,14317.819286140879
12/2011,14606.829153451035
01/2012,14969.542472223384
02/2012,15581.552400300881
03/2012,15591.33574499299
04/2012,15553.801664423581
05/2012,14676.037565413246
06/2012,15585.96282549592
07/2012,16311.686884228713
08/2012,16363.65151283189
09/2012,16424.97911835628
10/2012,16449.901397254966
11/2012,16855.346898518714
12/2012,16990.368496337138
01/2013,17257.74742465708
02/2013,17391.756712872346
03/2013,18061.859012652014
04/2013,18348.042527163976
05/2013,18185.076267116816
06/2013,17350.232641747247
07/2013,18217.03431312359
08/2013,17956.334046334556
09/2013,18780.834732470565
10/2013,19234.941517028197
11/2013,19484.365146864573
12/2013,19809.216182887227
01/2014,19313.406560458283
02/2014,20392.49455261384
03/2014,20242.640824888895
04/2014,20777.847632895035
05/2014,21261.679844035207
06/2014,21397.287345571138
07/2014,21275.023621226606
08/2014,21726.98904084484
09/2014,21896.24341987449
10/2014,21605.744076784984
11/2014,21971.044326176005
12/2014,21768.29983452982
01/2015,23648.375523212246
02/2015,25045.24210534053
03/2015,25537.2981466943
04/2015,25881.905961519908
05/2015,26392.112671974603
06/2015,25032.57369784737
07/2015,26556.79342932263
08/2015,24257.78451021385
09/2015,23534.635977992835
10/2015,25773.724319921937
11/2015,26504.455657210998
12/2015,25289.74812942406
01/2016,23865.71094819744
02/2016,23592.366201827
03/2016,23970.862708027147
04/2016,24261.758441641836
05/2016,24919.3925723611
06/2016,24087.665512233
07/2016,24787.651685940058
08/2016,24364.607950813715
09/2016,24419.29435149767
10/2016,23542.97391478294
11/2016,23873.201660968698
12/2016,25066.241860184302
01/2017,24865.45017139902
02/2017,25881.584419435094
03/2017,26626.12943565017
04/2017,27067.605144481007
05/2017,27636.579350383607
06/2017,26707.82410610722
07/2017,26648.08158688187
08/2017,26610.630285068626
09/2017,27395.91285261784
10/2017,27994.65681543654
11/2017,27577.474883303392
12/2017,27626.82069406863
01/2018,27696.08332400527
02/2018,26641.887830464915
03/2018,26293.374073335242
04/2018,27552.203147353663
05/2018,27769.110514694592
06/2018,27734.600379165648
07/2018,28590.357937560213
08/2018,28273.909468649326
09/2018,28614.7935958127
10/2018,27163.12290390874
11/2018,26995.215605834906
12/2018,25723.495269372375
01/2019,27177.066619309466
02/2019,28397.363068708615
03/2019,29249.30234075951
04/2019,30162.169349787717
05/2019,29038.593313797777
06/2019,30451.234686815682
07/2019,30373.673914960254
08/2019,30197.23597820052
09/2019,31396.565077233365
10/2019,31890.867226100276
11/2019,32925.88497710991
12/2019,33661.028127035876
01/2020,33513.64534675738
02/2020,30540.132318720513
03/2020,27449.39943520968
04/2020,29297.270263088507
05/2020,29887.904389095824
06/2020,30618.947043997137
07/2020,30258.218243135812
08/2020,31243.484615970625
09/2020,31248.070864324825
10/2020,29462.566617620847
11/2020,32943.692255300106
12/2020,34017.853437010526
01/2021,33781.820545026545
02/2021,34424.009525430505
03/2021,36464.53708489705
04/2021,37391.35313309518
05/2021,38580.806628101745
06/2021,39373.255842096514
07/2021,40698.22556160645
08/2021,41710.22667817971
09/2021,39601.421344554474
10/2021,41554.74368011759
11/2021,40848.2428870439
12/2021,43382.843390322014
01/2022,40752.23838369893
02/2022,39649.28267838663
03/2022,40669.05996963025
04/2022,40062.772738646185
05/2022,38627.01733493967
06/2022,36311.33054910376
07/2022,39654.896702393286
08/2022,37461.35180814202
09/2022,35339.728211818496
10/2022,36616.564436484725
11/2022,39310.85175941025
12/2022,37993.64405133242
01/2023,40173.761385218226
02/2023,40373.88219508749
03/2023,41035.294584124356
04/2023,42164.650983085136
05/2023,40731.01671359209
06/2023,41729.7436824807
07/2023,42195.90403557519
08/2023,40943.63818037827
09/2023,40360.85149897326
10/2023,39267.68013885555
11/2023,41870.742442424635
12/2023,43677.3691810081
01/2024,44536.45690935915
02/2024,45060.19189865414
03/2024,46146.75556331468
04/2024,45266.36733449169
05/2024,47048.9143400303
06/2024,47480.45717635871
07/2024,47086.00014857312
08/2024,48394.62218614146
09/2024,47793.907420692616
10/2024,45510.63398652854
