Date,MSCI Emerging Markets Small Cap
09/2014,26843.33048987886
10/2014,26494.94179371233
11/2014,26173.792248465506
12/2014,26144.93560651031
01/2015,28482.147201279062
02/2015,29294.58376186433
03/2015,30562.04653563838
04/2015,31976.256014800085
05/2015,32824.82512714113
06/2015,30710.04897354322
07/2015,28897.860371753395
08/2015,25531.5119915465
09/2015,25557.916726284675
10/2015,27526.06182208637
11/2015,27928.400618831332
12/2015,27160.16251414642
01/2016,24945.652746542928
02/2016,24929.665155589453
03/2016,26224.750252632584
04/2016,26573.7804680779
05/2016,26209.290140156823
06/2016,27000.420157549303
07/2016,28128.19653341283
08/2016,28597.910571947632
09/2016,28898.561947558872
10/2016,29029.3846521863
11/2016,28484.230313096847
12/2016,28691.334732431296
01/2017,29436.353037964658
02/2017,31429.823678739445
03/2017,31972.626285662005
04/2017,31626.489192310455
05/2017,31019.73659632405
06/2017,30739.15314254377
07/2017,30981.761981725944
08/2017,31324.553241459285
09/2017,31388.206270152998
10/2017,32959.281803181824
11/2017,32942.44098002163
12/2017,33751.303434557136
01/2018,34377.198776925936
02/2018,33623.225066174906
03/2018,32907.73001962618
04/2018,33528.69760641933
05/2018,33898.27408118778
06/2018,31787.102401350698
07/2018,31960.773654925742
08/2018,31514.933417737033
09/2018,30665.905633110644
10/2018,28057.078611185974
11/2018,29483.685606319064
12/2018,28780.349177161155
01/2019,30227.37787133264
02/2019,30813.508023812425
03/2019,31605.779400873136
04/2019,31720.789777018952
05/2019,30341.59290699266
06/2019,30897.914958653895
07/2019,31062.735686882446
08/2019,29815.005504624645
09/2019,30810.822169300016
10/2019,31228.193737598365
11/2019,31530.541298986078
12/2019,32707.27514901537
01/2020,31917.855451576605
02/2020,29869.87064686816
03/2020,23017.735534000985
04/2020,26418.164228950023
05/2020,26411.369925959094
06/2020,28631.640206195836
07/2020,29560.06390569567
08/2020,30535.443735271565
09/2020,30629.361437985477
10/2020,30486.92010130592
11/2020,33964.32071919831
12/2020,35718.17047714717
01/2021,36144.65162621992
02/2021,38345.61468178754
03/2021,40247.16816032036
04/2021,41415.725745043586
05/2021,42046.595185602564
06/2021,44176.66528244945
07/2021,43570.17719128225
08/2021,44287.402209128435
09/2021,44362.435238979815
10/2021,44189.45312628325
11/2021,43956.6471921202
12/2021,45954.82893254994
01/2022,44591.24600409701
02/2022,43311.36025566103
03/2022,44854.10160258909
04/2022,44871.86805051075
05/2022,43424.2136106462
06/2022,40070.18170439099
07/2022,41939.921812392575
08/2022,43829.73990045441
09/2022,40454.399217212485
10/2022,39748.173440677645
11/2022,41550.32118396221
12/2022,40004.41587651493
01/2023,41722.13658153198
02/2023,41348.50903964423
03/2023,40752.55104222126
04/2023,40628.013258126244
05/2023,42224.44671778498
06/2023,43391.31606508798
07/2023,45566.409593447024
08/2023,45591.004170260094
09/2023,45809.070984103695
10/2023,43492.65661371721
11/2023,46322.60222683239
12/2023,47849.003104981
01/2024,47947.508703286025
02/2024,49314.34305517016
03/2024,49421.58300014104
04/2024,50836.34904309844
05/2024,50538.262413141325
06/2024,52869.995692998695
07/2024,52245.17749363276
08/2024,51931.24042593965
09/2024,53321.7383426873
10/2024,52608.17585004264
