Date,WisdomTree US Efficient Core
08/2023,10000
09/2023,9638.786967279555
10/2023,9299.686411345649
11/2023,9985.658298717308
12/2023,10483.73096518892
01/2024,10818.620868725293
02/2024,11247.457002773608
03/2024,11591.20458988842
04/2024,11047.763715983694
05/2024,11462.04305666803
06/2024,12111.53516586023
