Date,MSCI USA Value
11/1991,56477.685047463005
12/1991,58991.449552956015
01/1992,59005.22142185873
02/1992,61470.291696079286
03/1992,61897.39932235279
04/1992,64380.589200697796
05/1992,63335.924072174894
06/1992,61211.94463945947
07/1992,60480.965026777594
08/1992,57058.38914301224
09/1992,58995.65755000283
10/1992,61076.65241113274
11/1992,66568.58060297887
12/1992,67532.34527908152
01/1993,70827.18033129953
02/1993,75165.87843113551
03/1993,77615.08440146165
04/1993,74685.80951482574
05/1993,75872.01626241366
06/1993,79282.451882562
07/1993,84079.37223547045
08/1993,87665.34890386261
09/1993,84181.81127746412
10/1993,84985.58736136182
11/1993,85569.5688121622
12/1993,86946.40570206093
01/1994,91877.59379559106
02/1994,88069.35358858836
03/1994,82911.3831704608
04/1994,84757.57245426146
05/1994,84293.58581554913
06/1994,80887.77268121311
07/1994,81017.42483740684
08/1994,83419.28797408228
09/1994,79674.47163991224
10/1994,80086.58605345248
11/1994,78054.53181406972
12/1994,80551.8809314724
01/1995,81181.90101757555
02/1995,83557.90260684145
03/1995,82360.85027415333
04/1995,83505.54767851092
05/1995,88196.11931339749
06/1995,88779.22774928166
07/1995,91081.05563902673
08/1995,94539.37049268326
09/1995,98991.30103749395
10/1995,96054.5516237876
11/1995,101147.91361368432
12/1995,104982.85745025963
01/1996,109595.72797263663
02/1996,111047.88778651574
03/1996,112891.08561312691
04/1996,115427.6813511373
05/1996,118076.5061376484
06/1996,116801.65599189827
07/1996,109816.12669112091
08/1996,111870.84988309703
09/1996,117397.84993542815
10/1996,121869.81256120805
11/1996,129369.65102294752
12/1996,129953.19433079049
01/1997,140434.5123093511
02/1997,147277.01225021164
03/1997,143767.5423786394
04/1997,150532.02333208974
05/1997,158671.17326019553
06/1997,166441.89233771127
07/1997,185859.18941671876
08/1997,182343.39955217077
09/1997,187668.80391016035
10/1997,179783.37839680942
11/1997,183222.07636259703
12/1997,192778.2343531419
01/1998,195031.67673480776
02/1998,207469.41294716945
03/1998,218678.2380614378
04/1998,221759.9883326585
05/1998,213233.99619804224
06/1998,216754.01195361567
07/1998,214120.34539070824
08/1998,179641.9482866342
09/1998,180582.5137906381
10/1998,188237.02838061328
11/1998,204591.15442639455
12/1998,208967.22916655574
01/1999,221175.9325944921
02/1999,226585.24380758652
03/1999,238217.02280080813
04/1999,262758.9198825921
05/1999,261496.78170105815
06/1999,272092.5132006211
07/1999,255505.44699760736
08/1999,249971.19668171342
09/1999,236379.1796100839
10/1999,254722.74917578153
11/1999,262816.8622842991
12/1999,269494.61766678735
01/2000,267963.40304365795
02/2000,252233.9810138373
03/2000,283202.64377652504
04/2000,298526.484511728
05/2000,291989.20245212875
06/2000,277070.1773727103
07/2000,288888.89193603507
08/2000,314734.06459586864
09/2000,318011.4794644223
10/2000,335974.9363758225
11/2000,306209.1547027794
12/2000,297586.6133555537
01/2001,303438.4139136919
02/2001,289686.9864022691
03/2001,291248.33317258523
04/2001,308607.15966283536
05/2001,327235.1787555433
06/2001,319251.90196396806
07/2001,305500.4920119807
08/2001,274283.9246578874
09/2001,252837.17902664992
10/2001,251678.640227658
11/2001,270802.6640437637
12/2001,275805.4124739291
01/2002,278118.0704014331
02/2002,268295.12398701045
03/2002,282847.42970973934
04/2002,259294.51111937664
05/2002,248021.18412524284
06/2002,216431.4825669432
07/2002,198107.8535860845
08/2002,197820.3591130937
09/2002,173975.7320606527
10/2002,188790.179173709
11/2002,202651.47997982398
12/2002,178444.04277159495
01/2003,169402.18781654225
02/2003,165628.0846638297
03/2003,163090.339275914
04/2003,176306.02677409822
05/2003,178231.10145435657
06/2003,186713.63872177602
07/2003,190652.48476672743
08/2003,200849.45046305098
09/2003,186479.02149071696
10/2003,196617.4535917796
11/2003,192809.73790483602
12/2003,196078.5614530413
01/2004,202884.4713396151
02/2004,205765.4701843682
03/2004,205993.9141878037
04/2004,206666.59427268562
05/2004,203835.85472556876
06/2004,209763.97311259297
07/2004,208774.04910544067
08/2004,210695.784838312
09/2004,207275.62934726142
10/2004,204776.92765688803
11/2004,204833.0244670436
12/2004,206671.02992389945
01/2005,211621.77891229125
02/2005,214244.06828764506
03/2005,215479.8838224159
04/2005,212265.11737965318
05/2005,227385.35523529394
06/2005,233184.65312708015
07/2005,238913.02629548774
08/2005,234765.5760354811
09/2005,240990.458004629
10/2005,235976.13408093675
11/2005,249714.33925044592
12/2005,250847.41742457298
01/2006,250531.8337705244
02/2006,257775.87063754242
03/2006,255945.6036385289
04/2006,253443.05890981696
05/2006,240665.94768310746
06/2006,244754.74997212132
07/2006,250020.39566557913
08/2006,253184.38194593
09/2006,262990.70480574993
10/2006,270815.16583662934
11/2006,265125.6050482629
12/2006,271791.2350903424
01/2007,279452.753898346
02/2007,269398.07402216294
03/2007,271402.40263989166
04/2007,276627.8056656723
05/2007,289384.39123627136
06/2007,281835.576941744
07/2007,265191.83335478883
08/2007,268894.53911047854
09/2007,268564.12974798266
10/2007,263808.67052615224
11/2007,245157.64404498952
12/2007,242360.84618483327
01/2008,230040.8881074115
02/2008,214571.76184718712
03/2008,205151.7477463971
04/2008,216973.5326184864
05/2008,215976.5907411628
06/2008,191811.75439694762
07/2008,192698.25184587686
08/2008,207024.6893604846
09/2008,199383.21121164647
10/2008,187613.10738191148
11/2008,177120.54772496142
12/2008,163941.2186446771
01/2009,157120.8496257042
02/2009,137397.59742647305
03/2009,142072.31766004872
04/2009,156904.7570342925
05/2009,157369.2181727843
06/2009,155329.70983401657
07/2009,167573.26366276923
08/2009,174268.08159889
09/2009,175182.83400957787
10/2009,168764.3390948142
11/2009,176038.9454755893
12/2009,185162.7569509198
01/2010,186807.49633981317
02/2010,196677.87484879445
03/2010,209960.24563615373
04/2010,215649.5851545795
05/2010,214848.95374333308
06/2010,204722.47662894367
07/2010,205646.92395500696
08/2010,202439.80367771737
09/2010,201879.1039163879
10/2010,203969.17453850154
11/2010,216024.66135675742
12/2010,226495.7259522616
01/2011,227187.29437194037
02/2011,233898.8195695016
03/2011,227343.18258499313
04/2011,223811.04090524925
05/2011,227532.39958695587
06/2011,221812.72291042565
07/2011,217018.0872569543
08/2011,202122.80719170175
09/2011,201350.2243416447
10/2011,213648.81654968995
11/2011,221757.40667850935
12/2011,235395.97685036535
01/2012,238465.5279014663
02/2012,242799.76126322738
03/2012,251533.3287823924
04/2012,251683.34577986837
05/2012,252186.15468652328
06/2012,260184.74549472847
07/2012,269884.03405563196
08/2012,266243.53208124626
09/2012,267206.70164616953
10/2012,264258.44045166136
11/2012,262414.27342899825
12/2012,263076.3384062768
01/2013,272090.9767935283
02/2013,285006.2690608309
03/2013,303347.65270146384
04/2013,304790.2904539031
05/2013,312895.4441695777
06/2013,308646.0338070391
07/2013,317884.590320015
08/2013,306749.318093029
09/2013,307101.5587157921
10/2013,318173.62567775795
11/2013,327024.83785069844
12/2013,330253.93682912434
01/2014,324779.5434942488
02/2014,330202.7970803581
03/2014,339683.93011468835
04/2014,342065.22449045995
05/2014,352877.6928923413
06/2014,358781.36357726424
07/2014,359789.89537881536
08/2014,377469.415864668
09/2014,389434.2546805649
10/2014,398803.91161056526
11/2014,406801.36657782394
12/2014,417749.032511783
01/2015,430407.1694132643
02/2015,453957.09821728227
03/2015,463994.8549119136
04/2015,453660.41896064463
05/2015,467616.57772848255
06/2015,446422.551527029
07/2015,458697.2299675266
08/2015,422177.4863703031
09/2015,413527.2134148476
10/2015,453623.7578096339
11/2015,473638.402205912
12/2015,452742.6336705522
01/2016,431718.9379732714
02/2016,432148.29546157236
03/2016,440881.83872260386
04/2016,445207.7027474405
05/2016,462381.2244455758
06/2016,469651.077368512
07/2016,482906.30240436964
08/2016,484494.99152867444
09/2016,482298.3841158456
10/2016,484430.52974799415
11/2016,522427.39890318137
12/2016,541633.3529747586
01/2017,533213.2287442797
02/2017,560618.8282167825
03/2017,551471.3224498287
04/2017,538555.499309751
05/2017,524926.9652799958
06/2017,525586.6375237469
07/2017,518587.53111633466
08/2017,509289.6653249435
09/2017,524941.6668173787
10/2017,538824.0731728355
11/2017,544725.7888470145
12/2017,544724.9077059051
01/2018,544088.3310818191
02/2018,526616.1604301432
03/2018,510847.1532646208
04/2018,521951.3723761156
05/2018,540969.9343814312
06/2018,545591.2228791268
07/2018,564881.3765759561
08/2018,576224.8610120469
09/2018,582080.795572306
10/2018,569048.3701224334
11/2018,583459.5902981313
12/2018,525159.7185963094
01/2019,560702.1851733614
02/2019,581513.560586381
03/2019,595249.8241400392
04/2019,614982.2589661435
05/2019,577847.3554943053
06/2019,604567.795996814
07/2019,622918.9787329648
08/2019,612503.2155419291
09/2019,642162.1170028094
10/2019,635538.0894452769
11/2019,664229.3970651579
12/2019,667005.9734207542
01/2020,660677.0872145771
02/2020,600170.859634434
03/2020,506666.1859070081
04/2020,564245.004910936
05/2020,566165.1409876914
06/2020,558605.7626044791
07/2020,547562.256637979
08/2020,564448.010007988
09/2020,562494.8468318728
10/2020,549958.9854046571
11/2020,606498.1485569278
12/2020,610938.2271542734
01/2021,610109.4556833723
02/2021,638576.1424400794
03/2021,704624.2297833492
04/2021,708588.2854697539
05/2021,719523.2290781046
06/2021,731376.2540443445
07/2021,739088.7843770965
08/2021,756969.6730038725
09/2021,745214.3106866847
10/2021,782866.3798039148
11/2021,780106.3394928416
12/2021,835935.4467297583
01/2022,827525.0797194167
02/2022,808608.9760106538
03/2022,839086.8852165103
04/2022,839915.7940880468
05/2022,841295.5605804307
06/2022,796027.479990691
07/2022,856160.5260350967
08/2022,847913.418980268
09/2022,797902.9588999813
10/2022,871550.6379537479
11/2022,882596.6538865046
12/2022,825918.0907005008
01/2023,838850.403824936
02/2023,825910.3435260992
03/2023,800037.3465072799
04/2023,802262.9516851193
05/2023,790426.396771247
06/2023,824527.8413388057
07/2023,841562.7923426143
08/2023,831565.9837236506
09/2023,821759.357806488
10/2023,796038.1765383164
11/2023,828086.3514069294
12/2023,863800.2465770862
01/2024,885171.1084005475
02/2024,916092.104867321
03/2024,961268.7322596288
04/2024,928381.7909241553
05/2024,942796.5760964551
06/2024,955169.206302726
07/2024,989241.8326837217
08/2024,993354.0555590433
09/2024,1000202.4485463656
10/2024,1016497.305708275
