Date,MSCI USA Value
12/1978,10000
01/1979,10667.340926681787
02/1979,10386.130002891776
03/1979,10958.627654846185
04/1979,11065.544752210284
05/1979,10955.496796334788
06/1979,11394.998366775138
07/1979,11145.36069568006
08/1979,11627.147177710784
09/1979,11520.037713801712
10/1979,10746.475040280722
11/1979,11028.86348651257
12/1979,10858.87989396664
01/1980,11425.277600643256
02/1980,11471.09967489553
03/1980,11165.458703836024
04/1980,11916.87331790341
05/1980,11984.064624658555
06/1980,12116.130099499684
07/1980,12590.290129143867
08/1980,12885.699655586763
09/1980,12970.571522516897
10/1980,13499.954497169294
11/1980,15112.060793198929
12/1980,15220.328087926213
01/1981,14991.94490844287
02/1981,16147.285095205569
03/1981,16996.983963425122
04/1981,17583.628927574166
05/1981,18783.68038821964
06/1981,19478.275426381104
07/1981,19815.298523733938
08/1981,19261.765661089692
09/1981,17716.941069639666
10/1981,17691.37441227282
11/1981,18210.184735632432
12/1981,17932.064618910852
01/1982,18033.887849119677
02/1982,17906.282248049352
03/1982,18252.239849346108
04/1982,19013.92488170075
05/1982,17800.878937869016
06/1982,18609.892087778942
07/1982,18430.187296536133
08/1982,20829.073003095393
09/1982,21018.790550123642
10/1982,23629.22137456826
11/1982,24639.24895647256
12/1982,23935.02956541548
01/1983,25029.19608964241
02/1983,25850.55427530594
03/1983,26950.47050798837
04/1983,29701.31633793984
05/1983,29614.656148130558
06/1983,31103.816805856397
07/1983,31005.370234364775
08/1983,33033.04422214845
09/1983,33221.97135274576
10/1983,32534.149366173162
11/1983,34162.249538905075
12/1983,34768.82742769589
01/1984,35962.55293629624
02/1984,33481.15881724789
03/1984,32852.76656338844
04/1984,33879.262973375844
05/1984,32762.70497701086
06/1984,32999.62659010868
07/1984,33680.75387973994
08/1984,37942.741498007315
09/1984,40527.7471333552
10/1984,40992.88998734414
11/1984,39859.01977908217
12/1984,42457.73189903279
01/1985,46498.66921876935
02/1985,48898.10453218474
03/1985,49351.97442970135
04/1985,46461.62128709832
05/1985,49623.76902124002
06/1985,49500.255671475374
07/1985,46373.98452708845
08/1985,44533.74986029252
09/1985,43595.99274006434
10/1985,43016.048505092156
11/1985,44287.64347675176
12/1985,44887.01554220843
01/1986,44333.2071983261
02/1986,45669.54527716397
03/1986,46482.939819252984
04/1986,45375.866085945185
05/1986,46689.88943866161
06/1986,47222.40724156983
07/1986,43660.12614140027
08/1986,46476.93240665504
09/1986,42952.23401690498
10/1986,44879.906311437844
11/1986,46417.88434504076
12/1986,44212.23456924544
01/1987,46668.63422854873
02/1987,46133.699021953566
03/1987,47566.80635577526
04/1987,46532.82783226719
05/1987,46222.70066378849
06/1987,49412.14274765883
07/1987,52282.816410540334
08/1987,54096.664789575305
09/1987,51697.41077428229
10/1987,40863.787864515114
11/1987,35504.766670417725
12/1987,36539.534934051924
01/1988,39726.13960270653
02/1988,42177.5438008493
03/1988,40318.60118355973
04/1988,40891.80702899192
05/1988,41875.64615133745
06/1988,45672.99978639447
07/1988,47935.13207819601
08/1988,47154.87442772768
09/1988,48530.09208180091
10/1988,48860.46657757827
11/1988,46213.17212436689
12/1988,46834.81640621112
01/1989,52403.66966984896
02/1989,51514.00445527475
03/1989,52624.86432943139
04/1989,55193.9569051023
05/1989,59242.62553297929
06/1989,60180.16800251451
07/1989,61566.938627484866
08/1989,63612.385370449505
09/1989,64101.31450595569
10/1989,59659.47562368199
11/1989,59550.211898549824
12/1989,58558.74231406168
01/1990,53485.906723924316
02/1990,54061.595294902516
03/1990,55378.96299176969
04/1990,52834.251642266914
05/1990,55854.429400209294
06/1990,54932.17879495485
07/1990,53312.15958399057
08/1990,46472.7945031288
09/1990,44406.85280907192
10/1990,42693.02621693633
11/1990,44690.617440544076
12/1990,46353.05221695225
01/1991,48707.56787236538
02/1991,50640.14758918508
03/1991,55700.58903001001
04/1991,58882.418025922605
05/1991,62061.81581604259
06/1991,61326.092500217375
07/1991,63653.049773834515
08/1991,63023.873619176855
09/1991,60971.23684752592
10/1991,62096.017001608314
