Date,Gold spot price (EUR Hedged)
05/2009,277130.6818181818
06/2009,265482.95454545453
07/2009,266761.3636363636
08/2009,271448.8636363636
09/2009,282883.5227272727
10/2009,295454.5454545454
11/2009,334019.88636363635
12/2009,313636.3636363636
01/2010,306392.0454545454
02/2010,314843.75
03/2010,316903.40909090906
04/2010,335014.20454545453
05/2010,343039.7727272727
06/2010,353409.0909090909
07/2010,332102.2727272727
08/2010,353977.2727272727
09/2010,371306.8181818182
10/2010,382599.43181818177
11/2010,393039.7727272727
12/2010,400639.20454545453
01/2011,376988.63636363635
02/2011,400852.2727272727
03/2011,408806.8181818182
04/2011,436221.5909090909
05/2011,436505.68181818177
06/2011,427698.8636363636
07/2011,462642.0454545454
08/2011,515198.8636363636
09/2011,460227.2727272727
10/2011,489204.5454545454
11/2011,496022.72727272724
12/2011,447301.13636363635
01/2012,495454.5454545454
02/2012,502840.90909090906
03/2012,472301.13636363635
04/2012,469105.1136363636
05/2012,442613.63636363635
06/2012,454119.3181818181
07/2012,460795.45454545453
08/2012,468323.8636363636
09/2012,504545.45454545453
10/2012,488352.2727272727
11/2012,490340.90909090906
12/2012,472727.2727272727
01/2013,472940.3409090909
02/2013,451278.40909090906
03/2013,454048.2954545454
04/2013,417329.5454545454
05/2013,396164.7727272727
06/2013,338636.3636363636
07/2013,373437.49999999994
08/2013,396235.7954545454
09/2013,376846.5909090909
10/2013,376136.3636363636
11/2013,355965.90909090906
12/2013,341335.22727272724
01/2014,355397.72727272724
02/2014,376846.5909090909
03/2014,366974.43181818177
04/2014,366051.13636363635
05/2014,355255.68181818177
06/2014,373579.5454545454
07/2014,365127.8409090909
08/2014,365269.88636363635
09/2014,345596.5909090909
10/2014,330752.8409090909
11/2014,336008.5227272727
12/2014,340696.0227272727
01/2015,358025.5681818182
02/2015,344886.3636363636
03/2015,337215.90909090906
04/2015,335298.2954545454
05/2015,338465.90909090906
06/2015,332670.45454545453
07/2015,312045.45454545453
08/2015,322443.18181818177
09/2015,316477.2727272727
10/2015,324531.25
11/2015,301676.13636363635
12/2015,301775.5681818182
01/2016,315852.2727272727
02/2016,350823.8636363636
03/2016,351420.45454545453
04/2016,365241.47727272724
05/2016,344346.5909090909
06/2016,375213.0681818182
07/2016,381249.99999999994
08/2016,371946.0227272727
09/2016,375710.22727272724
10/2016,361363.63636363635
11/2016,334687.5
12/2016,329289.7727272727
01/2017,344545.45454545453
02/2017,356704.5454545454
03/2017,353650.5681818182
04/2017,359786.93181818177
05/2017,359715.90909090906
06/2017,352911.93181818177
07/2017,360099.43181818177
08/2017,372656.24999999994
09/2017,364517.0454545454
10/2017,360838.0681818182
11/2017,363693.18181818177
12/2017,368323.8636363636
01/2018,382116.47727272724
02/2018,374389.20454545453
03/2018,376093.74999999994
04/2018,373068.18181818177
05/2018,370838.0681818182
06/2018,355241.47727272724
07/2018,346860.7954545454
08/2018,341605.1136363636
09/2018,337286.93181818177
10/2018,345156.25
11/2018,345894.88636363635
12/2018,364105.1136363636
01/2019,375923.2954545454
02/2019,374758.5227272727
03/2019,368011.3636363636
04/2019,364289.7727272727
05/2019,368053.97727272724
06/2019,400284.0909090909
07/2019,405553.97727272724
08/2019,434204.5454545454
09/2019,421960.22727272724
10/2019,429247.15909090906
11/2019,414815.3409090909
12/2019,432670.45454545453
01/2020,450056.8181818181
02/2020,457343.74999999994
03/2020,457088.0681818181
04/2020,483735.7954545454
05/2020,491107.95454545453
06/2020,502301.1363636363
07/2020,558210.2272727272
08/2020,556065.3409090908
09/2020,536051.1363636364
10/2020,534616.4772727272
11/2020,500724.43181818177
12/2020,537244.3181818181
01/2021,529488.6363636364
02/2021,495127.8409090909
03/2021,480411.93181818177
04/2021,502173.2954545454
05/2021,539758.5227272727
06/2021,500894.8863636363
07/2021,518678.97727272724
08/2021,515582.3863636363
09/2021,495113.6363636363
10/2021,502599.43181818177
11/2021,512613.6363636363
12/2021,517073.8636363636
01/2022,510014.20454545453
02/2022,542571.0227272727
03/2022,551747.1590909091
04/2022,542982.9545454545
05/2022,522357.95454545453
06/2022,516193.18181818177
07/2022,498124.99999999994
08/2022,487471.5909090909
09/2022,474928.97727272724
10/2022,465624.99999999994
11/2022,498153.40909090906
12/2022,514872.15909090906
01/2023,546562.5
02/2023,518352.2727272727
03/2023,562414.7727272727
04/2023,563224.4318181818
05/2023,558068.1818181818
06/2023,543252.8409090908
07/2023,559843.75
08/2023,551789.7727272727
09/2023,531392.0454545454
10/2023,567301.1363636364
11/2023,578252.8409090908
12/2023,585909.0909090908
01/2024,583309.6590909091
02/2024,581832.3863636364
03/2024,629076.7045454545
04/2024,655397.7272727272
05/2024,667116.4772727272
06/2024,662187.5
07/2024,689289.7727272727
08/2024,714019.8863636364
09/2024,747144.8863636364
