Date,MSCI EMU Small Cap
12/2000,10000
01/2001,10498.63935220058
02/2001,10187.50600129758
03/2001,9699.977864583334
04/2001,10086.74160657954
05/2001,10352.47087264151
06/2001,9842.561261792454
07/2001,9459.534209023417
08/2001,9008.10974011793
09/2001,7645.87498631037
10/2001,8310.902455209025
11/2001,9079.747471341874
12/2001,9200.684329967093
01/2002,9406.05464860484
02/2002,9431.92058721535
03/2002,9896.4285304906
04/2002,9890.177897424512
05/2002,9610.705976350271
06/2002,8848.285413533835
07/2002,8113.221915567822
08/2002,7969.766093765891
09/2002,6905.612322515212
10/2002,7312.028233982157
11/2002,7644.872519391558
12/2002,7111.000429102699
01/2003,6933.584273298818
02/2003,6620.513541086996
03/2003,6489.757090408444
04/2003,7311.083370766328
05/2003,7567.573422432753
06/2003,7968.001706484641
07/2003,8315.634652765506
08/2003,8747.568591562185
09/2003,8653.681943014077
10/2003,9365.928454654964
11/2003,9561.248249124563
12/2003,9499.793507521774
01/2004,10158.63456879845
02/2004,10472.958085037848
03/2004,10268.536403795812
04/2004,10329.430107976897
05/2004,10041.817470077063
06/2004,10473.043521184698
07/2004,10178.305050253342
08/2004,10121.943811411113
09/2004,10349.478563945524
10/2004,10572.575213943628
11/2004,11135.834862730351
12/2004,11464.803832317744
01/2005,12187.729689298043
02/2005,12800.99034472354
03/2005,12694.176141622956
04/2005,12299.806745388592
05/2005,13075.445462655096
06/2005,13773.43152497519
07/2005,14677.323658314726
08/2005,14856.800254140022
09/2005,15589.236297957152
10/2005,14512.177992181652
11/2005,14936.30788512193
12/2005,15530.681529202338
01/2006,16906.64288661495
02/2006,17713.428968421053
03/2006,18235.61673826834
04/2006,18600.64824120603
05/2006,17099.347567609577
06/2006,16969.603083457878
07/2006,16704.031056630374
08/2006,16957.38681814645
09/2006,17368.81883886256
10/2006,18273.155482041588
11/2006,18759.51443181818
12/2006,19675.235269552013
01/2007,20717.66797900262
02/2007,20559.394330482177
03/2007,21564.222218050752
04/2007,22344.174127159135
05/2007,23115.589868430834
06/2007,22784.675675675673
07/2007,22391.738819581235
08/2007,21404.826851514048
09/2007,21017.526835460896
10/2007,22076.55852426109
11/2007,19942.99593523474
12/2007,19510.53892398614
01/2008,17028.149999999998
02/2008,17528.700962616207
03/2008,17191.94671768277
04/2008,17857.45662805663
05/2008,18097.048974722722
06/2008,16103.009642222785
07/2008,15360.372846070082
08/2008,15856.199932134376
09/2008,13005.66153953716
10/2008,10472.920827780825
11/2008,9739.360061287029
12/2008,9821.030681899834
01/2009,9596.870318352061
02/2009,8908.043577981653
03/2009,9123.766456266907
04/2009,10998.545047080981
05/2009,11902.981344871616
06/2009,11797.744587519455
07/2009,12710.822181355212
08/2009,14005.029042881166
09/2009,15072.028409478933
10/2009,14237.278716216215
