Date,MSCI EMU Small Cap
11/2009,14286.392697863277
12/2009,14836.262494793835
01/2010,14929.574681369038
02/2010,14732.002394988946
03/2010,15944.416759403517
04/2010,15978.463537363878
05/2010,14643.561347200783
06/2010,14420.285551299812
07/2010,15266.328101013201
08/2010,14843.162815457415
09/2010,15820.272640679954
10/2010,16743.15793461788
11/2010,16155.75076934913
12/2010,17747.60574764257
01/2011,17817.59348524686
02/2011,17998.321020673706
03/2011,18176.089779686066
04/2011,18652.07913862719
05/2011,18405.46465067779
06/2011,17940.694111949077
07/2011,16792.78439691445
08/2011,14876.215813148789
09/2011,13601.025401762574
10/2011,14337.515641739878
11/2011,13714.92368460277
12/2011,13612.742522606075
01/2012,14719.14560564663
02/2012,15518.646842222719
03/2012,15523.17284366577
04/2012,15257.270622067508
05/2012,13912.486696766911
06/2012,14447.804765687057
07/2012,14627.953883099966
08/2012,14942.526960589958
09/2012,15397.867942768757
10/2012,15767.223312552913
11/2012,16105.761242876943
12/2012,16793.43042291951
01/2013,17804.75697416974
02/2013,18017.425508416483
03/2013,17895.39344006248
04/2013,18342.49548653611
05/2013,18929.658157773334
06/2013,18000.195259938835
07/2013,19274.632843691154
08/2013,19344.48685304118
09/2013,20695.408626434655
10/2013,21881.518217139503
11/2013,22287.768606274338
12/2013,22480.572329780287
01/2014,22859.209899378515
02/2014,24301.792984869327
03/2014,24472.52792283145
04/2014,24314.603249097472
05/2014,24831.02197398398
06/2014,24394.319922389812
07/2014,23342.273039838554
08/2014,23407.987640279043
09/2014,23247.118612413575
10/2014,22327.17067230917
11/2014,23239.98850436594
12/2014,23266.40869780084
01/2015,25193.709332153914
02/2015,27266.299110320284
03/2015,28291.99130960126
04/2015,28375.064422648244
05/2015,28858.56262534184
06/2015,27715.826928233084
07/2015,29529.948208261147
08/2015,27735.28863129737
09/2015,26554.508167455144
10/2015,28683.167150767
11/2015,29356.00401739295
12/2015,28959.002709653716
01/2016,26620.99148351648
02/2016,26415.585736590747
03/2016,27564.3768115942
04/2016,27964.450407787423
05/2016,28668.559844002157
06/2016,26607.924923437215
07/2016,28376.189057860167
08/2016,28525.860043118937
09/2016,29053.509810948835
10/2016,28680.15900785675
11/2016,28108.187023977433
12/2016,29986.799165164597
01/2017,30456.809344490935
02/2017,31224.303010285927
03/2017,32681.255822654577
04/2017,33852.91806953339
05/2017,35017.68122270742
06/2017,34149.80660708027
07/2017,34882.760467297696
08/2017,35005.76410147991
09/2017,36566.22247162459
10/2017,37119.49832445438
11/2017,36862.76778631108
12/2017,37264.30213457851
01/2018,38498.58782210806
02/2018,37356.36769281153
03/2018,36572.1768525282
04/2018,37919.24236277837
05/2018,37500.844131977094
06/2018,37052.54511923143
07/2018,37558.31318166326
08/2018,37329.41421337224
09/2018,36788.590748099516
10/2018,33792.98444954939
11/2018,32866.90817853685
12/2018,30691.22192139738
01/2019,33276.87665389972
02/2019,34276.16078311142
03/2019,34896.60734312416
04/2019,36613.65706899626
05/2019,34278.2982243745
06/2019,35916.40057117751
07/2019,36006.953770962245
08/2019,35381.68072671258
09/2019,36350.51359169804
10/2019,37190.551685494
11/2019,38716.493443817155
12/2019,39382.66289834432
01/2020,38857.131062251174
02/2020,36099.7041085907
03/2020,28600.89978094195
04/2020,31664.634378447965
05/2020,33158.671650502874
06/2020,34274.94007858547
07/2020,34237.18517893315
08/2020,35925.872445561145
09/2020,35882.90297232661
10/2020,33379.08244999145
11/2020,39576.77474958264
12/2020,41443.534267785835
01/2021,42247.659566578775
02/2021,43882.582666446666
03/2021,46258.66669509594
04/2021,47447.25935275617
05/2021,48976.590279485295
06/2021,48451.84908280041
07/2021,49553.91796316542
08/2021,51307.15983606558
09/2021,49806.702089990504
10/2021,50888.40176041219
11/2021,48841.791868344626
12/2021,51477.041144269824
01/2022,49520.01559698817
02/2022,47889.55054022681
03/2022,48073.59809927033
04/2022,47637.362428842505
05/2022,47678.11472043313
06/2022,41953.93106768076
07/2022,43856.76980780545
08/2022,41916.88485
09/2022,37915.0113356586
10/2022,40634.99319144645
11/2022,42855.91008095605
12/2022,42522.69843427714
01/2023,46658.910228007015
02/2023,47831.59059233448
03/2023,45944.453563218405
04/2023,46547.031691102806
05/2023,44896.21127024245
06/2023,46384.388827535426
07/2023,47576.80350176902
08/2023,46508.0475708502
09/2023,44693.511799131586
10/2023,42417.18292682927
11/2023,46083.968026713024
12/2023,48440.48266968326
01/2024,48145.66877364584
02/2024,47995.35502493996
03/2024,50183.82480806585
04/2024,49971.44420600857
05/2024,52282.661675267234
06/2024,49222.015787015414
07/2024,50234.8832194311
08/2024,49891.820420312084
09/2024,49888.96195069668
10/2024,48290.82939716964
